[18:53:13	]willumhf has connected.
[19:13:39	][IC] Argyle Bentwick: Yeah.
[19:13:43	][IC] Argyle Bentwick: I'm not even at guns 50.
[19:13:50	][IC] Argyle Bentwick: I'm at 2/50.
[19:13:59	]Argyle Bentwick has gained level 1 in the Guns skill.
[19:14:13	]Argyle Bentwick has gained level 50 in the Guns skill.
[19:14:13	]Argyle Bentwick used command '/CharSkillAdd Argyle guns 100'.
[19:14:17	]Argyle Bentwick has fired a toolgun with the name: creator
[19:14:17	]Argyle Bentwick has spawned a 'Weapon [232][arccw_go_scar]'.
[19:14:17	]Argyle Bentwick has fired a toolgun with the name: creator
[19:14:17	]Argyle Bentwick has spawned a 'Weapon [279][arccw_go_scar]'.
[19:14:17	]Argyle Bentwick has fired a toolgun with the name: creator
[19:14:17	]Argyle Bentwick has spawned a 'Weapon [283][arccw_go_scar]'.
[19:14:17	]Argyle Bentwick has fired a toolgun with the name: creator
[19:14:17	]Argyle Bentwick has spawned a 'Weapon [284][arccw_go_scar]'.
[19:14:17	]Argyle Bentwick has fired a toolgun with the name: creator
[19:14:17	]Argyle Bentwick has spawned a 'Weapon [289][arccw_go_scar]'.
[19:14:17	]Argyle Bentwick has fired a toolgun with the name: creator
[19:14:17	]Argyle Bentwick has spawned a 'Weapon [290][arccw_go_scar]'.
[19:14:18	]Argyle Bentwick has fired a toolgun with the name: creator
[19:14:18	]Argyle Bentwick has spawned a 'Weapon [291][arccw_go_scar]'.
[19:14:23	][LOOC] Leon Withers: wait let me record again with the scar
[19:14:30	][IC] Argyle Bentwick: Kk.
[19:14:32	]Leon Withers ran SAM command 'hp' with arguments: '^' '100'
[19:14:36	][IC] Argyle Bentwick: I'm at guns 50 now.
[19:14:37	]Leon Withers ran SAM command 'armor' with arguments: '^' '50'
[19:14:40	][IC] Argyle Bentwick: I think I'll kill you in 5 shots.
[19:14:43	][IC] Argyle Bentwick: Ready?
[19:14:44	][IC] Leon Withers: Yeah maybe.
[19:14:46	][IC] Leon Withers: Ready.
[19:14:47	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.31).
[19:14:47	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:14:47	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.31).
[19:14:47	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:14:47	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.90).
[19:14:47	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:14:47	]Argyle Bentwick has critically hit Leon Withers in the stomach dealing 34 damage (CritChance was 0.90).
[19:14:47	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:14:47	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.90).
[19:14:47	]Leon Withers was knocked unconscious and is bleeding out.
[19:14:51	][IC] Leon Withers: LMAO.
[19:14:51	][IC] Argyle Bentwick: 10 shots.
[19:14:54	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 0 damage (CritChance was 0.73).
[19:14:54	]Argyle Bentwick has hit Leon Withers in the left leg dealing 18 damage (CritChance was 0.73).
[19:14:54	]Leon Withers was killed while bleeding out.
[19:14:54	]Argyle Bentwick has killed Leon Withers with player.
[19:14:54	]Leon Withers used command '/CharGetUp'.
[19:15:09	][IC] Argyle Bentwick: Here.
[19:15:10	][IC] Argyle Bentwick: SHoot me.
[19:15:12	][IC] Argyle Bentwick: Watch how fast it kills me.
[19:15:35	][IC] Leon Withers: Get ready to die rebel scum.
[19:15:37	]Leon Withers has critically hit Argyle Bentwick in the chest dealing 34 damage (CritChance was 0.84).
[19:15:37	]Argyle Bentwick has taken 34 damage from Leon Withers.
[19:15:37	]Leon Withers has critically hit Argyle Bentwick in the chest dealing 34 damage (CritChance was 0.84).
[19:15:37	]Argyle Bentwick has taken 34 damage from Leon Withers.
[19:15:37	]Leon Withers has critically hit Argyle Bentwick in the chest dealing 34 damage (CritChance was 0.84).
[19:15:37	]Argyle Bentwick was knocked unconscious and is bleeding out.
[19:15:38	]Leon Withers has critically hit Argyle Bentwick in the right leg dealing 0 damage (CritChance was 0.84).
[19:15:38	]Leon Withers has critically hit Argyle Bentwick in the right leg dealing 32 damage (CritChance was 0.84).
[19:15:38	]Argyle Bentwick was killed while bleeding out.
[19:15:38	]Leon Withers has killed Argyle Bentwick with player.
[19:15:41	]Argyle Bentwick used command '/CharGetUp'.
[19:15:46	][IC] Argyle Bentwick: Still insane.
[19:16:17	][IC] Argyle Bentwick: Oh i'm not even at guns 50.
[19:16:20	][IC] Argyle Bentwick: Food & Water.
[19:16:33	]Argyle Bentwick has given himself a antlion_stew.
[19:16:33	]Argyle Bentwick has gained a 'Antlion Stew' #1658960.
[19:16:33	]Argyle Bentwick has given himself a antlion_stew.
[19:16:34	]Argyle Bentwick has gained a 'Antlion Stew' #1658961.
[19:16:37	]Argyle Bentwick has given himself a drink_premium_water.
[19:16:38	]Argyle Bentwick has gained a 'Premium Breen's Water' #1658962.
[19:16:38	]Argyle Bentwick has given himself a drink_premium_water.
[19:16:38	]Argyle Bentwick has gained a 'Premium Breen's Water' #1658963.
[19:16:40	]Argyle Bentwick ran 'Consume' on item 'Premium Breen's Water' (#1658963)
[19:16:41	]Argyle Bentwick has gained a 'Empty Breen's Water' #1658964.
[19:16:41	]Argyle Bentwick ran 'Consume' on item 'Premium Breen's Water' (#1658962)
[19:16:41	]Argyle Bentwick has gained a 'Empty Breen's Water' #1658965.
[19:16:42	]Argyle Bentwick ran 'Consume' on item 'Antlion Stew' (#1658961)
[19:16:42	]Argyle Bentwick has gained a level 5 long boost in Strength.
[19:16:43	]Argyle Bentwick ran 'Consume' on item 'Antlion Stew' (#1658960)
[19:16:43	]Argyle Bentwick has wasted a level 5 long boost in Strength (current: 0; target: 5).
[19:16:46	][IC] Argyle Bentwick: Alright.
[19:16:53	][IC] Argyle Bentwick: Going to shoot you once.
[19:16:54	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.80).
[19:16:54	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:16:56	]Argyle Bentwick has critically hit Leon Withers in the left arm dealing 9 damage (CritChance was 0.83).
[19:16:56	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:16:56	]Argyle Bentwick has hit Leon Withers in the left arm dealing 9 damage (CritChance was 0.83).
[19:16:56	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:17:00	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.87).
[19:17:00	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:17:03	][IC] Argyle Bentwick: Jesus.
[19:17:09	]Argyle Bentwick entered observer.
[19:17:10	]Argyle Bentwick exited observer at their location.
[19:17:12	]Argyle Bentwick ran SAM command 'hp' with arguments: 'Leon' '100'
[19:17:13	]Leon Withers ran SAM command 'hp' with arguments: '^' '100'
[19:17:16	]Leon Withers is fully healed.
[19:17:16	]Leon Withers ran SAM command 'armor' with arguments: '^'
[19:17:20	]Leon Withers ran SAM command 'armor' with arguments: '^' '50'
[19:17:22	][IC] Leon Withers: Here.
[19:17:22	]Argyle Bentwick has spawned a 'NPC [232][npc_zombie]'.
[19:17:23	]Argyle Bentwick has critically hit npc_zombie in the head dealing 0 damage (CritChance was 1.01).
[19:17:24	]Argyle Bentwick has critically hit npc_zombie in the head dealing 36 damage (CritChance was 1.01).
[19:17:24	][IC] Leon Withers: Shoot me once.
[19:17:29	]Argyle Bentwick has hit Leon Withers in the stomach dealing 21 damage (CritChance was 0.28).
[19:17:30	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:17:31	]Leon Withers is fully healed.
[19:17:38	][IC] Leon Withers: That took out 21 of my armor.
[19:17:41	][IC] Leon Withers: Shoot again.
[19:17:48	][IC] Argyle Bentwick: On average a torso shot does 21 damage.
[19:17:56	][IC] Argyle Bentwick: So to kill you I'll just need on average 10 shots.
[19:17:57	][IC] Leon Withers: Thats because of my armor.
[19:18:01	]Argyle Bentwick has hit Leon Withers in the stomach dealing 21 damage (CritChance was 0.27).
[19:18:01	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:18:06	]Leon Withers is fully healed.
[19:18:06	][IC] Leon Withers: 8 armor now.
[19:18:08	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.27).
[19:18:08	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:18:12	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.76).
[19:18:12	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:18:13	][IC] Leon Withers: 74 hp.
[19:18:15	][IC] Leon Withers: 53.
[19:18:15	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.76).
[19:18:15	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:18:17	][IC] Leon Withers: 19.
[19:18:17	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.76).
[19:18:17	]Leon Withers was knocked unconscious and is bleeding out.
[19:18:19	][IC] Leon Withers: Dead.
[19:18:21	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 32 damage (CritChance was 0.83).
[19:18:21	]Leon Withers was killed while bleeding out.
[19:18:21	]Argyle Bentwick has killed Leon Withers with player.
[19:18:25	][IC] Argyle Bentwick: On average it does.
[19:18:29	][IC] Argyle Bentwick: On average it does.
[19:18:32	][IC] Argyle Bentwick: 21 per shot.
[19:18:35	][IC] Argyle Bentwick: 34 per crit shot.
[19:18:41	][IC] Argyle Bentwick: Armor does nothing but is just extra HP supposedly.
[19:19:21	][IC] Leon Withers: Yeah!
[19:19:24	][IC] Argyle Bentwick: Yeag.
[19:19:25	][IC] Argyle Bentwick: Yeha.
[19:19:26	][IC] Argyle Bentwick: Yeah!
[19:19:27	][IC] Leon Withers: Ik that some guns can ignore armor.
[19:19:29	][IC] Leon Withers: And it sucks.
[19:19:32	][IC] Argyle Bentwick: Strider, strider, strider, strider, strider, strider, strider, strider, strider, strider, strider, strider, strider,.
[19:19:45	][IC] Leon Withers: Here.
[19:19:48	][IC] Leon Withers: Lets try long range.
[19:19:49	]Leon Withers entered observer.
[19:19:51	]Argyle Bentwick entered observer.
[19:19:52	]Leon Withers exited observer at their location.
[19:19:55	]Argyle Bentwick exited observer at their location.
[19:19:58	]Argyle Bentwick has critically hit Leon Withers in the stomach dealing 34 damage (CritChance was 1.01).
[19:19:58	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:19:59	]Leon Withers ran SAM command 'armor' with arguments: '^' '50'
[19:20:00	]Argyle Bentwick has hit Leon Withers in the stomach dealing 21 damage (CritChance was 0.35).
[19:20:00	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:20:04	]Leon Withers ran SAM command 'hp' with arguments: '^' '100'
[19:20:05	]Leon Withers ran SAM command 'armor' with arguments: '^' '50'
[19:20:06	]Leon Withers is fully healed.
[19:20:10	]Argyle Bentwick used command '/PM Leon Legit no damage dropoff?'.
[19:20:10	]Argyle Bentwick entered observer.
[19:20:13	][OOC] Leon Withers: try now, one shot every 5 seconds
[19:20:14	]Argyle Bentwick exited observer at their location.
[19:20:19	]Argyle Bentwick has hit Leon Withers in the left arm dealing 9 damage (CritChance was 0.20).
[19:20:19	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:21	]Leon Withers is fully healed.
[19:20:22	]Argyle Bentwick has hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.25).
[19:20:22	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:25	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 9 damage (CritChance was 0.25).
[19:20:25	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:26	]Leon Withers is fully healed.
[19:20:30	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.25).
[19:20:30	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:31	]Leon Withers is fully healed.
[19:20:35	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 9 damage (CritChance was 0.25).
[19:20:35	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:36	]Leon Withers is fully healed.
[19:20:40	]Argyle Bentwick has critically hit Leon Withers in the left arm dealing 9 damage (CritChance was 0.20).
[19:20:40	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:47	]Argyle Bentwick has critically hit Leon Withers in the stomach dealing 34 damage (CritChance was 0.94).
[19:20:47	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:20:51	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.72).
[19:20:51	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:54	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.72).
[19:20:54	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:20:57	]Argyle Bentwick has hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.72).
[19:20:57	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:21:00	]Argyle Bentwick has hit Leon Withers in the left arm dealing 9 damage (CritChance was 0.58).
[19:21:00	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:21:03	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 9 damage (CritChance was 0.72).
[19:21:03	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:21:04	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 9 damage (CritChance was 0.72).
[19:21:04	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:21:06	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.72).
[19:21:06	]Leon Withers was knocked unconscious and is bleeding out.
[19:21:11	]Argyle Bentwick entered observer.
[19:21:13	]Argyle Bentwick exited observer at their location.
[19:21:13	]Argyle Bentwick entered observer.
[19:21:13	]Argyle Bentwick exited observer at their location.
[19:21:16	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 0 damage (CritChance was 1.01).
[19:21:16	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 0 damage (CritChance was 1.01).
[19:21:16	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 0 damage (CritChance was 1.01).
[19:21:16	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 32 damage (CritChance was 1.01).
[19:21:16	]Leon Withers was killed while bleeding out.
[19:21:16	]Argyle Bentwick has killed Leon Withers with player.
[19:21:29	][IC] Argyle Bentwick: Hi.
[19:21:31	]Leon Withers entered observer.
[19:21:32	][IC] Argyle Bentwick: Hi. Hi. Hi. Hi. Hi. Hi. Hi. Hi. Hi. Hi. Hi. Hi.
[19:21:33	][IC] Argyle Bentwick: Ow!
[19:21:34	]Leon Withers exited observer at their location.
[19:21:35	][IC] Argyle Bentwick: Ugh!
[19:21:36	][IC] Argyle Bentwick: Ugh!
[19:21:37	][IC] Argyle Bentwick: Agh!
[19:21:37	][IC] Leon Withers: Ugh!
[19:21:37	][IC] Argyle Bentwick: Ugh!
[19:21:40	][IC] Argyle Bentwick: Ugh, ugh, ugh, ugh, ugh, ugh, ugh, ugh, ugh, ugh,.
[19:21:47	][IC] Argyle Bentwick: Okay so.
[19:21:50	][IC] Argyle Bentwick: There's no damage dropoff.
[19:21:57	][IC] Argyle Bentwick: The 9 damage was you getting shot in the arm.
[19:21:59	][IC] Argyle Bentwick: And the leg.
[19:22:08	][IC] Argyle Bentwick: Same damage up close, even.
[19:22:09	][IC] Leon Withers: At what range?
[19:22:14	][IC] Argyle Bentwick: All the way back there.
[19:22:20	][IC] Argyle Bentwick: No damage drop off like I said.
[19:22:21	][IC] Leon Withers: It didnt tell u the range?
[19:22:26	][IC] Argyle Bentwick: 62 meters.
[19:22:36	][IC] Argyle Bentwick: Let me get a scope to aim more clearly.
[19:22:40	][IC] Argyle Bentwick: But I'll show you what I mean.
[19:22:40	]Argyle Bentwick entered observer.
[19:22:42	]Argyle Bentwick exited observer at their location.
[19:23:01	]Argyle Bentwick has given himself a attn_acog.
[19:23:01	]Argyle Bentwick has gained a 'ACOG' #1658966.
[19:23:17	]Argyle Bentwick has given himself a attn_7xscope.
[19:23:18	]Argyle Bentwick has gained a '7X Scope' #1658967.
[19:23:32	]Argyle Bentwick has given himself a ins2_si_po4x.
[19:23:32	]Argyle Bentwick has gained a 'PO 4x24P' #1658968.
[19:23:44	]Argyle Bentwick has given himself a attn_eotech.
[19:23:44	]Argyle Bentwick has gained a 'EOTech 552' #1658969.
[19:23:54	]Argyle Bentwick ran 'drop' on item 'EOTech 552' (#1658969)
[19:23:54	]Argyle Bentwick has lost a 'EOTech 552' #1658969.
[19:23:58	][OOC] Argyle Bentwick: If
[19:24:02	][OOC] Argyle Bentwick: I knew how to fuckin'.
[19:24:06	][OOC] Argyle Bentwick: Put attachments on
[19:24:13	]Argyle Bentwick ran 'take' on item 'EOTech 552' (#1658969)
[19:24:13	]Argyle Bentwick has gained a 'EOTech 552' #1658969.
[19:24:18	][OOC] Leon Withers: hold c and click the exact name of attachment you got
[19:24:25	]Leon Withers has hit Argyle Bentwick in the left leg dealing 9 damage (CritChance was 0.60).
[19:24:25	]Argyle Bentwick has taken 9 damage from Leon Withers.
[19:24:26	][OOC] Argyle Bentwick: Nothing
[19:24:28	][OOC] Argyle Bentwick: shoot me
[19:24:33	]Argyle Bentwick has critically hit Leon Withers in the stomach dealing 34 damage (CritChance was 0.87).
[19:24:33	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:24:36	]Argyle Bentwick has critically hit Leon Withers in the stomach dealing 34 damage (CritChance was 0.87).
[19:24:36	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:24:37	]Argyle Bentwick has hit Leon Withers in the right leg dealing 0 damage (CritChance was 0.72).
[19:24:37	]Argyle Bentwick has hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.72).
[19:24:37	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:24:37	]Argyle Bentwick has critically hit Leon Withers in the left arm dealing 0 damage (CritChance was 0.58).
[19:24:37	]Argyle Bentwick has hit Leon Withers in the left arm dealing 0 damage (CritChance was 0.58).
[19:24:37	]Argyle Bentwick has critically hit Leon Withers in the left arm dealing 9 damage (CritChance was 0.58).
[19:24:37	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:24:40	]Leon Withers has critically hit Argyle Bentwick in the stomach dealing 34 damage (CritChance was 0.64).
[19:24:40	]Argyle Bentwick has taken 34 damage from Leon Withers.
[19:24:40	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 9 damage (CritChance was 0.72).
[19:24:40	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:24:41	]Argyle Bentwick has critically hit Leon Withers in the stomach dealing 34 damage (CritChance was 0.87).
[19:24:41	]Leon Withers was knocked unconscious and is bleeding out.
[19:24:44	]Argyle Bentwick entered observer.
[19:24:45	]Argyle Bentwick exited observer at their location.
[19:24:45	]Argyle Bentwick entered observer.
[19:24:46	]Argyle Bentwick exited observer at their location.
[19:24:47	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 0 damage (CritChance was 1.01).
[19:24:47	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 32 damage (CritChance was 1.01).
[19:24:47	]Leon Withers was killed while bleeding out.
[19:24:47	]Argyle Bentwick has killed Leon Withers with player.
[19:24:52	][OOC] Argyle Bentwick: See what I mean though?
[19:24:57	][OOC] Argyle Bentwick: 73 meters
[19:25:01	]willumhf (STEAM_0:0:133779472) has disconnected.
[19:25:02	][OOC] Argyle Bentwick: aimed at ur head with iron sights
[19:25:55	]Argyle Bentwick entered observer.
[19:28:13	]Argyle Bentwick exited observer at their location.
[19:28:14	]Argyle Bentwick entered observer.
[19:28:14	]Argyle Bentwick exited observer at their location.
[19:28:20	]Argyle Bentwick entered observer.
[19:28:21	]Argyle Bentwick exited observer at their location.
[19:28:38	]Argyle Bentwick entered observer.
[19:28:42	]Argyle Bentwick exited observer at their location.
[19:28:55	]Argyle Bentwick entered observer.
[19:28:56	]Argyle Bentwick exited observer at their location.
[19:28:58	]Argyle Bentwick entered observer.
[19:29:02	]Argyle Bentwick exited observer at their location.
[19:29:17	]Argyle Bentwick entered observer.
[19:29:21	]Argyle Bentwick exited observer at their location.
[19:29:21	]Argyle Bentwick entered observer.
[19:29:22	]Argyle Bentwick exited observer at their location.
[19:29:23	]Argyle Bentwick entered observer.
[19:29:23	]Argyle Bentwick exited observer at their location.
[19:29:25	]Argyle Bentwick entered observer.
[19:29:25	]Argyle Bentwick exited observer at their location.
[19:29:27	]Argyle Bentwick entered observer.
[19:29:28	]Argyle Bentwick exited observer at their location.
[19:29:50	]Keyblockor (STEAM_0:1:18371886) has disconnected.
