[01:32:09	]Tuki has connected.
[01:54:15	]S10:SCN-9 used command '/VisorStatus ORANGE /// RE-ADMINISTRATION IN PROGRESS /// CODE: FLINT. INSPECT. EXTRIPATE ///'.
[01:54:30	]S10:SCN-9 used command '/VisorStatus ORANGE /// RE-ADMINISTRATION IN PROGRESS /// CODE: FLINT. INSPECT. EXTRIPATE'.
[01:54:36	]Kranky has fired a toolgun with the name: stacker_improved
[01:54:36	]Kranky has fired a toolgun with the name: remover
[01:54:37	]Kranky has fired a toolgun with the name: remover
[01:54:37	]Kranky has fired a toolgun with the name: remover
[01:54:38	]Kranky ran 'drop' on item 'OSITR' (#2056002)
[01:54:38	]Kranky has lost a 'OSITR' #2056002.
[01:54:39	]Kranky ran 'drop' on item '60rnd OTAR-magazine' (#2056004)
[01:54:39	]Kranky has lost a '60rnd OTAR-magazine' #2056004.
[01:54:39	]S10:SCN-9 used command '/VisorStatus ORANGE /// RE-ADMINISTRATION IN PROGRESS CODE: FLINT. INSPECT. EXTRIPATE'.
[01:54:41	]Kranky ran 'drop' on item '60rnd OTAR-magazine' (#2056003)
[01:54:41	]Kranky has lost a '60rnd OTAR-magazine' #2056003.
[01:54:42	]Kranky ran 'drop' on item '60rnd OTAR-magazine' (#2056005)
[01:54:42	]Kranky has lost a '60rnd OTAR-magazine' #2056005.
[01:54:43	][OOC] Tukiiiiii: Tony?
[01:54:43	]Kranky ran 'drop' on item '60rnd OTAR-magazine' (#2056006)
[01:54:43	]Kranky has lost a '60rnd OTAR-magazine' #2056006.
[01:54:43	]Kranky has fired a toolgun with the name: remover
[01:54:43	]Kranky has fired a toolgun with the name: remover
[01:54:44	]Kranky has fired a toolgun with the name: remover
[01:54:44	]Kranky has fired a toolgun with the name: remover
[01:54:44	]Kranky has fired a toolgun with the name: remover
[01:54:44	]Kranky has fired a toolgun with the name: remover
[01:54:44	]Kranky has fired a toolgun with the name: remover
[01:54:45	]Kranky has fired a toolgun with the name: remover
[01:54:45	]Kranky has fired a toolgun with the name: remover
[01:54:45	]Kranky has fired a toolgun with the name: remover
[01:54:45	]Kranky has fired a toolgun with the name: remover
[01:54:45	]Kranky has fired a toolgun with the name: remover
[01:54:46	]Kranky has fired a toolgun with the name: remover
[01:54:48	][OOC] S10:SCN-9: /LINK ACCOUNT CUH
[01:54:55	][OOC] Tukiiiiii: IT SAYS THATS NOT A COMMAND BITCH
[01:54:59	]Kranky has spawned a pulse.
[01:55:01	]Kranky ran 'take' on item 'AR-2' (#2056009)
[01:55:01	]Kranky has gained a 'AR-2' #2056009.
[01:55:02	]S10:SCN-9 used command '/VisorStatus totalr EMERGENCY COODE VOID'.
[01:55:06	]S10:SCN-9 used command '/VisorStatus totalr'.
[01:55:07	]Kranky has spawned a magazine_pulse_30rnd.
[01:55:08	]Kranky ran 'take' on item '30rnd Pulse-magazine' (#2056010)
[01:55:08	]Kranky has gained a '30rnd Pulse-magazine' #2056010.
[01:55:08	]Kranky has fired a toolgun with the name: remover
[01:55:10	]Kranky has spawned a magazine_pulse_30rnd.
[01:55:11	]Kranky has spawned a magazine_pulse_30rnd.
[01:55:11	]Kranky has spawned a magazine_pulse_30rnd.
[01:55:13	]Kranky ran 'take' on item '30rnd Pulse-magazine' (#2056012)
[01:55:13	]Kranky has gained a '30rnd Pulse-magazine' #2056012.
[01:55:16	]Kranky ran 'take' on item '30rnd Pulse-magazine' (#2056013)
[01:55:16	]Kranky has gained a '30rnd Pulse-magazine' #2056013.
[01:55:18	]Kranky ran 'take' on item '30rnd Pulse-magazine' (#2056011)
[01:55:18	]Kranky has gained a '30rnd Pulse-magazine' #2056011.
[01:55:20	]S10:SCN-9 used command '/VisorStatus GREY EMERGENCY CODE VOID'.
[01:55:23	]Kranky has spawned a bullets_pulse.
[01:55:24	]Kranky has spawned a bullets_pulse.
[01:55:25	]Kranky has spawned a bullets_pulse.
[01:55:26	]Kranky has spawned a bullets_pulse.
[01:55:27	]Kranky ran 'take' on item 'Pulse Rifle Bullets' (#2056017)
[01:55:27	]Kranky has gained a 'Pulse Rifle Bullets' #2056017.
[01:55:29	]S10:SCN-9 used command '/VisorStatus WHITE EMERGENCY CODE VOID'.
[01:55:30	]Kranky ran 'take' on item 'Pulse Rifle Bullets' (#2056015)
[01:55:30	]Kranky has gained a 'Pulse Rifle Bullets' #2056015.
[01:55:31	]Kranky ran 'take' on item 'Pulse Rifle Bullets' (#2056014)
[01:55:31	]Kranky has gained a 'Pulse Rifle Bullets' #2056014.
[01:55:32	]Kranky ran 'take' on item 'Pulse Rifle Bullets' (#2056016)
[01:55:32	]Kranky has gained a 'Pulse Rifle Bullets' #2056016.
[01:55:35	]Kranky ran 'combine' on item '30rnd Pulse-magazine' (#2056013)
[01:55:36	]S10:SCN-9 used command '/VisorStatus JW'.
[01:55:36	]Kranky ran 'combine' on item '30rnd Pulse-magazine' (#2056010)
[01:55:37	]Kranky ran 'combine' on item '30rnd Pulse-magazine' (#2056012)
[01:55:38	]Kranky ran 'combine' on item '30rnd Pulse-magazine' (#2056011)
[01:55:44	]S10:SCN-9 used command '/Dispatch JUDGMENT WAIVER'.
[01:55:52	]Kranky ran 'Equip' on item 'AR-2' (#2056009)
[01:55:56	]Kranky used command '/ToggleRaise'.
[01:55:59	]Kranky used command '/ToggleRaise'.
[01:56:03	][IC] S10:SCN-9: Destruction of corporal social-protection units.
[01:56:13	]Kranky has spawned a frag_grenade.
[01:56:14	][IC] S10:SCN-9: Divisive sociocidal counter-obeyance.
[01:56:14	]Kranky has spawned a frag_grenade.
[01:56:15	]Kranky has spawned a frag_grenade.
[01:56:18	]Kranky ran 'take' on item 'Frag Grenade' (#2056020)
[01:56:18	]Kranky has gained a 'Frag Grenade' #2056020.
[01:56:19	]Kranky ran 'take' on item 'Frag Grenade' (#2056019)
[01:56:19	]Kranky has gained a 'Frag Grenade' #2056019.
[01:56:21	]Kranky ran 'take' on item 'Frag Grenade' (#2056018)
[01:56:21	]Kranky has gained a 'Frag Grenade' #2056018.
[01:56:23	]Kranky has spawned a smoke_grenade.
[01:56:26	]Kranky ran 'take' on item 'Smoke Grenade' (#2056021)
[01:56:26	]Kranky has gained a 'Smoke Grenade' #2056021.
[01:56:28	]Kranky has spawned a flash_grenade.
[01:56:30	]Kranky ran 'take' on item 'Flash Grenade' (#2056022)
[01:56:30	]Kranky has gained a 'Flash Grenade' #2056022.
[01:56:31	]Kranky ran 'Equip' on item 'Flash Grenade' (#2056022)
[01:56:32	]Kranky ran 'Equip' on item 'Smoke Grenade' (#2056021)
[01:56:33	]Kranky ran 'Equip' on item 'Frag Grenade' (#2056018)
[01:56:33	][IC] S10:SCN-9: Disassociation from the civic populace.
[01:56:39	]S10:SCN-9 used command '/I DISENGAGED'.
[01:56:46	]Kranky used command '/Radio affirmative'.
[01:56:46	]S10:SCN-9 used command '/CharSetName SCN'.
[01:56:52	]S10:CLAW-9 used command '/CharSetName S10:SCN-9 S10:CLAW-9'.
[01:56:56	]Kranky entered observer.
[01:56:59	]Tony The Tiger (STEAM_0:0:49210697) has disconnected.
[01:57:16	]Kranky ran SAM command 'bring' with arguments: 'tuki'
[01:57:39	]Kranky used command '/CharSetAttribute tuki speed 50'.
[01:57:52	]Kranky used command '/CharSetAttribute tuki Speed 50'.
[01:58:23	]Kranky used command '/CharAddAttribute Tuki Speed 27'.
[01:58:54	]Tukiiiiii has gained level 50 in the Speed skill.
[01:58:54	]Kranky used command '/CharSkillSet Tuki Speed 50'.
[01:59:01	]Tukiiiiii has gained level 50 in the Guns skill.
[01:59:01	]Kranky used command '/CharSkillSet Tuki Guns 50'.
[01:59:11	]Tukiiiiii has gained level 20 in the Medicine skill.
[01:59:11	]Kranky used command '/CharSkillSet Tuki Medicine 20'.
[01:59:26	]Kranky has gained level 50 in the Guns skill.
[01:59:26	]Kranky used command '/CharSkillSet Kranky Guns 50'.
[01:59:35	]Kranky has spawned a torso_green_kevlar_t2.
[01:59:40	]Kranky has spawned a legs_green_padded_pants.
[01:59:42	]Tukiiiiii ran 'take' on item 'Medium Kevlar Uniform' (#2056023)
[01:59:42	]Tukiiiiii has gained a 'Medium Kevlar Uniform' #2056023.
[01:59:43	]Tukiiiiii ran 'take' on item 'Green Padded Pants' (#2056024)
[01:59:43	]Tukiiiiii has gained a 'Green Padded Pants' #2056024.
[01:59:51	]Kranky has spawned a mp5a3.
[02:00:06	]Kranky has used a context menu option with the name: rb655_dissolve
[02:00:08	]env_entity_dissolver destroyed a 'MP5A3' #2056025.
[02:00:09	]Kranky has spawned a sg556.
[02:00:14	]Tukiiiiii ran 'take' on item 'SG556' (#2056026)
[02:00:14	]Tukiiiiii has gained a 'SG556' #2056026.
[02:00:18	]Kranky has spawned a bullets_assaultrifle.
[02:00:18	]Tukiiiiii ran 'Equip' on item 'SG556' (#2056026)
[02:00:18	]Kranky has spawned a bullets_assaultrifle.
[02:00:19	]Kranky has spawned a bullets_assaultrifle.
[02:00:19	]Kranky has spawned a bullets_assaultrifle.
[02:00:20	]Kranky has spawned a bullets_assaultrifle.
[02:00:36	]Kranky has spawned a magazine_556_30rnd.
[02:00:36	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056031)
[02:00:36	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056031.
[02:00:37	]Kranky has spawned a magazine_556_30rnd.
[02:00:37	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056030)
[02:00:37	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056030.
[02:00:38	]Kranky has spawned a magazine_556_30rnd.
[02:00:38	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056027)
[02:00:38	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056027.
[02:00:39	]Kranky has spawned a magazine_556_30rnd.
[02:00:39	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056028)
[02:00:39	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056028.
[02:00:40	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056029)
[02:00:40	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056029.
[02:00:42	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056034)
[02:00:42	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056034.
[02:00:42	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056035)
[02:00:42	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056035.
[02:00:43	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056032)
[02:00:43	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056032.
[02:00:44	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056033)
[02:00:44	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056033.
[02:00:46	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056034)
[02:00:48	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056035)
[02:00:49	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056032)
[02:00:49	]Kranky has spawned a mag_pouch.
[02:00:49	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056033)
[02:00:52	]Kranky has spawned a bullet_pouch.
[02:00:55	]Tukiiiiii ran 'take' on item 'Ammunition Pouch' (#2056037)
[02:00:55	]Tukiiiiii has gained a 'Ammunition Pouch' #2056037.
[02:00:56	]Tukiiiiii ran 'take' on item 'Magazine Pouch' (#2056036)
[02:00:56	]Tukiiiiii has gained a 'Magazine Pouch' #2056036.
[02:00:58	]Kranky has spawned a largebag.
[02:00:59	]Kranky has spawned a smallbag.
[02:01:01	]Tukiiiiii ran 'take' on item 'Large Bag' (#2056038)
[02:01:01	]Tukiiiiii has gained a 'Large Bag' #2056038.
[02:01:02	]Tukiiiiii ran 'take' on item 'Small Bag' (#2056039)
[02:01:02	]Tukiiiiii has gained a 'Small Bag' #2056039.
[02:01:07	]Kranky has spawned a disinfected_bandage.
[02:01:08	]Kranky has spawned a disinfected_bandage.
[02:01:09	]Kranky has spawned a disinfected_bandage.
[02:01:09	]Kranky has spawned a adrenaline.
[02:01:10	]Kranky has spawned a adrenaline.
[02:01:14	]Kranky has spawned a bullets_assaultrifle.
[02:01:15	]Kranky has spawned a bullets_assaultrifle.
[02:01:16	]Kranky has spawned a bullets_assaultrifle.
[02:01:16	]Kranky has spawned a bullets_assaultrifle.
[02:01:17	]Kranky has spawned a bullets_assaultrifle.
[02:01:17	]Kranky has spawned a bullets_assaultrifle.
[02:01:18	]Kranky has spawned a bullets_assaultrifle.
[02:01:19	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056050)
[02:01:19	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056050.
[02:01:20	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056048)
[02:01:20	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056048.
[02:01:21	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056045)
[02:01:21	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056045.
[02:01:22	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056051)
[02:01:22	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056051.
[02:01:23	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056049)
[02:01:23	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056049.
[02:01:24	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056047)
[02:01:24	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056047.
[02:01:25	]Tukiiiiii ran 'take' on item 'Assault Rifle Bullets' (#2056046)
[02:01:25	]Tukiiiiii has gained a 'Assault Rifle Bullets' #2056046.
[02:01:27	]Tukiiiiii ran 'combine' on item 'Ammunition Pouch' (#2056037)
[02:01:28	]Tukiiiiii ran 'combine' on item 'Ammunition Pouch' (#2056037)
[02:01:28	]Tukiiiiii ran 'combine' on item 'Ammunition Pouch' (#2056037)
[02:01:29	]Tukiiiiii ran 'combine' on item 'Ammunition Pouch' (#2056037)
[02:01:30	]Tukiiiiii ran 'combine' on item 'Ammunition Pouch' (#2056037)
[02:01:31	]Tukiiiiii ran 'combine' on item 'Ammunition Pouch' (#2056037)
[02:01:32	]Tukiiiiii ran 'take' on item 'Adrenaline' (#2056044)
[02:01:32	]Tukiiiiii has gained a 'Adrenaline' #2056044.
[02:01:34	]Tukiiiiii ran 'take' on item 'Disinfected Bandage Roll' (#2056040)
[02:01:34	]Tukiiiiii has gained a 'Disinfected Bandage Roll' #2056040.
[02:01:34	]Kranky has spawned a medical_pouch.
[02:01:35	]Tukiiiiii ran 'take' on item 'Adrenaline' (#2056043)
[02:01:35	]Tukiiiiii has gained a 'Adrenaline' #2056043.
[02:01:37	]Tukiiiiii ran 'take' on item 'Disinfected Bandage Roll' (#2056042)
[02:01:37	]Tukiiiiii has gained a 'Disinfected Bandage Roll' #2056042.
[02:01:38	]Tukiiiiii ran 'take' on item 'Disinfected Bandage Roll' (#2056041)
[02:01:38	]Tukiiiiii has gained a 'Disinfected Bandage Roll' #2056041.
[02:01:40	]Tukiiiiii ran 'take' on item 'Medical Pouch' (#2056052)
[02:01:40	]Tukiiiiii has gained a 'Medical Pouch' #2056052.
[02:01:55	]Tukiiiiii ran 'drop' on item 'Black Armband' (#2055999)
[02:01:55	]Tukiiiiii has lost a 'Black Armband' #2055999.
[02:01:56	]Tukiiiiii ran 'drop' on item '#82767's Identity Card' (#2056000)
[02:01:56	]Tukiiiiii has lost a '#82767's Identity Card' #2056000.
[02:02:02	]Kranky ran SAM command 'goto' with arguments: 'tuki'
[02:02:13	]Kranky ran SAM command 'goto' with arguments: 'tuki'
[02:02:20	]Kranky has spawned a head_gasmask.
[02:02:23	]Tukiiiiii ran 'take' on item 'Gas Mask' (#2056053)
[02:02:23	]Tukiiiiii has gained a 'Gas Mask' #2056053.
[02:02:24	]Kranky has spawned a head_military_cap.
[02:02:26	]Tukiiiiii ran 'take' on item 'Military Cap' (#2056054)
[02:02:26	]Tukiiiiii has gained a 'Military Cap' #2056054.
[02:02:33	]Tukiiiiii has lost a '30rnd SG556-magazine' #2056035.
[02:02:40	]Kranky ran SAM command 'goto' with arguments: 'tuki'
[02:02:49	]Kranky has spawned a magazine_556_30rnd.
[02:02:50	]Kranky has spawned a magazine_556_30rnd.
[02:02:50	]Kranky has spawned a magazine_556_30rnd.
[02:02:51	]Kranky has spawned a magazine_556_30rnd.
[02:02:52	]Kranky has spawned a magazine_556_30rnd.
[02:02:53	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056059)
[02:02:53	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056059.
[02:02:54	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056056)
[02:02:54	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056056.
[02:02:56	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056058)
[02:02:56	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056058.
[02:02:57	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056055)
[02:02:57	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056055.
[02:02:58	]Tukiiiiii ran 'take' on item '30rnd SG556-magazine' (#2056057)
[02:02:58	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056057.
[02:03:08	]Kranky exited observer at their location.
[02:03:10	]Kranky entered observer.
[02:03:12	]Kranky exited observer at their location.
[02:03:16	]Kranky entered observer.
[02:03:18	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056056)
[02:03:19	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056058)
[02:03:20	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056055)
[02:03:22	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056057)
[02:03:23	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056059)
[02:03:30	][MEL] Tukiiiiii: Brought his claws together, calling forth their vortal energies, focusing a flux of energy into their claws, shooting it 
[02:03:33	]Tukiiiiii used command '/ToggleRaise'.
[02:03:42	]Kranky exited observer at their location.
[02:03:45	]Kranky entered observer.
[02:03:49	]Tuki has unloaded their "Tukiiiiii" character.
[02:03:55	]Kranky exited observer at their location.
[02:03:55	]Kranky entered observer.
[02:03:56	]Kranky exited observer at their location.
[02:03:58	]Kranky used command '/ToggleRaise'.
[02:03:58	]Tuki loaded the character 'Tukiiiiii'
[02:04:01	]Kranky entered observer.
[02:04:24	]Kranky used command '/CharGiveItem Tuki Repair Plating 2'.
[02:04:24	]Tukiiiiii has gained a 'Repair Plating' #2056060.
[02:04:24	]Tukiiiiii has gained a 'Repair Plating' #2056061.
[02:04:28	]Kranky exited observer at their location.
[02:04:34	]Kranky has spawned a 'Entity [5286][ix_scanner]'.
[02:04:37	]Tukiiiiii used command '/ToggleRaise'.
[02:04:47	]Kranky entered observer.
[02:05:09	]Tukiiiiii ran 'use' on item 'Adrenaline' (#2056043)
[02:05:09	]Tukiiiiii has gained a level 4 short boost in Agility.
[02:05:09	]Kranky exited observer at their location.
[02:05:13	]Tukiiiiii is fully healed.
[02:05:33	]Kranky used command '/ToggleRaise'.
[02:06:27	]Kranky has gained level 50 in the Speed skill.
[02:06:27	]Kranky used command '/CharSkillSet Kranky speed 50'.
[02:06:33	]Kranky entered observer.
[02:06:43	]Kranky exited observer at their location.
[02:07:22	][IC] Kranky: <:: Go sharp, go sharp! ::>
[02:07:31	]Kranky used command '/ToggleRaise'.
[02:07:54	]Kranky used command '/ToggleRaise'.
[02:07:56	]Kranky used command '/ToggleRaise'.
[02:07:58	]Kranky used command '/ToggleRaise'.
[02:08:09	]Tukiiiiii used command '/ToggleRaise'.
[02:08:20	][IC] Kranky: <:: Haha. ::>
[02:08:26	]Tukiiiiii has hit Kranky in the head dealing 11 damage (CritChance was 0.25).
[02:08:26	]Kranky has taken 11 damage from Tukiiiiii.
[02:08:26	]Tukiiiiii has hit Kranky in the right leg dealing 0 damage (CritChance was 0.25).
[02:08:26	]Tukiiiiii has hit Kranky in the left leg dealing 6 damage (CritChance was 0.25).
[02:08:26	]Kranky has taken 5 damage from Tukiiiiii.
[02:08:26	]Tukiiiiii has critically hit Kranky in the stomach dealing 21 damage (CritChance was 0.25).
[02:08:26	]Kranky has taken 21 damage from Tukiiiiii.
[02:08:27	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:08:27	]Kranky has taken 13 damage from Tukiiiiii.
[02:08:30	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056035.
[02:08:30	]Tukiiiiii has lost a '30rnd SG556-magazine' #2056059.
[02:08:31	]Kranky is fully healed.
[02:08:37	]Tukiiiiii has critically hit Kranky in the left leg dealing 6 damage (CritChance was 0.25).
[02:08:37	]Kranky has taken 5 damage from Tukiiiiii.
[02:08:37	]Tukiiiiii has hit Kranky in the right leg dealing 6 damage (CritChance was 0.25).
[02:08:37	]Kranky has taken 5 damage from Tukiiiiii.
[02:08:37	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:08:37	]Kranky has taken 13 damage from Tukiiiiii.
[02:08:37	]Tukiiiiii has critically hit Kranky in the right arm dealing 6 damage (CritChance was 0.25).
[02:08:37	]Kranky has taken 5 damage from Tukiiiiii.
[02:08:38	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:08:38	]Kranky has taken 13 damage from Tukiiiiii.
[02:08:38	]Tukiiiiii has critically hit Kranky in the left arm dealing 0 damage (CritChance was 0.25).
[02:08:38	]Tukiiiiii has critically hit Kranky in the left arm dealing 0 damage (CritChance was 0.25).
[02:08:38	]Tukiiiiii has hit Kranky in the left arm dealing 6 damage (CritChance was 0.25).
[02:08:38	]Kranky has taken 5 damage from Tukiiiiii.
[02:08:38	]Tukiiiiii has hit Kranky in the right arm dealing 6 damage (CritChance was 0.25).
[02:08:38	]Kranky has taken 5 damage from Tukiiiiii.
[02:08:38	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:08:38	]Kranky has taken 13 damage from Tukiiiiii.
[02:08:39	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:08:39	]Kranky has taken 13 damage from Tukiiiiii.
[02:08:39	]Kranky has lost a '30rnd Pulse-magazine' #2056013.
[02:08:42	]Tukiiiiii has critically hit Kranky in the chest dealing 21 damage (CritChance was 1.01).
[02:08:42	]Kranky has taken 21 damage from Tukiiiiii.
[02:08:43	]Tukiiiiii destroyed a 'Black Armband' #2055999.
[02:08:43	]Tukiiiiii has critically hit Kranky in the head dealing 23 damage (CritChance was 1.01).
[02:08:43	]Kranky has taken 23 damage from Tukiiiiii.
[02:08:44	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056059.
[02:08:44	]Tukiiiiii has lost a '30rnd SG556-magazine' #2056058.
[02:08:51	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056058.
[02:08:51	]Tukiiiiii has lost a '30rnd SG556-magazine' #2056057.
[02:09:28	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056059)
[02:09:34	]Tukiiiiii ran 'combine' on item '30rnd SG556-magazine' (#2056058)
[02:09:46	]Tukiiiiii used command '/ToggleRaise'.
[02:09:50	]Tukiiiiii has critically hit Kranky in the stomach dealing 21 damage (CritChance was 1.01).
[02:09:50	]Kranky has taken 21 damage from Tukiiiiii.
[02:09:51	]Tukiiiiii has critically hit Kranky in the left arm dealing 6 damage (CritChance was 0.78).
[02:09:51	]Kranky has taken 5 damage from Tukiiiiii.
[02:09:54	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056057.
[02:09:54	]Tukiiiiii has lost a '30rnd SG556-magazine' #2056059.
[02:09:56	]Kranky has gained a '30rnd Pulse-magazine' #2056013.
[02:09:56	]Kranky has lost a '30rnd Pulse-magazine' #2056012.
[02:09:56	]Tukiiiiii used command '/ToggleRaise'.
[02:10:10	]Kranky used command '/CharGiveItem Kranky Repair Plating 2'.
[02:10:10	]Kranky has gained a 'Repair Plating' #2056062.
[02:10:10	]Kranky has gained a 'Repair Plating' #2056063.
[02:10:18	]Kranky ran 'Repair' on item 'OTA Uniform' (#2055997)
[02:10:28	]Tukiiiiii used command '/ToggleRaise'.
[02:10:37	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:10:37	]Kranky has taken 13 damage from Tukiiiiii.
[02:10:41	]Tukiiiiii has hit Kranky in the left leg dealing 6 damage (CritChance was 0.25).
[02:10:41	]Kranky has taken 5 damage from Tukiiiiii.
[02:10:41	]Tukiiiiii has critically hit Kranky in the left arm dealing 0 damage (CritChance was 0.25).
[02:10:41	]Tukiiiiii has hit Kranky in the left arm dealing 0 damage (CritChance was 0.25).
[02:10:41	]Tukiiiiii has hit Kranky in the left arm dealing 6 damage (CritChance was 0.25).
[02:10:41	]Kranky has taken 5 damage from Tukiiiiii.
[02:10:41	]Tukiiiiii has hit Kranky in the left arm dealing 0 damage (CritChance was 0.25).
[02:10:41	]Tukiiiiii has hit Kranky in the left arm dealing 6 damage (CritChance was 0.25).
[02:10:41	]Kranky has taken 5 damage from Tukiiiiii.
[02:10:42	]Tukiiiiii has critically hit Kranky in the chest dealing 0 damage (CritChance was 0.25).
[02:10:42	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:10:42	]Kranky has taken 13 damage from Tukiiiiii.
[02:10:42	]Tukiiiiii has hit Kranky in the chest dealing 13 damage (CritChance was 0.25).
[02:10:42	]Kranky has taken 13 damage from Tukiiiiii.
[02:10:42	]Kranky has hit Tukiiiiii in the chest dealing 16 damage (CritChance was 0.49).
[02:10:42	]Tukiiiiii has taken 16 damage from Kranky.
[02:10:43	]Tukiiiiii is fully healed.
[02:10:45	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056059.
[02:10:45	]Tukiiiiii has lost a '30rnd SG556-magazine' #2056058.
[02:10:45	]Kranky has gained a '30rnd Pulse-magazine' #2056012.
[02:10:45	]Kranky has lost a '30rnd Pulse-magazine' #2056011.
[02:10:56	][IC] Kranky: <:: Go sharp! ::>
[02:10:57	]Tukiiiiii has hit Kranky in the right leg dealing 6 damage (CritChance was 0.25).
[02:10:57	]Kranky has taken 5 damage from Tukiiiiii.
[02:10:58	]Tukiiiiii has critically hit Kranky in the left leg dealing 6 damage (CritChance was 0.25).
[02:10:58	]Kranky has taken 5 damage from Tukiiiiii.
[02:10:58	]Tukiiiiii has hit Kranky in the left arm dealing 6 damage (CritChance was 0.25).
[02:10:58	]Kranky has taken 5 damage from Tukiiiiii.
[02:10:59	]Tukiiiiii has critically hit Kranky in the head dealing 23 damage (CritChance was 0.25).
[02:10:59	]Kranky has taken 23 damage from Tukiiiiii.
[02:10:59	]Tukiiiiii has hit Kranky in the head dealing 11 damage (CritChance was 0.25).
[02:10:59	]Kranky has taken 11 damage from Tukiiiiii.
[02:11:00	]Tukiiiiii has gained a '30rnd SG556-magazine' #2056058.
[02:11:00	]Tukiiiiii has lost a '30rnd SG556-magazine' #2056056.
[02:11:03	]Tukiiiiii has critically hit Kranky in the chest dealing 0 damage (CritChance was 0.25).
[02:11:03	]Tukiiiiii has hit Kranky in the left arm dealing 6 damage (CritChance was 0.25).
[02:11:03	]Kranky has taken 5 damage from Tukiiiiii.
[02:11:03	]Tukiiiiii has hit Kranky in the left arm dealing 0 damage (CritChance was 0.25).
[02:11:03	]Tukiiiiii has hit Kranky in the left arm dealing 0 damage (CritChance was 0.25).
