[01:37:58	]Robert has connected.
[02:47:44	]Sir Duncan Wilford entered observer.
[02:48:33	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [109][ix_terminal]'.
[02:49:05	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [274][ix_terminal]'.
[02:49:15	]Nazariy Svyatopolk Kozlov entered observer.
[02:49:48	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:49:59	]Sir Duncan Wilford has used a context menu option with the name: vj_pr_npc_gib
[02:49:59	]Nazariy Svyatopolk Kozlov entered observer.
[02:50:08	]Sir Duncan Wilford has spawned a 'NPC [474][npc_vj_hlrof_otis]'.
[02:50:10	]Sir Duncan Wilford has fired a toolgun with the name: vjstool_npcmover
[02:50:11	]Sir Duncan Wilford has fired a toolgun with the name: vjstool_npcmover
[02:50:17	][IT] Sir Duncan Wilford: The fat man approaches
[02:50:25	][IT] Sir Duncan Wilford: "I would like one Donut please."
[02:50:26	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [434][ix_vendor]'.
[02:50:30	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [434][ix_vendor]'.
[02:50:34	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:50:45	][IT] Sir Duncan Wilford: The fat man spontaneously explodes because the fat is extremely upset there was none left.
[02:50:47	]Sir Duncan Wilford has used a context menu option with the name: vj_pr_npc_gib
[02:51:00	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: vendor_edit
[02:51:03	]Sir Duncan Wilford exited observer at their location.
[02:51:07	]Nazariy Svyatopolk Kozlov entered observer.
[02:51:08	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:51:14	][IC] Sir Duncan Wilford: "Yo dude want free guns?".
[02:51:15	]Nazariy Svyatopolk Kozlov entered observer.
[02:51:18	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:51:23	]Sir Duncan Wilford entered observer.
[02:51:25	]Sir Duncan Wilford exited observer at their location.
[02:51:32	]Sir Duncan Wilford has used a context menu option with the name: vendor_edit
[02:51:34	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: vendor_edit
[02:51:55	]Sir Duncan Wilford used the 'Albert Meyers, for some fucking reason' vendor.
[02:51:57	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: vendor_edit
[02:52:05	]Sir Duncan Wilford has used a context menu option with the name: vendor_edit
[02:52:08	]Nazariy Svyatopolk Kozlov entered observer.
[02:52:10	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:52:20	]Nazariy Svyatopolk Kozlov used the 'Albert Meyers, for some fucking reason' vendor.
[02:52:22	]Nazariy Svyatopolk Kozlov entered observer.
[02:52:23	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:52:24	]Sir Duncan Wilford entered observer.
[02:52:26	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: vendor_edit
[02:52:28	]Sir Duncan Wilford exited observer at their location.
[02:53:55	]Sir Duncan Wilford has spawned 'models/vj_hlr/hl2/alyx_ep1.mdl'.
[02:53:56	]Sir Duncan Wilford has spawned 'models/vj_hlr/hl2/alyx_ep2.mdl'.
[02:54:05	]Sir Duncan Wilford has used a context menu option with the name: vendor_edit
[02:54:51	]Sir Duncan Wilford has used a context menu option with the name: vendor_edit
[02:54:54	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: vendor_edit
[02:55:00	]Sir Duncan Wilford entered observer.
[02:55:04	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: vendor_edit
[02:55:04	]Sir Duncan Wilford exited observer at their location.
[02:55:11	]Sir Duncan Wilford entered observer.
[02:55:12	]Sir Duncan Wilford exited observer at their location.
[02:55:18	]Sir Duncan Wilford has fired a toolgun with the name: nocollideworld
[02:55:52	]Sir Duncan Wilford entered observer.
[02:55:52	]Sir Duncan Wilford exited observer at their location.
[02:56:02	]Nazariy Svyatopolk Kozlov entered observer.
[02:56:03	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:56:12	][IC] Sir Duncan Wilford: BUT I'M THE FUCKING SA.
[02:56:13	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: vendor_edit
[02:56:24	][IT] Sir Duncan Wilford: ''Fuck off, retard'...
[02:56:33	]Sir Duncan Wilford has spawned 'models/vj_hlr/opfor/strooper.mdl'.
[02:56:34	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: remove
[02:56:38	]Sir Duncan Wilford has used a context menu option with the name: rb655_dissolve
[02:56:42	]Nazariy Svyatopolk Kozlov entered observer.
[02:56:43	]Sir Duncan Wilford entered observer.
[02:56:50	]Sir Duncan Wilford exited observer at their location.
[02:56:52	]Sir Duncan Wilford entered observer.
[02:56:54	]Sir Duncan Wilford exited observer at their location.
[02:56:54	]Sir Duncan Wilford entered observer.
[02:56:55	]Sir Duncan Wilford exited observer at their location.
[02:56:58	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:56:59	]Nazariy Svyatopolk Kozlov entered observer.
[02:57:01	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:57:02	]Nazariy Svyatopolk Kozlov entered observer.
[02:57:05	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:57:06	]Sir Duncan Wilford entered observer.
[02:57:11	]Sir Duncan Wilford exited observer at their location.
[02:57:12	]Sir Duncan Wilford entered observer.
[02:57:14	]Sir Duncan Wilford exited observer at their location.
[02:57:21	]Sir Duncan Wilford entered observer.
[02:57:25	]Sir Duncan Wilford exited observer at their location.
[02:57:26	]Sir Duncan Wilford entered observer.
[02:57:28	]Sir Duncan Wilford exited observer at their location.
[02:57:44	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: rb655_door_close
[02:57:45	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: rb655_door_close
[02:57:47	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: rb655_door_close
[02:57:50	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: skin
[02:57:51	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: skin
[02:57:53	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: skin
[02:57:54	]Sir Duncan Wilford entered observer.
[02:57:55	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: skin
[02:57:57	]Sir Duncan Wilford exited observer at their location.
[02:58:01	]Nazariy Svyatopolk Kozlov has given himself a combinelock.
[02:58:01	]Nazariy Svyatopolk Kozlov has gained a 'Combine Lock' #2046460.
[02:58:03	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'Combine Lock' (#2046460)
[02:58:08	][IC] Sir Duncan Wilford: ??????????????????????????????????????????????????
[02:58:08	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: rb655_dissolve
[02:58:11	]Sir Duncan Wilford used command '/CharFallOver 1'.
[02:58:12	]Sir Duncan Wilford used command '/CharFallOver 1'.
[02:58:23	]Sir Duncan Wilford used command '/CharFallOver 1'.
[02:58:37	]Nazariy Svyatopolk Kozlov was knocked unconscious and is bleeding out.
[02:58:45	]Nazariy Svyatopolk Kozlov ran SAM command 'respawn' with arguments: '^'
[02:58:52	]Nazariy Svyatopolk Kozlov ran SAM command 'hp' with arguments: '^' '100'
[02:58:53	]Nazariy Svyatopolk Kozlov is fully healed.
[02:59:18	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[02:59:24	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[02:59:24	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[02:59:42	]Sir Duncan Wilford has used a context menu option with the name: rb655_dissolve
[02:59:44	]env_entity_dissolver destroyed a 'Broken Biolock' #2046461.
[02:59:48	]Nazariy Svyatopolk Kozlov has given himself a tool_oven.
[02:59:49	]Sir Duncan Wilford entered observer.
[02:59:52	]Sir Duncan Wilford exited observer at their location.
[02:59:53	]Nazariy Svyatopolk Kozlov ran 'Consume' on item 'Sparkling Breen's Water' (#2046458)
[02:59:53	]Nazariy Svyatopolk Kozlov has gained a 'Empty Breen's Water' #2046462.
[02:59:53	]Sir Duncan Wilford entered observer.
[02:59:54	]Nazariy Svyatopolk Kozlov ran 'Consume' on item 'Apple' (#2046457)
[02:59:54	]Sir Duncan Wilford exited observer at their location.
[02:59:54	]Nazariy Svyatopolk Kozlov ran 'Consume' on item 'Watermelon Slice' (#2046456)
[02:59:54	]Sir Duncan Wilford entered observer.
[02:59:55	]Sir Duncan Wilford exited observer at their location.
[02:59:55	]Nazariy Svyatopolk Kozlov ran 'drop' on item 'Empty Breen's Water' (#2046462)
[02:59:55	]Nazariy Svyatopolk Kozlov has lost a 'Empty Breen's Water' #2046462.
[02:59:59	]Nazariy Svyatopolk Kozlov has given himself a tool_oven.
[02:59:59	]Nazariy Svyatopolk Kozlov has gained a 'Oven' #2046463.
[03:00:03	]Nazariy Svyatopolk Kozlov ran 'PackUp' on item 'Oven' (#2046463)
[03:00:05	]Nazariy Svyatopolk Kozlov ran 'place' on item 'Oven' (#2046463)
[03:00:17	]Sir Duncan Wilford entered observer.
[03:00:20	]Sir Duncan Wilford exited observer at their location.
[03:00:23	]Nazariy Svyatopolk Kozlov has given himself a tool_toolkit.
[03:00:23	]Nazariy Svyatopolk Kozlov has gained a 'Toolkit' #2046465.
[03:00:24	]Sir Duncan Wilford used command '/CharFallOver 1'.
[03:00:26	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Oven' (#2046464)
[03:00:30	]Sir Duncan Wilford entered observer.
[03:00:34	]Sir Duncan Wilford exited observer at their location.
[03:00:38	]Sir Duncan Wilford entered observer.
[03:00:39	]Sir Duncan Wilford exited observer at their location.
[03:00:41	]Sir Duncan Wilford entered observer.
[03:00:44	]Sir Duncan Wilford exited observer at their location.
[03:00:50	][IC] Sir Duncan Wilford: We'd like to contact you about your car's extended warranty.
[03:00:55	][IC] Nazariy Svyatopolk Kozlov: Someday, this will all be a bad memory.
[03:01:02	][Y] Sir Duncan Wilford: Hitler.
[03:01:07	]Sir Duncan Wilford entered observer.
[03:01:10	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: rb655_door_close
[03:01:11	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: rb655_door_close
[03:01:12	]Sir Duncan Wilford exited observer at their location.
[03:01:12	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: rb655_door_close
[03:01:14	]Sir Duncan Wilford entered observer.
[03:01:19	]Nazariy Svyatopolk Kozlov has given himself a tool_oven.
[03:01:19	]Nazariy Svyatopolk Kozlov has gained a 'Oven' #2046466.
[03:01:23	]Nazariy Svyatopolk Kozlov ran 'place' on item 'Oven' (#2046466)
[03:01:26	]Sir Duncan Wilford used command '/DoorSetTitle WHY THE FUCK'.
[03:01:33	]Sir Duncan Wilford has used a context menu option with the name: rb655_door_close
[03:01:34	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Oven' (#2046467)
[03:01:35	]Sir Duncan Wilford used command '/DoorSetTitle WHY THE FUCK'.
[03:01:44	]Sir Duncan Wilford exited observer at their location.
[03:01:48	]Sir Duncan Wilford has used a context menu option with the name: rb655_door_close
[03:01:50	]Nazariy Svyatopolk Kozlov entered observer.
[03:01:53	]Sir Duncan Wilford used command '/DoorSetTitle .'.
[03:01:55	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:01:56	]Sir Duncan Wilford has used a context menu option with the name: rb655_door_close
[03:01:58	]Sir Duncan Wilford entered observer.
[03:01:59	]Nazariy Svyatopolk Kozlov has given himself a tool_oven.
[03:01:59	]Nazariy Svyatopolk Kozlov has gained a 'Oven' #2046468.
[03:02:01	]Nazariy Svyatopolk Kozlov ran 'place' on item 'Oven' (#2046468)
[03:02:10	]Sir Duncan Wilford exited observer at their location.
[03:02:11	]Sir Duncan Wilford entered observer.
[03:02:14	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Oven' (#2046469)
[03:02:19	]Sir Duncan Wilford exited observer at their location.
[03:02:19	]Sir Duncan Wilford entered observer.
[03:02:20	]Sir Duncan Wilford exited observer at their location.
[03:02:21	]Sir Duncan Wilford entered observer.
[03:02:24	]Sir Duncan Wilford exited observer at their location.
[03:02:26	]Nazariy Svyatopolk Kozlov entered observer.
[03:02:27	]Sir Duncan Wilford entered observer.
[03:02:29	]Sir Duncan Wilford exited observer at their location.
[03:02:30	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:02:33	]Nazariy Svyatopolk Kozlov has given himself a tool_oven.
[03:02:33	]Nazariy Svyatopolk Kozlov has gained a 'Oven' #2046470.
[03:02:34	]Nazariy Svyatopolk Kozlov ran 'place' on item 'Oven' (#2046470)
[03:02:46	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Oven' (#2046471)
[03:02:59	]Nazariy Svyatopolk Kozlov entered observer.
[03:03:25	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:03:29	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:03:35	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:03:35	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:03:37	]Nazariy Svyatopolk Kozlov entered observer.
[03:03:40	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:03:41	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:03:47	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:03:47	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:03:48	]Nazariy Svyatopolk Kozlov entered observer.
[03:03:50	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:03:52	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:03:57	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:03:57	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:03:58	]Nazariy Svyatopolk Kozlov entered observer.
[03:04:02	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:04:03	]Nazariy Svyatopolk Kozlov entered observer.
[03:04:11	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:04:14	]Nazariy Svyatopolk Kozlov has given himself a tool_oven_rusty.
[03:04:14	]Nazariy Svyatopolk Kozlov has gained a 'Rusty Oven' #2046472.
[03:04:15	]Nazariy Svyatopolk Kozlov entered observer.
[03:04:19	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:04:21	]Nazariy Svyatopolk Kozlov ran 'place' on item 'Rusty Oven' (#2046472)
[03:04:33	]Sir Duncan Wilford entered observer.
[03:04:33	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Rusty Oven' (#2046473)
[03:04:37	]Sir Duncan Wilford exited observer at their location.
[03:04:38	]Sir Duncan Wilford entered observer.
[03:04:39	]Sir Duncan Wilford exited observer at their location.
[03:04:39	]Nazariy Svyatopolk Kozlov has given himself a tool_oven_rusty.
[03:04:39	]Nazariy Svyatopolk Kozlov has gained a 'Rusty Oven' #2046474.
[03:04:44	]Nazariy Svyatopolk Kozlov entered observer.
[03:04:44	]Sir Duncan Wilford entered observer.
[03:04:45	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:04:49	]Nazariy Svyatopolk Kozlov ran 'place' on item 'Rusty Oven' (#2046474)
[03:04:51	]Sir Duncan Wilford exited observer at their location.
[03:04:55	]Nazariy Svyatopolk Kozlov ran 'take' on item 'Rusty Oven' (#2046475)
[03:04:55	]Nazariy Svyatopolk Kozlov has gained a 'Rusty Oven' #2046475.
[03:04:57	]Sir Duncan Wilford used command '/DarwinAward sir'.
[03:04:58	]Nazariy Svyatopolk Kozlov ran 'place' on item 'Rusty Oven' (#2046475)
[03:05:05	]Imperator RAD-X (STEAM_0:0:13089494) has disconnected.
[03:05:08	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Rusty Oven' (#2046476)
[03:05:19	]Nazariy Svyatopolk Kozlov entered observer.
[03:05:20	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:05:22	]Nazariy Svyatopolk Kozlov has spawned a tool_oven_rusty.
[03:05:29	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Rusty Oven' (#2046477)
[03:05:42	]Nazariy Svyatopolk Kozlov entered observer.
[03:05:56	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:06:02	]Nazariy Svyatopolk Kozlov has spawned a tool_oven.
[03:06:12	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Oven' (#2046478)
[03:06:25	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:06:30	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:06:30	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:06:32	]Nazariy Svyatopolk Kozlov entered observer.
[03:06:34	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:06:37	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:06:40	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:06:40	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:06:44	]Nazariy Svyatopolk Kozlov has spawned a tool_oven_rusty.
[03:06:46	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: remove
[03:06:47	]Nazariy Svyatopolk Kozlov has spawned a tool_oven.
[03:06:58	]Nazariy Svyatopolk Kozlov ran 'Bolt' on item 'Oven' (#2046480)
[03:07:22	]Nazariy Svyatopolk Kozlov entered observer.
[03:07:25	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:07:34	]Nazariy Svyatopolk Kozlov has spawned 'models/props_interiors/bed.mdl'.
[03:07:37	]Nazariy Svyatopolk Kozlov entered observer.
[03:07:44	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:07:53	]Nazariy Svyatopolk Kozlov has spawned 'models/props/de_inferno/bed.mdl'.
[03:08:02	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props/de_inferno/bed.mdl'.
[03:08:02	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[03:08:03	]Nazariy Svyatopolk Kozlov entered observer.
[03:08:06	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:08:17	]Nazariy Svyatopolk Kozlov has spawned 'models/props/de_inferno/bed.mdl'.
[03:08:24	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props/de_inferno/bed.mdl'.
[03:08:24	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[03:08:40	]Nazariy Svyatopolk Kozlov entered observer.
[03:08:47	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:08:48	]Nazariy Svyatopolk Kozlov entered observer.
[03:08:49	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:08:52	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:08:56	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:08:56	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:08:57	]Nazariy Svyatopolk Kozlov entered observer.
[03:08:58	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:09:00	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:09:04	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:09:04	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:09:04	]Nazariy Svyatopolk Kozlov entered observer.
[03:09:05	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:09:06	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:09:11	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:09:11	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:09:12	]Nazariy Svyatopolk Kozlov entered observer.
[03:09:45	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:09:48	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:09:53	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:09:53	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:09:53	]Nazariy Svyatopolk Kozlov entered observer.
[03:09:57	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:09:58	]Nazariy Svyatopolk Kozlov entered observer.
[03:09:58	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:00	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:10:07	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:10:07	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:10:07	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:08	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:10	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:10:14	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:10:14	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:10:14	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:17	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:18	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:10:22	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:10:22	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:10:22	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:23	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:24	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:25	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:27	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:10:31	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:10:31	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:10:31	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:32	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:33	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:10:36	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:10:36	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:10:36	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:38	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:40	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:10:49	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:10:49	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:10:49	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:50	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:10:51	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[03:10:52	]Nazariy Svyatopolk Kozlov entered observer.
[03:10:59	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:11:01	]Nazariy Svyatopolk Kozlov created a 'Refrigerator' container.
[03:11:01	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: wncontainer_create
[03:11:03	]Nazariy Svyatopolk Kozlov entered observer.
[03:11:07	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:11:08	]Nazariy Svyatopolk Kozlov entered observer.
[03:11:09	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:11:16	]Nazariy Svyatopolk Kozlov has spawned a tool_oven.
[03:11:24	]Nazariy Svyatopolk Kozlov has fired a toolgun with the name: nocollideworld
[03:11:57	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: remove
[03:12:00	]Nazariy Svyatopolk Kozlov entered observer.
[03:12:17	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:12:36	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [439][ix_combinemonitor]'.
[03:12:38	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [533][ix_combinemonitor_small]'.
[03:12:43	]Nazariy Svyatopolk Kozlov entered observer.
[03:12:44	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:12:46	]Nazariy Svyatopolk Kozlov entered observer.
[03:13:08	]Nazariy Svyatopolk Kozlov has fired a toolgun with the name: nocollideworld
[03:13:34	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:13:48	]Nazariy Svyatopolk Kozlov entered observer.
[03:13:53	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:13:55	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [476][ix_terminal]'.
[03:14:03	]Nazariy Svyatopolk Kozlov entered observer.
[03:14:14	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:14:16	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [148][ix_terminal]'.
[03:14:21	]Nazariy Svyatopolk Kozlov entered observer.
[03:14:25	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:14:27	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [310][ix_terminal]'.
[03:15:05	]Nazariy Svyatopolk Kozlov entered observer.
[03:15:20	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:15:26	]Nazariy Svyatopolk Kozlov entered observer.
[03:15:56	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:16:08	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [533][ix_pickupterminal]'.
[03:16:22	]Nazariy Svyatopolk Kozlov entered observer.
[03:16:24	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:16:25	]Nazariy Svyatopolk Kozlov has spawned a 'Entity [434][ix_pickupterminal]'.
[03:16:52	]Nazariy Svyatopolk Kozlov entered observer.
[03:16:55	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:17:00	]Nazariy Svyatopolk Kozlov entered observer.
[03:17:30	]Nazariy Svyatopolk Kozlov used command '/CreateShop'.
[03:17:37	]Nazariy Svyatopolk Kozlov used command '/RemoveApartment'.
[03:18:11	]Nazariy Svyatopolk Kozlov used command '/AreaEdit'.
[03:19:54	]Nazariy Svyatopolk Kozlov has added area "Trainstation".
[03:22:30	]Nazariy Svyatopolk Kozlov used command '/AreaEdit'.
[03:23:10	]Nazariy Svyatopolk Kozlov has added area "CMRU - Research Labs".
[03:24:10	]Nazariy Svyatopolk Kozlov has added area "CLC Represenative Office".
[03:25:21	]Nazariy Svyatopolk Kozlov has added area "CPRD Labs".
[03:27:04	]Nazariy Svyatopolk Kozlov has added area "CMRU Medical - First Floor".
[03:27:24	]Nazariy Svyatopolk Kozlov has added area "CMRU Medical - Second Floor".
[03:29:08	]Nazariy Svyatopolk Kozlov has added area "Ration Distrubution Terminal".
[03:30:11	]Nazariy Svyatopolk Kozlov exited observer at their location.
[03:30:12	]Nazariy Svyatopolk Kozlov entered observer.
[03:31:19	]Nazariy Svyatopolk Kozlov has added area "Nexus - Incinerator".
[03:32:05	]Nazariy Svyatopolk Kozlov has added area "Nexus - Interrogation Room".
[03:33:58	]Nazariy Svyatopolk Kozlov has added area "I24 - Train Street".
[03:35:04	]Nazariy Svyatopolk Kozlov has added area "I24 - Outland Tunnel".
[03:36:32	]Nazariy Svyatopolk Kozlov has added area "I24 - Warehouse Street".
[03:37:30	]Nazariy Svyatopolk Kozlov has added area "Warehouse 3 - Upper Floor".
[03:38:14	]Nazariy Svyatopolk Kozlov has added area "Warehouse 3 - Catwalks".
