[13:27:13	]Ozzekiel has connected.
[18:18:39	]vortivort has taken 40 damage from Golongo.
[18:18:42	]Male_07 used command '/ToggleGM'.
[18:18:42	][OOC] vortivort: /addvortalenergy
[18:18:43	]Male_07 entered observer.
[18:18:45	]vortivort ran SAM command 'hp' with arguments: '^' '200'
[18:18:46	]Male_07 exited observer at their location.
[18:18:46	]vortivort exited observer at their location.
[18:18:49	]vortivort is fully healed.
[18:18:52	]1231 3123 was just killed due to: accepting their death
[18:18:53	]Male_07 used command '/PlyWhitelist Male vort'.
[18:18:54	]Gah'Lung'Gah has taken 40 damage from Golongo.
[18:18:54	]Male_07 was knocked unconscious and is bleeding out.
[18:18:54	]vortivort has taken 40 damage from Golongo.
[18:18:55	]1231 3123 used command '/CharGetUp'.
[18:18:56	]Male_07 was killed while bleeding out.
[18:18:56	]Gah'Lung'Gah has killed Male_07 with ix_vortpyro.
[18:19:00	]1231 3123 used command '/SetVortalEnergy ^ 10000000'.
[18:19:02	][IC] Golongo: So.
[18:19:02	][IC] Gah'Lung'Gah: Yes.
[18:19:03	]Golongo has taken 15 damage from vortivort.
[18:19:03	]Gah'Lung'Gah has taken 15 damage from vortivort.
[18:19:03	]Male_07 has taken 15 damage from vortivort.
[18:19:03	]Male_07 has taken 1 damage from entityflame.
[18:19:03	]Golongo has taken 1 damage from entityflame.
[18:19:03	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:03	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:03	]Male_07 has taken 1 damage from entityflame.
[18:19:03	]Golongo has taken 1 damage from entityflame.
[18:19:03	]Golongo has taken 1 damage from entityflame.
[18:19:03	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:03	]Male_07 has taken 1 damage from entityflame.
[18:19:04	]Golongo has taken 1 damage from entityflame.
[18:19:04	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:04	]Male_07 has taken 1 damage from entityflame.
[18:19:04	]Golongo has taken 1 damage from entityflame.
[18:19:04	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:04	]Male_07 has taken 1 damage from entityflame.
[18:19:04	]1231 3123 ran 'Consume' on item 'Extract Concoction' (#1650117)
[18:19:04	]1231 3123 has gained a level 15 long boost in Strength.
[18:19:04	]1231 3123 has gained a level 15 long boost in Agility.
[18:19:04	]1231 3123 has gained a level 15 long boost in Intelligence.
[18:19:04	]1231 3123 has gained a level 15 long boost in Perception.
[18:19:04	]Golongo has taken 1 damage from entityflame.
[18:19:04	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:04	]Male_07 has taken 1 damage from entityflame.
[18:19:04	]Golongo has taken 1 damage from entityflame.
[18:19:04	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:04	]Male_07 has taken 1 damage from entityflame.
[18:19:04	]Golongo has taken 1 damage from entityflame.
[18:19:04	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:04	]Male_07 has taken 1 damage from entityflame.
[18:19:04	]1231 3123 entered observer.
[18:19:05	]Golongo has taken 1 damage from entityflame.
[18:19:05	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:05	]Male_07 has taken 1 damage from entityflame.
[18:19:05	]Golongo has taken 1 damage from entityflame.
[18:19:05	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:05	]Male_07 has taken 1 damage from entityflame.
[18:19:05	]Golongo has taken 1 damage from entityflame.
[18:19:05	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:05	]Male_07 has taken 1 damage from entityflame.
[18:19:05	]Golongo has taken 1 damage from entityflame.
[18:19:05	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:05	]Male_07 has taken 1 damage from entityflame.
[18:19:05	]Golongo has taken 1 damage from entityflame.
[18:19:05	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:05	]Male_07 has taken 1 damage from entityflame.
[18:19:05	][IC] Gah'Lung'Gah: Help.
[18:19:06	]Golongo has taken 1 damage from entityflame.
[18:19:06	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:06	]Male_07 has taken 1 damage from entityflame.
[18:19:06	]Golongo has taken 1 damage from entityflame.
[18:19:06	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:06	]Male_07 has taken 1 damage from entityflame.
[18:19:06	]Golongo has taken 1 damage from entityflame.
[18:19:06	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:06	]Male_07 has taken 1 damage from entityflame.
[18:19:06	]Golongo has taken 1 damage from entityflame.
[18:19:06	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:06	]Male_07 has taken 1 damage from entityflame.
[18:19:06	]Golongo has taken 1 damage from entityflame.
[18:19:06	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:06	]Male_07 has taken 1 damage from entityflame.
[18:19:07	]Golongo has taken 1 damage from entityflame.
[18:19:07	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:07	]Male_07 has taken 1 damage from entityflame.
[18:19:07	]Golongo has taken 1 damage from entityflame.
[18:19:07	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:07	]Male_07 has taken 1 damage from entityflame.
[18:19:07	]Golongo has taken 1 damage from entityflame.
[18:19:07	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:07	]Male_07 has taken 1 damage from entityflame.
[18:19:07	]Golongo has taken 1 damage from entityflame.
[18:19:07	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:07	]Male_07 has taken 1 damage from entityflame.
[18:19:07	][IC] Golongo: How  do i do the fire one.
[18:19:07	]Golongo has taken 1 damage from entityflame.
[18:19:07	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:07	]Male_07 has taken 1 damage from entityflame.
[18:19:07	][IC] Gah'Lung'Gah: Ow.
[18:19:08	]Golongo has taken 1 damage from entityflame.
[18:19:08	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:08	]Male_07 has taken 1 damage from entityflame.
[18:19:08	]Golongo has taken 1 damage from entityflame.
[18:19:08	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:08	]Male_07 has taken 1 damage from entityflame.
[18:19:08	]Golongo has taken 1 damage from entityflame.
[18:19:08	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:08	]Male_07 has taken 1 damage from entityflame.
[18:19:08	]Golongo has taken 1 damage from entityflame.
[18:19:08	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:08	]Male_07 has taken 1 damage from entityflame.
[18:19:08	]Golongo has taken 1 damage from entityflame.
[18:19:08	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:08	]Male_07 has taken 1 damage from entityflame.
[18:19:09	]Golongo has taken 1 damage from entityflame.
[18:19:09	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:09	]Male_07 has taken 1 damage from entityflame.
[18:19:09	]Golongo has taken 15 damage from vortivort.
[18:19:09	]1231 3123 has taken 15 damage from vortivort.
[18:19:09	]Gah'Lung'Gah has taken 15 damage from vortivort.
[18:19:09	]1231 3123 has taken 1 damage from entityflame.
[18:19:09	]Golongo has taken 1 damage from entityflame.
[18:19:09	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:09	]Male_07 has taken 1 damage from entityflame.
[18:19:09	]1231 3123 exited observer at their location.
[18:19:09	]1231 3123 has taken 1 damage from entityflame.
[18:19:09	]Golongo has taken 1 damage from entityflame.
[18:19:09	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:09	]Male_07 has taken 1 damage from entityflame.
[18:19:09	][IC] Gah'Lung'Gah: Ow.
[18:19:09	]1231 3123 has taken 1 damage from entityflame.
[18:19:09	]Golongo has taken 1 damage from entityflame.
[18:19:09	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:09	]Male_07 has taken 1 damage from entityflame.
[18:19:09	]1231 3123 has taken 1 damage from entityflame.
[18:19:09	]Golongo has taken 1 damage from entityflame.
[18:19:09	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:09	]Male_07 has taken 1 damage from entityflame.
[18:19:10	]1231 3123 has taken 1 damage from entityflame.
[18:19:10	]Golongo has taken 1 damage from entityflame.
[18:19:10	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:10	]Male_07 has taken 1 damage from entityflame.
[18:19:10	]1231 3123 has taken 1 damage from entityflame.
[18:19:10	]Golongo has taken 1 damage from entityflame.
[18:19:10	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:10	]Male_07 has taken 1 damage from entityflame.
[18:19:10	]1231 3123 has taken 1 damage from entityflame.
[18:19:10	]Golongo has taken 1 damage from entityflame.
[18:19:10	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:10	]Male_07 has taken 1 damage from entityflame.
[18:19:10	]1231 3123 has taken 1 damage from entityflame.
[18:19:10	]Golongo has taken 1 damage from entityflame.
[18:19:10	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:10	]Male_07 has taken 1 damage from entityflame.
[18:19:10	]1231 3123 has taken 1 damage from entityflame.
[18:19:10	]Golongo has taken 1 damage from entityflame.
[18:19:10	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:10	]Male_07 has taken 1 damage from entityflame.
[18:19:11	]1231 3123 has taken 1 damage from entityflame.
[18:19:11	]Golongo has taken 1 damage from entityflame.
[18:19:11	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:11	]Male_07 has taken 1 damage from entityflame.
[18:19:11	]1231 3123 has taken 1 damage from entityflame.
[18:19:11	]Golongo has taken 1 damage from entityflame.
[18:19:11	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:11	]Male_07 has taken 1 damage from entityflame.
[18:19:11	]1231 3123 entered observer.
[18:19:11	]1231 3123 has taken 1 damage from entityflame.
[18:19:11	]Golongo has taken 1 damage from entityflame.
[18:19:11	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:11	]Male_07 has taken 1 damage from entityflame.
[18:19:11	]1231 3123 has taken 1 damage from entityflame.
[18:19:11	]Golongo has taken 1 damage from entityflame.
[18:19:11	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:11	]Male_07 has taken 1 damage from entityflame.
[18:19:11	]1231 3123 has taken 1 damage from entityflame.
[18:19:11	]Golongo has taken 1 damage from entityflame.
[18:19:11	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:11	]Male_07 has taken 1 damage from entityflame.
[18:19:12	]1231 3123 has taken 1 damage from entityflame.
[18:19:12	]Golongo has taken 1 damage from entityflame.
[18:19:12	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:12	]Male_07 has taken 1 damage from entityflame.
[18:19:12	]1231 3123 has taken 1 damage from entityflame.
[18:19:12	]Golongo has taken 1 damage from entityflame.
[18:19:12	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:12	]Male_07 has taken 1 damage from entityflame.
[18:19:12	]1231 3123 has taken 1 damage from entityflame.
[18:19:12	]Golongo has taken 1 damage from entityflame.
[18:19:12	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:12	]Male_07 has taken 1 damage from entityflame.
[18:19:12	]1231 3123 has taken 1 damage from entityflame.
[18:19:12	]Golongo has taken 1 damage from entityflame.
[18:19:12	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:12	]Male_07 has taken 1 damage from entityflame.
[18:19:12	]1231 3123 has taken 1 damage from entityflame.
[18:19:12	]Golongo has taken 1 damage from entityflame.
[18:19:12	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:12	]Male_07 has taken 1 damage from entityflame.
[18:19:13	][IC] Gah'Lung'Gah: Select Vortipyro.
[18:19:13	]1231 3123 has taken 1 damage from entityflame.
[18:19:13	]Golongo has taken 1 damage from entityflame.
[18:19:13	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:13	]Male_07 has taken 1 damage from entityflame.
[18:19:13	]1231 3123 has taken 1 damage from entityflame.
[18:19:13	]Golongo has taken 1 damage from entityflame.
[18:19:13	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:13	]Male_07 has taken 1 damage from entityflame.
[18:19:13	]1231 3123 has taken 1 damage from entityflame.
[18:19:13	]Golongo has taken 1 damage from entityflame.
[18:19:13	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:13	]Male_07 has taken 1 damage from entityflame.
[18:19:13	]Golongo has taken 96 damage from vortivort.
[18:19:13	]Gah'Lung'Gah has taken 96 damage from vortivort.
[18:19:13	]1231 3123 has taken 1 damage from entityflame.
[18:19:13	]Golongo has taken 1 damage from entityflame.
[18:19:13	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:13	]Male_07 has taken 1 damage from entityflame.
[18:19:13	]1231 3123 exited observer at their location.
[18:19:13	]1231 3123 has taken 1 damage from entityflame.
[18:19:13	]Golongo has taken 1 damage from entityflame.
[18:19:13	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:13	]Male_07 has taken 1 damage from entityflame.
[18:19:14	]1231 3123 has taken 1 damage from entityflame.
[18:19:14	]Golongo has taken 1 damage from entityflame.
[18:19:14	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:14	]Male_07 has taken 1 damage from entityflame.
[18:19:14	]1231 3123 has taken 1 damage from entityflame.
[18:19:14	]Golongo has taken 1 damage from entityflame.
[18:19:14	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:14	]Male_07 has taken 1 damage from entityflame.
[18:19:14	]1231 3123 has taken 1 damage from entityflame.
[18:19:14	]Golongo has taken 1 damage from entityflame.
[18:19:14	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:14	]Male_07 has taken 1 damage from entityflame.
[18:19:14	]1231 3123 has taken 1 damage from entityflame.
[18:19:14	]Golongo has taken 1 damage from entityflame.
[18:19:14	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:14	]Male_07 has taken 1 damage from entityflame.
[18:19:14	]1231 3123 has taken 1 damage from entityflame.
[18:19:14	]Golongo has taken 1 damage from entityflame.
[18:19:14	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:14	]Male_07 has taken 1 damage from entityflame.
[18:19:15	]1231 3123 has taken 1 damage from entityflame.
[18:19:15	]Golongo has taken 1 damage from entityflame.
[18:19:15	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:15	]Male_07 has taken 1 damage from entityflame.
[18:19:15	]1231 3123 has taken 1 damage from entityflame.
[18:19:15	]Golongo has taken 1 damage from entityflame.
[18:19:15	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:15	]Male_07 has taken 1 damage from entityflame.
[18:19:15	]1231 3123 has taken 1 damage from entityflame.
[18:19:15	]Golongo has taken 1 damage from entityflame.
[18:19:15	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:15	]1231 3123 has taken 1 damage from entityflame.
[18:19:15	]Golongo has taken 1 damage from entityflame.
[18:19:15	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:15	]1231 3123 has taken 1 damage from entityflame.
[18:19:15	]Golongo has taken 1 damage from entityflame.
[18:19:15	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:16	]1231 3123 has taken 1 damage from entityflame.
[18:19:16	]Golongo has taken 1 damage from entityflame.
[18:19:16	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:16	]Golongo ran SAM command 'hp' with arguments: '^' '250'
[18:19:16	]1231 3123 has taken 1 damage from entityflame.
[18:19:16	]Golongo has taken 1 damage from entityflame.
[18:19:16	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:16	]Gah'Lung'Gah has given himself a xen_concoction.
[18:19:16	]Gah'Lung'Gah has gained a 'Extract Concoction' #1650142.
[18:19:16	]1231 3123 has taken 1 damage from entityflame.
[18:19:16	]Golongo has taken 1 damage from entityflame.
[18:19:16	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:16	]1231 3123 has taken 96 damage from vortivort.
[18:19:16	]1231 3123 has taken 1 damage from entityflame.
[18:19:16	]Golongo has taken 1 damage from entityflame.
[18:19:16	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:16	]1231 3123 has taken 1 damage from entityflame.
[18:19:16	]Golongo has taken 1 damage from entityflame.
[18:19:16	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:17	]1231 3123 has taken 1 damage from entityflame.
[18:19:17	]Golongo has taken 1 damage from entityflame.
[18:19:17	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:17	]Golongo ran SAM command 'hp' with arguments: '^' '250'
[18:19:17	]1231 3123 has taken 1 damage from entityflame.
[18:19:17	]Golongo has taken 1 damage from entityflame.
[18:19:17	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:17	]1231 3123 has taken 1 damage from entityflame.
[18:19:17	]Golongo has taken 1 damage from entityflame.
[18:19:17	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:17	]1231 3123 has taken 1 damage from entityflame.
[18:19:17	]Golongo has taken 1 damage from entityflame.
[18:19:17	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:17	]Golongo ran SAM command 'hp' with arguments: '^' '250'
[18:19:17	]1231 3123 has taken 1 damage from entityflame.
[18:19:17	]Golongo has taken 1 damage from entityflame.
[18:19:17	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:18	]Golongo has taken 96 damage from 1231 3123.
[18:19:18	]1231 3123 has taken 1 damage from entityflame.
[18:19:18	]Golongo has taken 1 damage from entityflame.
[18:19:18	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:18	]Gah'Lung'Gah ran 'Consume' on item 'Extract Concoction' (#1650142)
[18:19:18	]Gah'Lung'Gah has wasted a level 15 long boost in Strength (current: 0; target: 15).
[18:19:18	]Gah'Lung'Gah has wasted a level 15 long boost in Agility (current: 0; target: 15).
[18:19:18	]Gah'Lung'Gah has wasted a level 15 long boost in Intelligence (current: 0; target: 15).
[18:19:18	]Gah'Lung'Gah has wasted a level 15 long boost in Perception (current: 0; target: 15).
[18:19:18	]1231 3123 has taken 1 damage from entityflame.
[18:19:18	]Golongo has taken 1 damage from entityflame.
[18:19:18	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:18	]1231 3123 has taken 1 damage from entityflame.
[18:19:18	]Golongo has taken 1 damage from entityflame.
[18:19:18	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:18	]1231 3123 has taken 1 damage from entityflame.
[18:19:18	]Golongo has taken 1 damage from entityflame.
[18:19:18	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:18	]1231 3123 has taken 1 damage from entityflame.
[18:19:18	]Golongo has taken 1 damage from entityflame.
[18:19:18	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:19	]1231 3123 has taken 1 damage from entityflame.
[18:19:19	]Golongo has taken 1 damage from entityflame.
[18:19:19	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:19	]1231 3123 has taken 1 damage from entityflame.
[18:19:19	]Golongo has taken 1 damage from entityflame.
[18:19:19	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:19	]1231 3123 used command '/SetVortalEnergy ^ 10000000'.
[18:19:19	]1231 3123 has taken 1 damage from entityflame.
[18:19:19	]Golongo has taken 1 damage from entityflame.
[18:19:19	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:19	]Golongo has taken 96 damage from vortivort.
[18:19:19	]1231 3123 was knocked unconscious and is bleeding out.
[18:19:19	]Golongo has taken 1 damage from entityflame.
[18:19:19	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:19	]Golongo has taken 1 damage from entityflame.
[18:19:19	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:20	]Golongo has taken 1 damage from entityflame.
[18:19:20	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:20	]Golongo ran SAM command 'hp' with arguments: '^' '60000'
[18:19:20	]1231 3123 was killed while bleeding out.
[18:19:20	]entityflame has killed 1231 3123 with entityflame.
[18:19:20	]Golongo has taken 1 damage from entityflame.
[18:19:20	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:20	]Golongo has taken 1 damage from entityflame.
[18:19:20	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:20	]Golongo has taken 1 damage from entityflame.
[18:19:20	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:20	]Golongo has taken 1 damage from entityflame.
[18:19:20	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:21	]Golongo has taken 1 damage from entityflame.
[18:19:21	]Gah'Lung'Gah has taken 1 damage from entityflame.
[18:19:21	]1231 3123 used command '/CharGetUp'.
[18:19:22	]Golongo has taken 96 damage from vortivort.
[18:19:22	]Gah'Lung'Gah has taken 96 damage from vortivort.
[18:19:22	]Golongo has taken 15 damage from Gah'Lung'Gah.
[18:19:22	]Male_07 has taken 15 damage from Gah'Lung'Gah.
[18:19:23	]Male_07 has taken 1 damage from entityflame.
[18:19:23	]Golongo has taken 1 damage from entityflame.
[18:19:23	]Golongo has taken 1 damage from entityflame.
[18:19:23	]Male_07 has taken 1 damage from entityflame.
[18:19:23	]Golongo has taken 1 damage from entityflame.
[18:19:23	]Male_07 has taken 1 damage from entityflame.
[18:19:23	]Golongo has taken 1 damage from entityflame.
[18:19:23	]Male_07 has taken 1 damage from entityflame.
[18:19:23	]Golongo has taken 1 damage from entityflame.
[18:19:23	]Male_07 has taken 1 damage from entityflame.
[18:19:24	]Golongo has taken 1 damage from entityflame.
[18:19:24	]Male_07 has taken 1 damage from entityflame.
[18:19:24	]Golongo has taken 1 damage from entityflame.
[18:19:24	]Male_07 has taken 1 damage from entityflame.
[18:19:24	]Golongo is fully healed.
[18:19:24	]Golongo has taken 1 damage from entityflame.
[18:19:24	]Male_07 has taken 1 damage from entityflame.
[18:19:24	]Golongo has taken 1 damage from entityflame.
[18:19:24	]Male_07 was knocked unconscious and is bleeding out.
[18:19:24	]Golongo has taken 1 damage from entityflame.
[18:19:25	]Golongo has taken 1 damage from entityflame.
[18:19:25	]Male_07 was killed while bleeding out.
[18:19:25	]entityflame has killed Male_07 with entityflame.
[18:19:25	]Golongo has taken 1 damage from entityflame.
[18:19:25	]Golongo has taken 1 damage from entityflame.
[18:19:25	]Golongo has taken 1 damage from entityflame.
[18:19:25	]Golongo has taken 1 damage from entityflame.
[18:19:25	]Golongo has taken 96 damage from vortivort.
[18:19:25	]Gah'Lung'Gah was knocked unconscious and is bleeding out.
[18:19:26	]Golongo has taken 1 damage from entityflame.
[18:19:26	]Male_07 has taken 1 damage from entityflame.
[18:19:26	]Golongo has taken 1 damage from entityflame.
[18:19:26	]Golongo has taken 1 damage from entityflame.
[18:19:26	]Golongo has taken 1 damage from entityflame.
[18:19:26	]Golongo has taken 1 damage from entityflame.
[18:19:27	]Golongo has taken 1 damage from entityflame.
[18:19:27	]Golongo has taken 1 damage from entityflame.
[18:19:27	]Golongo has taken 1 damage from entityflame.
[18:19:27	]Golongo has taken 1 damage from entityflame.
[18:19:27	][IC] Golongo: How to fire vort.
[18:19:27	]Golongo has taken 1 damage from entityflame.
[18:19:28	]Golongo has taken 1 damage from entityflame.
[18:19:28	]Golongo has taken 1 damage from entityflame.
[18:19:28	]Golongo has taken 1 damage from entityflame.
[18:19:28	]Golongo has taken 1 damage from entityflame.
[18:19:28	]Golongo has taken 1 damage from entityflame.
[18:19:28	][IC] Gah'Lung'Gah: Ow.
[18:19:28	]Golongo has taken 96 damage from vortivort.
[18:19:28	]Gah'Lung'Gah was killed while bleeding out.
[18:19:28	]vortivort has killed Gah'Lung'Gah with ix_vortadvancedbeam.
[18:19:29	]Golongo has taken 1 damage from entityflame.
[18:19:29	]Golongo has taken 1 damage from entityflame.
[18:19:29	]Golongo is fully healed.
[18:19:29	]Golongo has taken 1 damage from entityflame.
[18:19:29	]Golongo has taken 1 damage from entityflame.
[18:19:29	]Golongo has taken 1 damage from entityflame.
[18:19:30	]Golongo has taken 1 damage from entityflame.
[18:19:30	]Golongo has taken 1 damage from entityflame.
[18:19:30	]Golongo has taken 1 damage from entityflame.
[18:19:30	]Golongo has taken 1 damage from entityflame.
[18:19:30	]Golongo has taken 1 damage from entityflame.
[18:19:31	]Golongo has taken 1 damage from entityflame.
[18:19:31	]Golongo has taken 1 damage from entityflame.
[18:19:31	][IC] Gah'Lung'Gah: Ow.
[18:19:31	]Golongo has taken 1 damage from entityflame.
[18:19:31	]Golongo has taken 1 damage from entityflame.
[18:19:31	]Golongo has taken 1 damage from entityflame.
[18:19:32	]Golongo has taken 1 damage from entityflame.
[18:19:32	]Golongo has taken 1 damage from entityflame.
[18:19:32	]Golongo has taken 1 damage from entityflame.
[18:19:32	]Golongo has taken 96 damage from vortivort.
[18:19:32	]Golongo has taken 1 damage from entityflame.
[18:19:32	][IC] Gah'Lung'Gah: Ow.
[18:19:32	]Golongo has taken 1 damage from entityflame.
[18:19:33	]Golongo has taken 1 damage from entityflame.
[18:19:33	]Golongo has taken 1 damage from entityflame.
[18:19:33	]Golongo has taken 1 damage from entityflame.
[18:19:33	][IC] Gah'Lung'Gah: O.
[18:19:33	]Golongo has taken 1 damage from entityflame.
[18:19:33	]Golongo has taken 1 damage from entityflame.
[18:19:34	]Golongo has taken 1 damage from entityflame.
[18:19:34	]Golongo has taken 1 damage from entityflame.
[18:19:34	]Golongo is fully healed.
[18:19:34	]Golongo has taken 1 damage from entityflame.
[18:19:34	][IC] Gah'Lung'Gah: Ow.
[18:19:34	]Golongo has taken 1 damage from entityflame.
[18:19:34	]Golongo has taken 1 damage from entityflame.
[18:19:35	]Golongo has taken 96 damage from vortivort.
[18:19:35	][IC] Gah'Lung'Gah: Ow.
[18:19:35	]1231 3123 used command '/SetVortalEnergy ^ 10000000'.
[18:19:38	]1231 3123 has taken 96 damage from vortivort.
[18:19:39	]Golongo is fully healed.
[18:19:42	]Golongo has taken 96 damage from Gah'Lung'Gah.
[18:19:42	]1231 3123 has taken 96 damage from Gah'Lung'Gah.
[18:19:43	]Golongo used command '/CharGiveFlag ^ q'.
[18:19:44	]Golongo is fully healed.
[18:19:45	]vortivort has taken 96 damage from Gah'Lung'Gah.
[18:19:46	]Golongo has taken 40 damage from vortivort.
[18:19:46	]1231 3123 was knocked unconscious and is bleeding out.
[18:19:46	]Gah'Lung'Gah has taken 40 damage from vortivort.
[18:19:47	]1231 3123 used command '/CharGetUp'.
[18:19:49	]Golongo is fully healed.
[18:19:49	]vortivort ran SAM command 'hp' with arguments: '^' '200'
[18:19:49	]vortivort is fully healed.
[18:19:50	]Golongo has taken 40 damage from Gah'Lung'Gah.
[18:19:50	]1231 3123 was killed while bleeding out.
[18:19:50	]Gah'Lung'Gah has killed 1231 3123 with ix_vortslam.
[18:19:52	]Male_07 has taken 40 damage from vortivort.
[18:19:54	]Golongo is fully healed.
[18:19:56	]vortivort has taken 96 damage from 1231 3123.
[18:19:56	]1231 3123 has taken 40 damage from vortivort.
[18:19:56	]Gah'Lung'Gah has taken 40 damage from vortivort.
[18:19:56	]Male_07 has taken 40 damage from vortivort.
[18:19:57	]1231 3123 has taken 40 damage from Gah'Lung'Gah.
[18:19:57	]Male_07 was knocked unconscious and is bleeding out.
[18:19:57	]vortivort has taken 40 damage from Gah'Lung'Gah.
[18:19:58	]1231 3123 used command '/SetVortalEnergy ^ 10000000'.
[18:19:59	]vortivort ran SAM command 'hp' with arguments: '^' '200'
[18:19:59	]Gah'Lung'Gah has taken 40 damage from vortivort.
[18:19:59	]Male_07 was killed while bleeding out.
[18:19:59	]vortivort has killed Male_07 with ix_vortslam.
[18:19:59	]vortivort is fully healed.
