[00:00:20	][IC] Mar'Eyoo: Stop typing.
[01:22:16	]C24:i3.GRID-2 ran 'drop' on item 'Assault Rifle Bullets' (#1656463)
[01:22:16	]C24:i3.GRID-2 has lost a 'Assault Rifle Bullets' #1656463.
[01:22:16	]C24:i2.XRAY-1 used the 'John Doe' vendor.
[01:22:16	][IC] Pathfinder: Hi.
[01:22:16	]C17:RCT.YELLO-83 has gained 0 chips.
[01:22:16	]C17:RCT.YELLO-83 has gained a 'Buckshot Shotgun Shells' #1656499.
[01:22:16	][OOC] Felix: where are the vendors ?
[01:22:16	]C24:RL.XRAY-6 ran 'drop' on item '17rnd Usp-magazine' (#1640431)
[01:22:16	]C24:RL.XRAY-6 has lost a '17rnd Usp-magazine' #1640431.
[01:22:16	]Bottom G used command '/ToggleGM'.
[01:22:16	]C24:i3.GRID-2 ran 'drop' on item 'Assault Rifle Bullets' (#1656460)
[01:22:16	]C24:i3.GRID-2 has lost a 'Assault Rifle Bullets' #1656460.
[01:22:17	]C24:i2.VICE-1 has gained 0 chips.
[01:22:17	]C24:i2.VICE-1 has gained a 'Repair Plating' #1656500.
[01:22:17	]C17:RCT.YELLO-83 has gained 0 chips.
[01:22:17	]C17:RCT.YELLO-83 has gained a 'Buckshot Shotgun Shells' #1656501.
[01:22:17	][IC] Keiichi Ishikawa: The nome.
[01:22:17	]Chen Fa ran 'take' on item 'Combine PDA' (#388565)
[01:22:17	]Chen Fa has gained a 'Combine PDA' #388565.
[01:22:17	]Pathfinder used command '/ToggleRaise'.
[01:22:17	]C24:i3.GRID-2 ran 'drop' on item 'Assault Rifle Bullets' (#1656459)
[01:22:17	]C24:i3.GRID-2 has lost a 'Assault Rifle Bullets' #1656459.
[01:22:18	][OOC] McGee: imma be honest, I still have a Scar-H from a previous thing. can I use that or nah?
[01:22:18	]C24:i2.VICE-1 has gained 0 chips.
[01:22:18	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656502.
[01:22:18	][IC] Homat homatch: <:: How many bullets it take. ::>
[01:22:18	]C24:i2.VICE-1 has gained 0 chips.
[01:22:18	]C24:i3.GRID-2 ran 'drop' on item 'Assault Rifle Bullets' (#1656457)
[01:22:18	]C24:i3.GRID-2 has lost a 'Assault Rifle Bullets' #1656457.
[01:22:18	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656503.
[01:22:19	]Kaffee ran SAM command 'bring' with arguments: 'mat'
[01:22:19	]C24:i2.VICE-1 has gained 0 chips.
[01:22:19	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656504.
[01:22:19	]C24:RL.XRAY-6 ran 'drop' on item 'Suitcase' (#1640373)
[01:22:19	]C24:RL.XRAY-6 has lost a 'Suitcase' #1640373.
[01:22:19	]C24:RL.XRAY-6 has lost a 'Incendiary Grenade' #1651056.
[01:22:19	]C24:RL.XRAY-6 has lost a 'Incendiary Grenade' #1650990.
[01:22:19	]C24:RL.XRAY-6 has lost a 'CP Mask' #1642796.
[01:22:19	]C24:RL.XRAY-6 has lost a 'Incendiary Grenade' #1651707.
[01:22:19	]C24:RL.XRAY-6 has lost a 'Black Fedora' #1640342.
[01:22:19	]C24:RL.XRAY-6 has lost a 'Dress Shoes' #1640346.
[01:22:19	]C24:RL.XRAY-6 has lost a 'Gloves' #1608759.
[01:22:19	]C24:RL.XRAY-6 has lost a '25rnd Ump-magazine' #1640433.
[01:22:19	]C24:i3.GRID-2 ran 'drop' on item 'Assault Rifle Bullets' (#1656455)
[01:22:19	]C24:i3.GRID-2 has lost a 'Assault Rifle Bullets' #1656455.
[01:22:19	]C24:i2.VICE-1 has gained 0 chips.
[01:22:19	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656505.
[01:22:20	]C24:i2.VICE-1 has gained 0 chips.
[01:22:20	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656506.
[01:22:20	]C24:i3.GRID-2 ran 'drop' on item 'Buckshot Shotgun Shells' (#1654081)
[01:22:20	]C24:i3.GRID-2 has lost a 'Buckshot Shotgun Shells' #1654081.
[01:22:20	]C24:RL.XRAY-6 ran 'drop' on item 'Stunstick' (#1646573)
[01:22:20	]C24:RL.XRAY-6 has lost a 'Stunstick' #1646573.
[01:22:20	]C24:i2.VICE-1 has gained 0 chips.
[01:22:20	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656507.
[01:22:21	]C24:i2.VICE-1 has gained 0 chips.
[01:22:21	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656508.
[01:22:21	]C24:i3.GRID-2 ran 'drop' on item 'Buckshot Shotgun Shells' (#1654083)
[01:22:21	]C24:i3.GRID-2 has lost a 'Buckshot Shotgun Shells' #1654083.
[01:22:21	]GOBLY GOOK ran 'take' on item 'Request Device' (#1649237)
[01:22:21	]GOBLY GOOK has gained a 'Request Device' #1649237.
[01:22:21	]C24:i2.VICE-1 has gained 0 chips.
[01:22:21	]C17:RCT.YELLO-83 ran 'drop' on item 'Buckshot Shotgun Shells' (#1655510)
[01:22:21	]C17:RCT.YELLO-83 has lost a 'Buckshot Shotgun Shells' #1655510.
[01:22:21	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656509.
[01:22:22	]McGee used the 'John Doe' vendor.
[01:22:22	]C24:i2.VICE-1 has gained 0 chips.
[01:22:22	]C24:i3.GRID-2 ran 'drop' on item 'Buckshot Shotgun Shells' (#1654085)
[01:22:22	]C24:i3.GRID-2 has lost a 'Buckshot Shotgun Shells' #1654085.
[01:22:22	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656510.
[01:22:22	]Pathfinder used command '/ToggleRaise'.
[01:22:22	]C17:RCT.YELLO-83 used the 'John Doe' vendor.
[01:22:22	]Kaffee ran SAM command 'bring' with arguments: 'winter'
[01:22:22	]C24:i2.VICE-1 has gained 0 chips.
[01:22:22	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656511.
[01:22:23	]C24:i3.GRID-2 ran 'drop' on item 'Buckshot Shotgun Shells' (#1654105)
[01:22:23	]C24:i3.GRID-2 has lost a 'Buckshot Shotgun Shells' #1654105.
[01:22:23	]C24:i2.VICE-1 has gained 0 chips.
[01:22:23	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656512.
[01:22:23	]C24:RL.XRAY-6 ran 'take' on item 'Book' (#1034971)
[01:22:23	]C24:RL.XRAY-6 has gained a 'Book' #1034971.
[01:22:23	]C24:i2.VICE-1 has gained 0 chips.
[01:22:23	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656513.
[01:22:24	]C24:RL.VICE-9 used the 'John Doe' vendor.
[01:22:24	]GOBLY GOOK ran 'Bind' on item 'Request Device' (#1649237)
[01:22:24	]C24:i2.VICE-1 has gained 0 chips.
[01:22:24	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656514.
[01:22:24	]C24:i3.GRID-2 ran 'drop' on item 'Sub-machinegun Bullets' (#1650471)
[01:22:24	]C24:i3.GRID-2 has lost a 'Sub-machinegun Bullets' #1650471.
[01:22:24	][OOC] Kaffee: yes
[01:22:24	]C24:i2.VICE-1 has gained 0 chips.
[01:22:24	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656515.
[01:22:25	]Bottom G has fired a toolgun with the name: rb655_easy_bodygroup
[01:22:25	]C17:RCT.YELLO-83 has gained 0 chips.
[01:22:25	]C24:i3.GRID-2 ran 'drop' on item 'Sub-machinegun Bullets' (#1650470)
[01:22:25	]C24:i3.GRID-2 has lost a 'Sub-machinegun Bullets' #1650470.
[01:22:25	]C17:RCT.YELLO-83 has gained a 'Buckshot Shotgun Shells' #1656516.
[01:22:25	]C24:i2.VICE-1 has gained 0 chips.
[01:22:25	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656517.
[01:22:25	]Chen Fa ran 'Equip' on item 'Combine PDA' (#388565)
[01:22:25	]C24:i2.XRAY-1 used the 'John Doe' vendor.
[01:22:25	]C24:i2.VICE-1 has gained 0 chips.
[01:22:25	]C24:i2.VICE-1 has gained a 'Rifle Bullets' #1656518.
[01:22:26	]C24:i3.GRID-2 ran 'drop' on item 'Sub-machinegun Bullets' (#1650858)
[01:22:26	]C24:i3.GRID-2 has lost a 'Sub-machinegun Bullets' #1650858.
[01:22:26	]GOBLY GOOK ran 'RequestCp' on item 'Request Device' (#1649237)
[01:22:26	]C24:RL.XRAY-6 ran 'drop' on item 'Book' (#1034971)
[01:22:26	]C24:RL.XRAY-6 has lost a 'Book' #1034971.
[01:22:26	]Homat homatch destroyed a 'Assault Rifle Bullets' #1656294.
[01:22:27	]Homat homatch destroyed a 'Assault Rifle Ammo' #1656290.
[01:22:28	]C24:i3.GRID-2 used command '/ToggleRaise'.
[01:22:28	]Homat homatch destroyed a 'AKM' #1656163.
[01:22:28	]C24:i2.XRAY-1 used the 'John Doe' vendor.
[01:22:29	]Homat homatch has gained a '6rnd M1014 Rounds' #1655972.
[01:22:29	]Homat homatch has lost a '6rnd M1014 Rounds' #1655971.
[01:22:29	]C24:i3.GRID-2 has lost a '20rnd DMR-magazine' #1656469.
[01:22:30	]Chen Fa ran 'drop' on item 'Combine PDA' (#388565)
[01:22:30	]Chen Fa has lost a 'Combine PDA' #388565.
[01:22:30	]GOBLY GOOK has hit Homat homatch dealing 11 damage (CritChance was 0.63).
[01:22:30	]Homat homatch has taken 11 damage from GOBLY GOOK.
[01:22:30	]GOBLY GOOK has hit Homat homatch dealing 11 damage (CritChance was 0.63).
[01:22:30	]Homat homatch has taken 11 damage from GOBLY GOOK.
[01:22:30	]GOBLY GOOK has hit Homat homatch dealing 11 damage (CritChance was 0.63).
[01:22:30	]Homat homatch has taken 11 damage from GOBLY GOOK.
[01:22:30	]GOBLY GOOK has critically hit Homat homatch dealing 18 damage (CritChance was 0.63).
[01:22:30	]Homat homatch has taken 18 damage from GOBLY GOOK.
[01:22:30	]GOBLY GOOK has critically hit Homat homatch dealing 18 damage (CritChance was 0.63).
[01:22:30	]Homat homatch has taken 18 damage from GOBLY GOOK.
[01:22:30	]GOBLY GOOK has critically hit Keiichi Ishikawa in the left leg dealing 3 damage (CritChance was 0.19).
[01:22:30	]Keiichi Ishikawa has taken 3 damage from GOBLY GOOK.
[01:22:30	]GOBLY GOOK has critically hit Homat homatch dealing 18 damage (CritChance was 0.63).
[01:22:30	]Homat homatch has taken 18 damage from GOBLY GOOK.
[01:22:30	]GOBLY GOOK has critically hit Homat homatch dealing 18 damage (CritChance was 0.63).
[01:22:30	]Homat homatch has gained a '6rnd M1014 Rounds' #1655971.
[01:22:30	]Homat homatch was knocked unconscious and is bleeding out.
[01:22:32	]GOBLY GOOK has hit Joe Biden in the head dealing 9 damage (CritChance was 0.63).
[01:22:32	]Joe Biden has taken 9 damage from GOBLY GOOK.
[01:22:32	][OOC] McGee: can I get ammo for it then?
[01:22:33	]GOBLY GOOK has critically hit Joe Biden in the right arm dealing 0 damage (CritChance was 0.63).
[01:22:33	]GOBLY GOOK has critically hit Joe Biden in the right arm dealing 5 damage (CritChance was 0.63).
[01:22:33	]Joe Biden has taken 4 damage from GOBLY GOOK.
[01:22:33	]Rupert Halmer exited observer at their location.
[01:22:33	]GOBLY GOOK has hit Joe Biden in the chest dealing 11 damage (CritChance was 0.63).
[01:22:33	]Joe Biden has taken 11 damage from GOBLY GOOK.
[01:22:33	]C24:i2.XRAY-1 has gained a '20rnd DMR-magazine' #1656435.
[01:22:33	]C24:i2.XRAY-1 has lost a '20rnd DMR-magazine' #1656433.
[01:22:33	]Chombo-Baraka-Babayabo-Barry ran 'EquipUn' on item 'AKM' (#1656215)
[01:22:33	]Chombo-Baraka-Babayabo-Barry has gained a '30rnd AK-magazine' #1656464.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Assault Rifle Bullets' #1656459.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1650858.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Buckshot Shotgun Shells' #1654083.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Assault Rifle Bullets' #1656453.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Assault Rifle Bullets' #1656457.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Assault Rifle Bullets' #1656463.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Buckshot Shotgun Shells' #1654085.
[01:22:33	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1650471.
[01:22:34	]GOBLY GOOK has gained a '30rnd AK-magazine' #1656409.
[01:22:34	]GOBLY GOOK has lost a '30rnd AK-magazine' #1656408.
[01:22:34	]John Johnson has gained a '6rnd M1014 Rounds' #1656158.
[01:22:34	]John Johnson has lost a '6rnd M1014 Rounds' #1656157.
[01:22:34	]C24:i3.GRID-2 destroyed a 'Assault Rifle Bullets' #1656455.
[01:22:34	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1650470.
[01:22:34	]Joe Biden has critically hit GOBLY GOOK in the chest dealing 10 damage (CritChance was 0.30).
[01:22:34	]GOBLY GOOK has taken 10 damage from Joe Biden.
[01:22:34	]C24:i3.GRID-2 destroyed a 'Assault Rifle Bullets' #1656460.
[01:22:35	]C24:i3.GRID-2 destroyed a 'Buckshot Shotgun Shells' #1654081.
[01:22:35	]Joe Biden has critically hit GOBLY GOOK in the chest dealing 10 damage (CritChance was 0.30).
[01:22:35	]GOBLY GOOK has taken 10 damage from Joe Biden.
[01:22:35	]Joe Biden has critically hit GOBLY GOOK in the stomach dealing 10 damage (CritChance was 0.30).
[01:22:35	]GOBLY GOOK has taken 10 damage from Joe Biden.
[01:22:35	]Joe Biden has hit GOBLY GOOK in the chest dealing 6 damage (CritChance was 0.30).
[01:22:35	]GOBLY GOOK has taken 6 damage from Joe Biden.
[01:22:35	]Joe Biden has hit GOBLY GOOK in the chest dealing 6 damage (CritChance was 0.30).
[01:22:35	]GOBLY GOOK has taken 6 damage from Joe Biden.
[01:22:35	]Joe Biden has critically hit GOBLY GOOK in the right leg dealing 0 damage (CritChance was 0.30).
[01:22:35	]Joe Biden has hit GOBLY GOOK in the left leg dealing 3 damage (CritChance was 0.30).
[01:22:35	]GOBLY GOOK has taken 2 damage from Joe Biden.
[01:22:35	]C24:i3.GRID-2 has gained a '20rnd DMR-magazine' #1656469.
[01:22:35	]C24:i3.GRID-2 has lost a '20rnd DMR-magazine' #1656468.
[01:22:36	]Joe Biden has hit GOBLY GOOK in the right leg dealing 3 damage (CritChance was 0.30).
[01:22:36	]GOBLY GOOK has taken 2 damage from Joe Biden.
[01:22:36	]Joe Biden has gained level 48 in the Guns skill.
[01:22:36	]Joe Biden has critically hit GOBLY GOOK in the right leg dealing 3 damage (CritChance was 0.30).
[01:22:36	]GOBLY GOOK has taken 2 damage from Joe Biden.
[01:22:36	]Joe Biden has hit GOBLY GOOK in the stomach dealing 6 damage (CritChance was 0.30).
[01:22:36	]GOBLY GOOK has taken 6 damage from Joe Biden.
[01:22:36	]Joe Biden has hit GOBLY GOOK in the right arm dealing 3 damage (CritChance was 0.30).
[01:22:36	]GOBLY GOOK has taken 2 damage from Joe Biden.
[01:22:36	]C24:RL.XRAY-6 used the 'John Doe' vendor.
[01:22:36	]Joe Biden has hit GOBLY GOOK in the head dealing 5 damage (CritChance was 0.30).
[01:22:36	]GOBLY GOOK has taken 5 damage from Joe Biden.
[01:22:36	]GOBLY GOOK has critically hit Joe Biden in the chest dealing 18 damage (CritChance was 0.63).
[01:22:36	]Joe Biden has taken 18 damage from GOBLY GOOK.
[01:22:37	]GOBLY GOOK is fully healed.
[01:22:37	]Bottom G has lost a '9-Round .50 Deagle' #1656357.
[01:22:37	]GOBLY GOOK has hit Joe Biden in the right arm dealing 5 damage (CritChance was 0.63).
[01:22:37	]Joe Biden has taken 4 damage from GOBLY GOOK.
[01:22:37	]GOBLY GOOK destroyed a 'Assault Rifle Ammo' #1656285.
[01:22:38	]GOBLY GOOK has critically hit Joe Biden in the head dealing 19 damage (CritChance was 0.63).
[01:22:38	]Joe Biden has taken 19 damage from GOBLY GOOK.
[01:22:38	]Kaffee ran SAM command 'kick' with arguments: 'gob'
[01:22:38	]McGee used the 'John Doe' vendor.
[01:22:38	]SCP Foundation Gaming (STEAM_0:1:596689788) has disconnected.
[01:22:38	][Y] Keiichi Ishikawa: RDM! RDM! RDM! RDM! RDM! RDM! RDM! RDM! RDM! RDM!
[01:22:38	]C24:RL.XRAY-6 has gained 0 chips.
[01:22:38	]C24:RL.XRAY-6 has gained a 'SCAR-H' #1656519.
[01:22:39	]Chombo-Baraka-Babayabo-Barry ran 'Equip' on item 'AKM' (#1656215)
[01:22:39	]C24:i3.GRID-2 destroyed a 'Buckshot Shotgun Shells' #1654105.
[01:22:40	]C24:i3.GRID-2 destroyed a 'Assault Rifle Bullets' #1656454.
[01:22:40	]C24:i2.XRAY-1 used command '/Radio ALL UNITS KILL PATHFINDER'.
[01:22:41	]C24:i2.VICE-1 ran 'Repair' on item 'CP Command Uniform' (#1178081)
[01:22:41	]Vadim loaded the character 'C17:RCT.YELLO-06'
[01:22:41	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1653680.
[01:22:42	]C24:RL.XRAY-6 ran 'Equip' on item 'SCAR-H' (#1656519)
[01:22:42	]Chen Fa has hit John Johnson dealing 16 damage (CritChance was -1.04).
[01:22:42	]John Johnson has taken 16 damage from Chen Fa.
[01:22:42	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1653400.
[01:22:42	]Chombo-Baraka-Babayabo-Barry ran 'EquipUn' on item 'AKM' (#1656215)
[01:22:42	]C24:RL.XRAY-6 used the 'John Doe' vendor.
[01:22:42	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1653402.
[01:22:42	]John Johnson has critically hit Joe Biden in the right arm dealing 3 damage (CritChance was 0.84).
[01:22:42	]Joe Biden has taken 2 damage from John Johnson.
[01:22:42	]John Johnson has critically hit Joe Biden in the right arm dealing 3 damage (CritChance was 0.84).
[01:22:42	]Joe Biden has taken 2 damage from John Johnson.
[01:22:42	]John Johnson has gained level 16 in the Guns skill.
[01:22:42	]John Johnson has critically hit Joe Biden in the right arm dealing 3 damage (CritChance was 0.84).
[01:22:42	]Joe Biden has taken 2 damage from John Johnson.
[01:22:43	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1653685.
[01:22:43	]Chombo-Baraka-Babayabo-Barry ran 'drop' on item '30rnd AK-magazine' (#1656464)
[01:22:43	]Chombo-Baraka-Babayabo-Barry has lost a '30rnd AK-magazine' #1656464.
[01:22:44	]C24:i3.GRID-2 has critically hit C24:i2.VICE-1 dealing 39 damage (CritChance was 0.79).
[01:22:44	]C24:i2.VICE-1 has taken 39 damage from C24:i3.GRID-2.
[01:22:44	]C24:i3.GRID-2 destroyed a 'Sub-machinegun Bullets' #1653679.
[01:22:44	][IC] C17:RCT.YELLO-83: <:: Bro is an error. ::>
[01:22:44	]Chombo-Baraka-Babayabo-Barry ran 'Equip' on item 'AKM' (#1656215)
[01:22:44	]Abdul Jafarri has critically hit Joe Biden in the right arm dealing 5 damage (CritChance was 0.55).
[01:22:44	]Joe Biden has taken 5 damage from Abdul Jafarri.
[01:22:44	]John Johnson is fully healed.
[01:22:44	]Abdul Jafarri has hit Joe Biden in the chest dealing 2 damage (CritChance was 0.55).
[01:22:44	]Joe Biden has taken 2 damage from Abdul Jafarri.
[01:22:44	]Sydnye Rodgers has gained a '30rnd AK-magazine' #1656363.
[01:22:44	]Sydnye Rodgers has lost a '30rnd AK-magazine' #1656331.
[01:22:44	]Abdul Jafarri has hit Joe Biden in the right arm dealing 5 damage (CritChance was 0.55).
[01:22:44	]Joe Biden has taken 5 damage from Abdul Jafarri.
[01:22:44	]Abdul Jafarri has critically hit Joe Biden in the chest dealing 3 damage (CritChance was 0.55).
[01:22:44	]Joe Biden has taken 2 damage from Abdul Jafarri.
[01:22:45	]Abdul Jafarri has critically hit Joe Biden in the head dealing 20 damage (CritChance was 0.55).
[01:22:45	]Joe Biden has gained a '25rnd Ump-magazine' #1652571.
[01:22:45	]Joe Biden was knocked unconscious and is bleeding out.
[01:22:45	]John Johnson has hit Chen Fa in the chest dealing 6 damage (CritChance was 0.25).
[01:22:45	]Chen Fa has taken 6 damage from John Johnson.
[01:22:45	]John Johnson has hit Chen Fa in the chest dealing 6 damage (CritChance was 0.25).
[01:22:45	]Chen Fa has taken 6 damage from John Johnson.
[01:22:45	]John Johnson has critically hit Chen Fa in the left arm dealing 3 damage (CritChance was 0.25).
[01:22:45	]Chen Fa has taken 2 damage from John Johnson.
[01:22:45	]John Johnson has gained level 17 in the Guns skill.
[01:22:45	]John Johnson has hit Chen Fa in the chest dealing 6 damage (CritChance was 0.25).
[01:22:45	]Chen Fa has taken 6 damage from John Johnson.
[01:22:45	]John Johnson has hit Chen Fa in the chest dealing 6 damage (CritChance was 0.25).
[01:22:45	]Chen Fa has taken 6 damage from John Johnson.
[01:22:45	]C24:i3.GRID-2 has critically hit C24:i2.VICE-1 dealing 39 damage (CritChance was 0.80).
[01:22:45	]C24:i2.VICE-1 has taken 39 damage from C24:i3.GRID-2.
[01:22:45	]Chen Fa is fully healed.
[01:22:45	]Joe Biden used command '/CharGetUp'.
[01:22:45	]C24:RL.XRAY-6 ran 'take' on item 'Suitcase' (#1640373)
[01:22:45	]C24:RL.XRAY-6 has gained a 'Suitcase' #1640373.
[01:22:45	]C24:RL.XRAY-6 has gained a 'Incendiary Grenade' #1651056.
[01:22:45	]C24:RL.XRAY-6 has gained a 'Incendiary Grenade' #1650990.
[01:22:45	]C24:RL.XRAY-6 has gained a 'CP Mask' #1642796.
[01:22:45	]C24:RL.XRAY-6 has gained a 'Incendiary Grenade' #1651707.
[01:22:45	]C24:RL.XRAY-6 has gained a 'Black Fedora' #1640342.
[01:22:45	]C24:RL.XRAY-6 has gained a 'Dress Shoes' #1640346.
[01:22:45	]C24:RL.XRAY-6 has gained a 'Gloves' #1608759.
[01:22:45	]C24:RL.XRAY-6 has gained a '25rnd Ump-magazine' #1640433.
[01:22:46	]Bottom G has given himself a go_deagle_slide_short.
[01:22:46	]McGee used the 'John Doe' vendor.
[01:22:46	]Bottom G has gained a '140mm Beagle Slide' #1656520.
[01:22:46	]Chombo-Baraka-Babayabo-Barry has lost a '30rnd AK-magazine' #1656466.
[01:22:47	]John Johnson has gained a '6rnd M1014 Rounds' #1656157.
[01:22:47	]John Johnson has lost a '6rnd M1014 Rounds' #1656158.
[01:22:47	][IC] C24:i3.GRID-2: <:: What. ::>
[01:22:47	]Homat homatch was just killed due to: accepting their death
[01:22:47	]Keiichi Ishikawa used the 'John Doe' vendor.
[01:22:47	]Felix used the 'John Doe' vendor.
[01:22:48	]Sydnye Rodgers ran 'combine' on item '30rnd AK-magazine' (#1656363)
[01:22:48	]C24:RL.VICE-9 used command '/PM kaffee help!'.
[01:22:48	]C24:RL.XRAY-6 used the 'John Doe' vendor.
[01:22:49	][OOC] Yngraham Winter: rejoining one more time <3
[01:22:49	]Sydnye Rodgers ran 'drop' on item 'Assault Rifle Bullets' (#1656287)
[01:22:49	]Sydnye Rodgers has lost a 'Assault Rifle Bullets' #1656287.
[01:22:49	][IC] C24:i2.VICE-1: Yerp.
[01:22:50	]Bottom G has given himself a go_deagle_slide_long.
[01:22:50	]Bottom G has gained a '200mm Gryphon Slide' #1656521.
[01:22:50	]C24:i3.GRID-2 used command '/ToggleRaise'.
[01:22:50	]Chombo-Baraka-Babayabo-Barry used command '/ToggleRaise'.
[01:22:51	]Abdul Jafarri has hit Joe Biden in the right leg dealing 0 damage (CritChance was 0.55).
[01:22:51	]Abdul Jafarri has hit Joe Biden in the right leg dealing 0 damage (CritChance was 0.55).
[01:22:51	]Abdul Jafarri has critically hit Joe Biden in the right leg dealing 0 damage (CritChance was 0.55).
[01:22:51	]Abdul Jafarri has critically hit Joe Biden in the right leg dealing 18 damage (CritChance was 0.55).
[01:22:51	]Joe Biden was killed while bleeding out.
[01:22:51	]Abdul Jafarri has killed Joe Biden with player.
[01:22:51	]Homat homatch used command '/CharGetUp'.
[01:22:52	]Homat homatch used command '/CharGetUp'.
[01:22:52	]C24:RL.XRAY-6 has gained 0 chips.
[01:22:52	]C24:RL.XRAY-6 has gained a 'Assault Rifle Bullets' #1656522.
[01:22:52	][IC] C24:i3.GRID-2: <:: Okay. ::>
[01:22:52	]C24:RL.XRAY-6 has gained 0 chips.
[01:22:52	]Homat homatch used command '/CharGetUp'.
[01:22:52	]C24:RL.XRAY-6 has gained a 'Assault Rifle Bullets' #1656523.
[01:22:53	]Homat homatch used command '/CharGetUp'.
[01:22:53	]C24:RL.XRAY-6 has gained 0 chips.
[01:22:53	]C24:RL.XRAY-6 has gained a 'Assault Rifle Bullets' #1656524.
[01:22:54	]McGee used the 'John Doe' vendor.
[01:22:54	]C17:RCT.YELLO-06 used the 'John Doe' vendor.
[01:22:54	]Sydnye Rodgers ran 'take' on item 'Assault Rifle Bullets' (#1656287)
[01:22:54	]Sydnye Rodgers has gained a 'Assault Rifle Bullets' #1656287.
[01:22:54	]Winter (STEAM_0:0:198417418) has disconnected.
[01:22:54	]C24:i2.VICE-1 ran 'drop' on item 'Large Bag' (#1117956)
[01:22:54	]C24:i2.VICE-1 has lost a 'Large Bag' #1117956.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656513.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656510.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656518.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656511.
[01:22:54	]C24:i2.VICE-1 has lost a 'Stunstick' #1117964.
[01:22:54	]C24:i2.VICE-1 has lost a 'LOTTERY TICKET - #116255' #1071234.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656509.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656517.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656514.
[01:22:54	]C24:i2.VICE-1 has lost a 'Request Device' #1117963.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656515.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656505.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656504.
[01:22:54	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656512.
[01:22:55	]C24:i2.VICE-1 ran 'drop' on item 'Small Bag' (#1117955)
[01:22:55	]C24:i2.VICE-1 has lost a 'Small Bag' #1117955.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656439.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656437.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656434.
[01:22:55	]C24:i2.VICE-1 has lost a 'Cigar' #1214155.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656443.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656432.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656440.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656445.
[01:22:55	]C24:i2.VICE-1 has lost a 'Repair Plating' #1186010.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656508.
[01:22:55	]C24:i2.VICE-1 has lost a 'Rifle Bullets' #1656438.
[01:22:55	]C24:i2.VICE-1 has lost a 'Blank CID card' #38967.
[01:22:56	]C24:i3.GRID-2 used the 'John Doe' vendor.
[01:22:56	]Felix has gained 0 chips.
[01:22:56	]Felix has gained a 'Buckshot Shotgun Shells' #1656525.
