[17:15:31	]The Large Metal Cabinet container (#0) was removed due to inactivity.
[17:55:36	]LORD-STEVEN-X has used a context menu option with the name: wncontainer_view
[17:55:37	]LORD-STEVEN-X admin-closed the 'Large Metal Cabinet' #38437 container.
[17:55:50	]LORD-STEVEN-X admin-searched the 'Medical Cabinet' #62055 container.
[17:55:50	]LORD-STEVEN-X has used a context menu option with the name: wncontainer_view
[17:55:51	]LORD-STEVEN-X admin-closed the 'Medical Cabinet' #62055 container.
[17:55:54	]LORD-STEVEN-X admin-searched the 'Alpha' #67769 container.
[17:55:54	]LORD-STEVEN-X has used a context menu option with the name: wncontainer_view
[17:55:55	]LORD-STEVEN-X admin-closed the 'Alpha' #67769 container.
[17:55:59	]LORD-STEVEN-X admin-searched the 'Bravo' #67770 container.
[17:55:59	]LORD-STEVEN-X has used a context menu option with the name: wncontainer_view
[17:56:00	]LORD-STEVEN-X admin-closed the 'Bravo' #67770 container.
[17:56:02	]LORD-STEVEN-X admin-searched the 'Charlie' #62058 container.
[17:56:02	]LORD-STEVEN-X has used a context menu option with the name: wncontainer_view
[17:56:05	]LORD-STEVEN-X admin-closed the 'Charlie' #62058 container.
[17:58:14	]Furret No Furry Asimo (STEAM_0:0:58605803) has disconnected.
[19:04:48	]THC has connected.
[19:06:20	]THC loaded the character 'Jack Danielovsky'
[19:07:03	]THC (STEAM_0:1:709534478) deleted character 'Black Headcrab'
[19:08:45	]THC created the character 'C17:RCT.YELLO-29'
[19:08:45	]Jack Danielovsky has gained level 30 in the Guns skill.
[19:08:45	]Jack Danielovsky has gained level 30 in the Speed skill.
[19:08:45	]THC loaded the character 'C17:RCT.YELLO-29'
[19:08:45	]C17:RCT.YELLO-29 has gained a '#15096's Identity Card' #1583958.
[19:08:45	]C17:RCT.YELLO-29 has gained a 'Combine PDA' #1583959.
[19:08:45	]C17:RCT.YELLO-29 has gained a 'CP Uniform' #1583960.
[19:08:45	]C17:RCT.YELLO-29 has gained a 'CP Mask' #1583961.
[19:08:45	]C17:RCT.YELLO-29 has gained a 'Handheld Radio' #1583962.
[19:08:45	]C17:RCT.YELLO-29 has gained a 'Small Bag' #1583963.
[19:08:45	]C17:RCT.YELLO-29 has gained a 'Large Bag' #1583964.
[19:10:08	]C17:RCT.YELLO-29 used command '/Radio s'.
[19:11:54	]Console ran SAM command 'banid' with arguments: 'STEAM_0:1:709534478' '0.00' '[eProtect] You have been banned for net exploitation!'
[19:11:54	]THC (STEAM_0:1:709534478) has disconnected.
[21:24:59	]Atle has connected.
[21:25:52	]Atle loaded the character 'Valenti Lombardo'
[21:25:57	]Valenti Lombardo is fully healed.
[21:26:06	]Valenti Lombardo used command '/clothingcreator'.
[21:31:22	]Valenti Lombardo has gone afk.
[22:31:12	]Valenti Lombardo is no longer afk. Total time spent AFK: 3885
[22:31:12	]Valenti Lombardo used command '/clothingcreator'.
[22:36:12	]Valenti Lombardo has gone afk.
[23:09:09	]Atle (STEAM_0:0:21027108) has disconnected.
