[13:29:51	]TheDeNuke has connected.
[17:40:26	]Billly Bo has taken 1 damage from entityflame.
[17:40:26	]Billly Bo has taken 1 damage from entityflame.
[17:40:26	]Billly Bo has taken 1 damage from entityflame.
[17:40:26	]Billly Bo has taken 1 damage from entityflame.
[17:40:27	]Billly Bo has taken 1 damage from entityflame.
[17:40:27	]Billly Bo has taken 1 damage from entityflame.
[17:40:32	][IC] Billly Bo: 75 HP total.
[17:40:35	][IC] Billly Bo: Damage.
[17:40:41	][IC] Sho'Tcop: Glad it doesnt just kill you.
[17:41:00	][IC] Billly Bo: Howmuch damage is groundpound?
[17:41:02	]Billly Bo ran SAM command 'hp' with arguments: '^' '100'
[17:41:09	]Billly Bo has taken 40 damage from Sho'Tcop.
[17:41:14	][IC] Billly Bo: Only 40.
[17:41:21	][IC] Sho'Tcop: Oh thats trashy.
[17:41:29	]Billly Bo has taken 5 damage from Sho'Tcop.
[17:41:36	][IC] Billly Bo: Set urself to 50 melee.
[17:41:39	][IC] Billly Bo: That did 5.
[17:41:43	][IC] Billly Bo: At 50 melee it does like 55.
[17:41:48	]Billly Bo ran SAM command 'hp' with arguments: '^' '100'
[17:41:50	]Sho'Tcop has gained level 50 in the Melee skill.
[17:41:50	]Sho'Tcop used command '/CharSkillSet sho melee 50'.
[17:41:54	]Billly Bo has taken 55 damage from Sho'Tcop.
[17:41:57	]Billly Bo was knocked unconscious and is bleeding out.
[17:41:58	][IC] Billly Bo: 56 ye.
[17:42:00	][IC] Sho'Tcop: Wtf.
[17:42:04	]Billly Bo ran SAM command 'hp' with arguments: '^' '100'
[17:42:07	][IC] Sho'Tcop: Thats good for npcs then.
[17:42:08	]Billly Bo used command '/CharStopBleedout ^'.
[17:42:16	][IC] Billly Bo: Its a little uh.
[17:42:21	][IC] Billly Bo: I mean it is very spammable.
[17:42:27	]Billly Bo ran SAM command 'respawn' with arguments: '^'
[17:42:34	]Billly Bo used command '/ToggleRaise'.
[17:42:37	][IC] Billly Bo: But I can  do this.
[17:42:39	]Billly Bo has hit Sho'Tcop dealing 11 damage (CritChance was 0.54).
[17:42:39	]Sho'Tcop has taken 11 damage from Billly Bo.
[17:42:42	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.52).
[17:42:42	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:43	]Billly Bo has taken 55 damage from Sho'Tcop.
[17:42:51	][IC] Billly Bo: Fucking extended desc.
[17:42:52	]Billly Bo has gained level 7 in the Guns skill.
[17:42:52	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.55).
[17:42:52	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:53	]Billly Bo has hit Sho'Tcop dealing 11 damage (CritChance was 0.57).
[17:42:53	]Sho'Tcop has taken 11 damage from Billly Bo.
[17:42:54	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.57).
[17:42:54	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:54	]Billly Bo has gained level 8 in the Guns skill.
[17:42:54	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.57).
[17:42:54	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:55	]Billly Bo has hit Sho'Tcop dealing 11 damage (CritChance was 0.59).
[17:42:55	]Sho'Tcop has taken 11 damage from Billly Bo.
[17:42:55	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.59).
[17:42:55	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:56	]Billly Bo has gained level 9 in the Guns skill.
[17:42:56	]Billly Bo has hit Sho'Tcop dealing 11 damage (CritChance was 0.59).
[17:42:56	]Sho'Tcop has taken 11 damage from Billly Bo.
[17:42:57	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.59).
[17:42:57	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:57	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.59).
[17:42:57	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:58	]Billly Bo has gained level 10 in the Guns skill.
[17:42:58	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.59).
[17:42:58	]Sho'Tcop has taken 18 damage from Billly Bo.
[17:42:58	]Billly Bo has critically hit Sho'Tcop dealing 18 damage (CritChance was 0.61).
[17:42:58	]Sho'Tcop was knocked unconscious and is bleeding out.
[17:43:04	]Sho'Tcop ran SAM command 'hp' with arguments: '^' '100'
[17:43:07	]Sho'Tcop ran SAM command 'hp' with arguments: '^' '200'
[17:43:13	]Sho'Tcop used command '/CharStopBleedout sho'.
[17:43:16	]Billly Bo ran 'EquipUn' on item 'AKM' (#1650250)
[17:43:23	][IC] Billly Bo: Juicy melee.
[17:43:35	]Sho'Tcop used command '/SetVortalEnergy sho 100'.
[17:43:40	]Billly Bo has given himself a ing_xen_extract.
[17:43:40	]Billly Bo has gained a 'Antlion Extract' #1650255.
[17:43:41	]Billly Bo has given himself a xen_concoction.
[17:43:41	]Billly Bo has gained a 'Extract Concoction' #1650256.
[17:43:49	]Billly Bo ran 'Consume' on item 'Extract Concoction' (#1650256)
[17:43:49	]Billly Bo has gained a level 15 long boost in Strength.
[17:43:49	]Billly Bo has gained a level 15 long boost in Agility.
[17:43:49	]Billly Bo has gained a level 15 long boost in Intelligence.
[17:43:49	]Billly Bo has gained a level 15 long boost in Perception.
[17:43:52	][IC] Billly Bo: Yum.
[17:43:59	]Furret No Furry Asimo loaded the character 'Galungae'
[17:44:00	]Sho'Tcop has given himself a xen_concoction.
[17:44:01	]Sho'Tcop has gained a 'Extract Concoction' #1650257.
[17:44:04	]Galungae entered observer.
[17:44:07	]Galungae exited observer at their location.
[17:44:07	]Sho'Tcop ran 'Consume' on item 'Extract Concoction' (#1650257)
[17:44:07	]Sho'Tcop has gained a level 15 long boost in Strength.
[17:44:07	]Sho'Tcop has gained a level 15 long boost in Agility.
[17:44:07	]Sho'Tcop has gained a level 15 long boost in Intelligence.
[17:44:07	]Sho'Tcop has gained a level 15 long boost in Perception.
[17:44:10	]Galungae has given himself a ing_xen_extract.
[17:44:10	]Galungae has gained a 'Antlion Extract' #1650258.
[17:44:11	]Galungae has given himself a xen_concoction.
[17:44:11	]Galungae has gained a 'Extract Concoction' #1650259.
[17:44:14	][IC] Galungae: Wait.
[17:44:18	][IC] Galungae: It is the concocktion.
[17:44:21	][IC] Galungae: And not the extract.
[17:44:22	][IC] Galungae: Guh?
[17:44:24	][IC] Sho'Tcop: Yeah.
[17:44:35	][IC] Galungae: Wait.
[17:44:38	][IC] Galungae: Why do I have the effect.
[17:44:46	][IC] Sho'Tcop: You were in the vicinity.
[17:44:51	][IC] Galungae: Oh.
[17:44:54	][IC] Galungae: So it DOES do that.
[17:45:01	][IC] Galungae: Look.
[17:45:05	]Galungae has spawned a 'NPC [426][npc_antlionguard]'.
[17:45:31	]Sho'Tcop has gained a 'Raw Antlion Meat' #1650260.
[17:45:34	]Galungae used command '/SetVortalEnergy ^ 100'.
[17:45:36	]Sho'Tcop has gained a 'Raw Antlion Meat' #1650261.
[17:45:37	]Sho'Tcop has gained a 'Raw Antlion Meat' #1650262.
[17:45:38	]Sho'Tcop has gained a 'Raw Antlion Meat' #1650263.
[17:45:39	]Galungae has spawned a 'NPC [426][npc_antlionguard]'.
[17:45:39	]Sho'Tcop has gained a 'Raw Antlion Meat' #1650264.
[17:45:40	]Sho'Tcop has gained a 'Raw Antlion Meat' #1650265.
[17:45:41	]Sho'Tcop has gained a 'Raw Antlion Meat' #1650266.
[17:45:45	]Galungae used command '/SetVortalEnergy ^ 100'.
[17:45:55	][IC] Galungae: Use normal vortbeam.
[17:45:56	][IC] Galungae: Let's go.
[17:45:59	]Galungae has spawned a 'NPC [426][npc_antlionguard]'.
[17:46:14	][IC] Galungae: Lmao.
[17:46:16	][IC] Galungae: Like what.
[17:46:18	][IC] Galungae: 5 hits?
[17:46:28	][IC] Sho'Tcop: I wonder how many i can do.
[17:46:31	]Sho'Tcop used command '/SetVortalEnergy sho 100'.
[17:46:44	]Galungae used command '/ToggleVortalSensing'.
[17:46:47	]Galungae used command '/ToggleVortalSensing'.
[17:46:56	][IC] Galungae: I think it is 5 per beam?
[17:46:58	][IC] Galungae: So 20?
[17:47:07	]Galungae used command '/SetVortalEnergy ^ 10'.
[17:47:12	][IC] Galungae: Ye.
[17:47:15	][IC] Galungae: 5 per beem.
[17:47:25	][IC] Galungae: Maybe I will apply vort galunga.
[17:47:35	][IC] Sho'Tcop: We even had vadim apply.
[17:47:37	][IC] Galungae: But tbh I will probably fuck up the lore hard.
[17:47:44	][IC] Galungae: Considering I was a vort on neb recently.
[17:47:51	][IC] Galungae: And read a bunch of lore from 2 other communities.
[17:47:55	][IC] Galungae: So my vort lore is all over the place.
[17:47:57	][IC] Sho'Tcop: Im currently vort on neb.
[17:48:10	][IC] Galungae: Neb kinda burned me out.
[17:48:12	]Sho'Tcop used command '/VortStun'.
[17:48:14	][IC] Galungae: Like it was daily event.
[17:48:17	]Sho'Tcop used command '/VortStun'.
[17:48:17	][IC] Galungae: With 0 player input.
[17:48:19	][IC] Galungae: Kinda gets boring.
[17:48:22	][LOOC] Sho'Tcop: i cant vort stun another vort
[17:48:22	][IC] Galungae: Just being dragged around.
[17:48:29	]Galungae used command '/VortStun'.
[17:48:29	]Sho'Tcop used command '/VortStun'.
[17:48:36	]Galungae used command '/SetVortalEnergy ^ 10'.
[17:48:38	]Galungae used command '/VortStun'.
[17:48:40	]Galungae used command '/VortStun'.
[17:48:41	][IC] Galungae: No.
[17:48:47	]Galungae used command '/SetVortalEnergy ^ 100'.
[17:48:50	][IC] Galungae: But I can do this.
[17:48:53	]Sho'Tcop was knocked unconscious and is bleeding out.
[17:48:57	][IC] Sho'Tcop: LOL.
[17:49:05	]Sho'Tcop ran SAM command 'respawn' with arguments: '^'
[17:49:17	]Galungae used command '/SetVortalEnergy ^ 100'.
[17:49:31	][LOOC] Sho'Tcop: lets see how many it kills in close range with adv
[17:49:32	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:32	]Sho'Tcop has spawned a 'NPC [426][npc_citizen]'.
[17:49:33	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:33	]Sho'Tcop has spawned a 'NPC [432][npc_citizen]'.
[17:49:34	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:34	]Sho'Tcop has spawned a 'NPC [449][npc_citizen]'.
[17:49:35	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:35	]Sho'Tcop has spawned a 'NPC [451][npc_citizen]'.
[17:49:35	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:35	]Sho'Tcop has spawned a 'NPC [453][npc_citizen]'.
[17:49:36	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:36	]Sho'Tcop has spawned a 'NPC [455][npc_citizen]'.
[17:49:37	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:37	]Sho'Tcop has spawned a 'NPC [458][npc_citizen]'.
[17:49:38	]Sho'Tcop has fired a toolgun with the name: creator
[17:49:38	]Sho'Tcop has spawned a 'NPC [477][npc_citizen]'.
[17:49:45	]Sho'Tcop used command '/SetVortalEnergy sho 100'.
[17:49:50	][IC] Galungae: AOE.
[17:50:12	][IC] Sho'Tcop: So technically could wipe out an entire sweep if they're close together.
[17:50:17	][IC] Galungae: Look.
[17:50:19	]Galungae entered observer.
[17:50:23	]Sho'Tcop entered observer.
[17:50:26	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[17:50:28	]Sho'Tcop exited observer at their location.
[17:50:30	]Sho'Tcop entered observer.
[17:50:31	]Galungae exited observer at their location.
[17:50:34	]Galungae entered observer.
[17:50:38	][LOOC] Sho'Tcop: oh dear
[17:50:41	][LOOC] Galungae: Yep
[17:50:44	][IC] Galungae: Come!
[17:50:53	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[17:50:55	]Galungae has spawned a 'NPC [432][npc_citizen]'.
[17:50:56	]Sho'Tcop exited observer at their location.
[17:51:00	]Galungae ran SAM command 'bring' with arguments: 'sho''
[17:51:05	][IC] Galungae: So.
[17:51:06	][IC] Galungae: Look.
[17:51:07	]Galungae exited observer at their location.
[17:51:19	]Galungae has spawned a 'NPC [448][npc_citizen]'.
[17:51:34	][IC] Galungae: Ready to sweep CPs.
[17:51:35	][IC] Galungae: Yes.
[17:51:41	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[17:51:42	]Sho'Tcop used command '/SetVortalEnergy sho 100'.
[17:51:43	]Galungae has spawned a 'NPC [432][npc_citizen]'.
[17:51:46	]Galungae has used a context menu option with the name: rb655_door_close
[17:51:59	][IC] Galungae: Works even with door closed.
[17:52:06	][IC] Galungae: Just hit the door.
[17:52:07	][IC] Galungae: Xd.
[17:52:09	][IC] Sho'Tcop: Oh dear.
[17:52:16	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[17:52:17	]Galungae has spawned a 'NPC [432][npc_citizen]'.
[17:52:20	]Galungae has used a context menu option with the name: rb655_door_close
[17:52:26	]Galungae entered observer.
[17:52:28	]Sho'Tcop used command '/SetVortalEnergy sho 100'.
[17:52:33	]Galungae exited observer at their location.
[17:52:45	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[17:52:51	][IC] Galungae: Ez.
[17:53:06	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[17:53:30	][IC] Galungae: Literally yeeting around mini grnades.
[17:53:40	][IC] Galungae: PK on btw.
[17:54:27	][IC] Sho'Tcop: If you use advanced beam however you're then a sitting duck.
[17:55:17	][IC] Galungae: Ye but it works too with the uh.
[17:55:19	][IC] Galungae: Regular beam.
[17:55:23	][IC] Galungae: Which does 95 damage.
[17:55:24	][IC] Galungae: To HP.
[17:55:27	][IC] Galungae: Regardless of armor.
[17:55:28	][IC] Galungae: Sooo.
[17:55:34	][IC] Galungae: 10x you can kill someone with that.
[17:55:44	][IC] Galungae: Before ur a shitting dock.
[17:55:49	][IC] Galungae: Even OTA.
[17:56:10	][IC] Galungae: I think it is time to remove the special damagetype from the vortbeam.
[17:56:21	][IC] Galungae: And just have it behave like everything else.
[17:56:24	][IC] Galungae: First armor then HP.
[17:56:30	][IC] Sho'Tcop: Right yeah.
[17:56:38	][IC] Galungae: Tho what is fair.
[17:56:46	][IC] Galungae: ANything under 150 would make OTA 3 shots.
[17:57:04	][LOOC] Sho'Tcop: how does logging work now with cs
[17:57:07	][LOOC] Sho'Tcop: cps
[17:57:11	][IC] Galungae: Logging?
[17:57:12	]Kaffee loaded the character 'C24:i1.PATROL-1'
[17:57:16	]Galungae entered observer.
[17:57:17	]C24:i1.PATROL-1 is fully healed.
[17:57:19	]Galungae exited observer at their location.
[17:57:20	]Galungae entered observer.
[17:57:20	]Galungae exited observer at their location.
[17:57:24	][IC] Galungae: Oh.
[17:57:26	][IC] Galungae: The new datafile.
[17:57:29	]C24:i1.PATROL-1 is admin-searching Galungae's inventory.
[17:57:29	]C24:i1.PATROL-1 has used a context menu option with the name: ixviewinventory
[17:57:31	][IC] Galungae: I have no collar soz.
[17:57:33	]C24:i1.PATROL-1 has closed Galungae's inventory.
[17:57:33	][IC] Galungae: 1 sex.
[17:58:05	]Furret No Furry Asimo created the character 'Captured gelangu'
[17:58:05	]Furret No Furry Asimo loaded the character 'Captured gelangu'
[17:58:05	]Captured gelangu has gained a 'Vortigaunt Hooks' #1650267.
[17:58:05	]Captured gelangu has gained a 'Vortigaunt Shackles' #1650268.
[17:58:05	]Captured gelangu has gained a 'Vortigaunt Collar' #1650269.
[17:58:15	][IC] Captured gelangu: Ah...
[17:58:19	]C24:i1.PATROL-1 is admin-searching Captured gelangu's equip inventory.
[17:58:19	]C24:i1.PATROL-1 has used a context menu option with the name: ixviewequipinventory
[17:58:21	]C24:i1.PATROL-1 has closed Captured gelangu's equip inventory.
[17:58:21	][IC] Captured gelangu: It don't autoequip my shackles.
[17:58:24	][IC] Captured gelangu: See you in the slums bitch.
[17:58:34	]Captured gelangu ran 'drop' on item 'Vortigaunt Collar' (#1650269)
[17:58:34	]Captured gelangu has lost a 'Vortigaunt Collar' #1650269.
[17:58:37	][IC] Captured gelangu: Behold!
[17:58:41	]C24:i1.PATROL-1 ran 'take' on item 'Vortigaunt Collar' (#1650269)
[17:58:41	]C24:i1.PATROL-1 has gained a 'Vortigaunt Collar' #1650269.
[17:58:52	][IC] C24:i1.PATROL-1: <:: Ok i see now. ::>
[17:59:05	][IC] C24:i1.PATROL-1: <:: So it documents how many credits you have when hovering over it. ::>
[17:59:10	]C24:i1.PATROL-1 ran 'drop' on item 'Vortigaunt Collar' (#1650269)
[17:59:10	]C24:i1.PATROL-1 has lost a 'Vortigaunt Collar' #1650269.
[17:59:13	]Captured gelangu ran 'take' on item 'Vortigaunt Collar' (#1650269)
[17:59:13	]Captured gelangu has gained a 'Vortigaunt Collar' #1650269.
[17:59:46	][IC] C24:i1.PATROL-1: <:: Sweet. ::>
[17:59:49	][IC] Captured gelangu: 48472.
[17:59:52	]Kaffee loaded the character 'Sho'Tcop'
[17:59:53	][IC] Captured gelangu: Do I even still have a datafile.
[17:59:57	]Sho'Tcop is fully healed.
[18:00:06	]Captured gelangu used command '/CharGiveFlag ^ u'.
[18:00:32	]Captured gelangu has given himself a pda.
[18:00:32	]Captured gelangu has gained a 'Combine PDA' #1650270.
[18:00:35	]Captured gelangu ran 'Equip' on item 'Combine PDA' (#1650270)
[18:00:43	]Furret No Furry Asimo loaded the character 'LORD-STEVEN-X'
[18:00:49	]LORD-STEVEN-X used command '/Datafile 48472'.
[18:00:54	]LORD-STEVEN-X entered observer.
[18:00:58	]LORD-STEVEN-X exited observer at their location.
[18:01:03	][LOOC] LORD-STEVEN-X: Vorts no longer even have a datafile
[18:01:06	][LOOC] LORD-STEVEN-X: To make notes on them
[18:01:07	][LOOC] LORD-STEVEN-X: Lmao
[18:01:15	][LOOC] Sho'Tcop: yeah just talking to clap
[18:01:23	][IC] Sho'Tcop: Unsure how they'll document them.
[18:01:41	][IC] LORD-STEVEN-X: I wonder if we're gonna get fake shackles with fake IDs.
[18:01:53	][IC] LORD-STEVEN-X: Cause then vorts can just be untracable.
[18:01:56	][IC] LORD-STEVEN-X: Which would be uber cringe.
[18:02:10	][IC] LORD-STEVEN-X: Hell you cannot even BOL them anymore even if you have their EXACT description 1:1.
[18:02:28	][IC] Sho'Tcop: The way it works is that vorts cant really be boled anyhow since they should look identical to others.
[18:02:33	][IC] LORD-STEVEN-X: Tbh I don't like how fucking cuddled vorts are compared to humans in a gameplay style.
[18:03:06	][IC] Sho'Tcop: Tbh if we're going to be heavily restricting freed vorts, it should be hard to detect one.
[18:03:30	][IC] LORD-STEVEN-X: Like I find it a little insane that they can whip on fake collars. Walk into Victory, start vortblasting, run into vort housing and then caim "I'm not them" .//Stop metagaming you cannot discern vorts from one another.
[18:03:53	][IC] LORD-STEVEN-X: Ontop of getting 2 extra attribute points.
[18:03:55	][IC] LORD-STEVEN-X: Hidden weapons.
[18:04:01	][IC] LORD-STEVEN-X: No gas.
[18:04:11	][IC] LORD-STEVEN-X: Like I'd get the gas part, if they didn't have shackles.
[18:04:19	][IC] LORD-STEVEN-X: Cause they'd only be able to go in the sewers.
[18:04:22	][IC] LORD-STEVEN-X: But now they get both worlds.
[18:04:33	][IC] LORD-STEVEN-X: Unlimited time in the sewers and free to enter the city whenever they want.
[18:04:36	][IC] Sho'Tcop: I think the randomly assigned numbers are connected to an actual character.
[18:04:45	]Sho'Tcop has given himself a vortigaunt_slave_collar_fake.
[18:04:45	]Sho'Tcop has gained a 'Vortigaunt Collar (fake)' #1650271.
[18:04:47	]Sho'Tcop has given himself a vortigaunt_slave_collar_fake.
[18:04:47	]Sho'Tcop has gained a 'Vortigaunt Collar (fake)' #1650272.
[18:04:52	][IC] LORD-STEVEN-X: Like it is all small stuff but everything together is just a little auifhgaisfaif.
[18:04:58	]LORD-STEVEN-X has given himself a vortigaunt_slave_collar_fake.
[18:04:58	]LORD-STEVEN-X has gained a 'Vortigaunt Collar (fake)' #1650273.
[18:04:59	]LORD-STEVEN-X has given himself a vortigaunt_slave_collar.
[18:04:59	]LORD-STEVEN-X has gained a 'Vortigaunt Collar' #1650274.
[18:05:08	][IC] Sho'Tcop: Nvm.
[18:05:10	]Sho'Tcop ran 'drop' on item 'Vortigaunt Collar (fake)' (#1650272)
[18:05:10	]Sho'Tcop has lost a 'Vortigaunt Collar (fake)' #1650272.
[18:05:10	]Sho'Tcop ran 'drop' on item 'Vortigaunt Collar (fake)' (#1650271)
[18:05:10	]Sho'Tcop has lost a 'Vortigaunt Collar (fake)' #1650271.
[18:05:30	][IC] LORD-STEVEN-X: Well, the ammo bar is pretty ok.
[18:05:39	][IC] LORD-STEVEN-X: Vorts will be kinda fucked in an event where Gms spawn 100 antlions.
[18:05:59	][IC] Sho'Tcop: Yeah LOL.
[18:06:08	][IC] Sho'Tcop: Okay so.
[18:06:29	][IC] Sho'Tcop: Maybe we should say inner city combat cannot happen with vorts unless they are forced to.
[18:06:53	][IC] LORD-STEVEN-X: Tbh I think we should just hold free vorts to a HIGH standard.
[18:07:05	][IC] LORD-STEVEN-X: 'Just because it is mechanically possible doesn't mean you should do it'.
[18:07:08	][IC] LORD-STEVEN-X: Like abusing AOE.
[18:07:13	][IC] LORD-STEVEN-X: That's just distasteful.
[18:07:20	][IC] Sho'Tcop: I figured that out when we allowed DOG to be a freed vort.
[18:07:29	][IC] LORD-STEVEN-X: I understand AOE from a perspective the aiming the beam is aids.
[18:07:38	][IC] Sho'Tcop: I myself.
[18:07:51	][IC] Sho'Tcop: Whenever i have been engaged in combat, i have never double tapped as a vort.
[18:07:55	][IC] Sho'Tcop: It doesn;  t make sense.
[18:08:01	][IC] LORD-STEVEN-X: I've seen some vorts.
[18:08:03	][IC] LORD-STEVEN-X: And oh boy.
[18:08:07	][IC] LORD-STEVEN-X: They are fucking animals.
[18:08:19	][IC] Sho'Tcop: Imagine if flextern was still around with this update.
[18:08:34	][IC] LORD-STEVEN-X: His fucking FAZE CLAN edits of shotcopping.
[18:08:35	][IC] LORD-STEVEN-X: Guh.
[18:09:00	][IC] LORD-STEVEN-X: Istg we hold OTA to a decently high standard aswell (They keep dissapointing us with their mentality tho).
[18:09:08	][IC] LORD-STEVEN-X: If vorts become THIS powerful.
[18:09:15	][IC] LORD-STEVEN-X: Then they too need to be god tier roleplayers.
[18:09:37	][IC] LORD-STEVEN-X: I wish vorts had the standing of 'Strong respectful aliens'.
[18:09:38	][IC] LORD-STEVEN-X: And not.
[18:09:45	][IC] LORD-STEVEN-X: 'Elite shotcoppers'.
[18:10:27	][IC] Sho'Tcop: We can definitely do that if denuke understands this.
[18:10:34	][IC] Sho'Tcop: He can be very leniant.
[18:10:54	][IC] LORD-STEVEN-X: Well.
[18:11:01	][IC] LORD-STEVEN-X: Today I am going to fuck up some vortigaunts anyways.
[18:11:02	][IC] LORD-STEVEN-X: So uh.
[18:11:05	][IC] LORD-STEVEN-X: Let's see how they take it.
[18:11:11	][IC] LORD-STEVEN-X: If it goes the way I predict it goes.
[18:11:14	][IC] LORD-STEVEN-X: I'll forever hate vorts.
[18:11:16	][IC] Sho'Tcop: I am going to metagame this and not log on to my vort.
[18:11:18	][IC] LORD-STEVEN-X: And become OTA main again.
[18:11:29	][IC] LORD-STEVEN-X: Nah it is quite tame.
[18:11:32	][IC] LORD-STEVEN-X: Ur vort lead right.
[18:11:34	][IC] Sho'Tcop: Yeah.
[18:11:39	][IC] LORD-STEVEN-X: Ok so we have the 3 names ye.
[18:11:58	][IC] LORD-STEVEN-X: Ta'DehakaSlaa'un TungakaXih’lach.
[18:12:09	][IC] Sho'Tcop: As soon as slaaun or dog finished with his raid, i killed him icly and took the body to the bunker.
[18:12:22	][IC] LORD-STEVEN-X: Nobody told me wardens know IC.
[18:12:28	][IC] LORD-STEVEN-X: So for all we know at HQ, he's still running around.
[18:12:50	][IC] Sho'Tcop: I literally gave the body to wallman and pathfinder lol.
[18:12:59	][IC] LORD-STEVEN-X: Fucking Cengiz.
[18:13:03	][IC] LORD-STEVEN-X: Pathfinder ain't a warden.
[18:13:06	][IC] LORD-STEVEN-X: And wallman is a fucking meme.
[18:13:34	][IC] Sho'Tcop: Literally about 30 mins after that bunker raid, me and a couple of other vorts killed him for being a savage, and took his body back as a peace offering.
[18:13:35	][IC] LORD-STEVEN-X: Wekk, IC is IC. We'll figure it out that he's already dead when we get there.
[18:13:41	][LOOC] LORD-STEVEN-X: I know I watched le streem
[18:14:04	][IC] LORD-STEVEN-X: Anyways, we want those vorts as captives and get them to do some forced labour for us.
[18:14:13	][IC] LORD-STEVEN-X: I was talked out of killing them.
[18:14:24	][IC] LORD-STEVEN-X: Which we totally should've but admin faction vs players.
[18:14:27	][IC] LORD-STEVEN-X: Regardless.
[18:14:33	][IC] LORD-STEVEN-X: We're sending in a warden squad.
[18:14:48	][IC] LORD-STEVEN-X: And basically going to 'ask' any vort about the location of those three.
[18:14:52	][IC] LORD-STEVEN-X: If they co-operate, no issue.
[18:15:00	][IC] LORD-STEVEN-X: If they don't we'll probably rough them up.
[18:15:03	][IC] LORD-STEVEN-X: If they start shooting.
[18:15:06	][IC] LORD-STEVEN-X: We start blasting aswelll.
[18:15:08	][IC] LORD-STEVEN-X: Very simple.
[18:15:18	][IC] Sho'Tcop: Tell me oocly if any of them just straight up snitch btw.
[18:15:25	][IC] LORD-STEVEN-X: LOL.
[18:15:35	][IC] LORD-STEVEN-X: Regardless.
[18:15:45	][IC] LORD-STEVEN-X: Depending on the Vort player.
[18:15:48	][IC] LORD-STEVEN-X: THis can go badly.
[18:16:02	][IC] LORD-STEVEN-X: I'll make sure to tell the warden ppl to "not shoot unless vorts are CLEARLY" hostile.
[18:16:20	][IC] Sho'Tcop: Well, lord beckett was pked, so thats one chance of catastrophy out the windowe.
[18:16:25	][IC] LORD-STEVEN-X: Who the fuck was even the 3rd vort besides dog and alfie.
[18:16:35	][IC] Sho'Tcop: Dog, alfie and burgerwithonion.
[18:16:42	][IC] LORD-STEVEN-X: Ok I don't know the 3rd guy.
[18:16:46	][IC] LORD-STEVEN-X: So that'll all go well.
[18:16:49	][IC] LORD-STEVEN-X: Alfie is a uhhh.
[18:17:06	][IC] Sho'Tcop: Third guy didn't even engage in any sort of fight, kinda sat in the corner.
[18:17:10	][IC] LORD-STEVEN-X: I know.
[18:17:11	][IC] Sho'Tcop: But still punishable.
[18:17:14	][IC] LORD-STEVEN-X: But associated.
[18:17:16	][IC] LORD-STEVEN-X: For all we know.
[18:17:19	][IC] LORD-STEVEN-X: So he'll have to come.
[18:17:21	][IC] LORD-STEVEN-X: It's a simple task.
[18:17:25	][IC] LORD-STEVEN-X: Just help us kill some guard.
[18:17:29	][IC] LORD-STEVEN-X: And harvest le bugbait.
[18:17:32	][IC] LORD-STEVEN-X: For the coming arc.
[18:17:37	][IC] Sho'Tcop: Based.
[18:17:48	][IC] Sho'Tcop: Attend, now and learn to shepherd antlions with this so-called bug-bait.
[18:18:11	][IC] LORD-STEVEN-X: I wonder if you could shove bugbait up your ass and command antlions with your fars.
[18:18:13	][IC] LORD-STEVEN-X: Farts*.
[18:18:14	][IC] Sho'Tcop: Alfie will probably try fight back btw.
[18:18:23	][IC] Sho'Tcop: And then whine in a pk appeal.
[18:18:45	][IC] LORD-STEVEN-X: Well I'll make sure we don't do shit till a vort goes hostile.
[18:18:45	][IC] Sho'Tcop: Burgerwithonion will probably co operate, he's a good guy.
[18:18:57	][IC] LORD-STEVEN-X: If we get ganged by multiple vorts we're retreating tho.
[18:19:00	][IC] LORD-STEVEN-X: And start assassinating.
[18:19:08	][IC] LORD-STEVEN-X: 2 scared to fight those fucking things in the open.
