[09:15:15	]gb has connected.
[21:31:12	]Shitizen has gained a level 3 short boost in Strength.
[21:31:12	]Shitizen has gained a level -3 short boost in Agility.
[21:31:12	]Shitizen has gained a level 1 short boost in Intelligence.
[21:31:12	]Shitizen has gained a level -2 short boost in Perception.
[21:31:13	]Shitizen ran 'Consume' on item 'Red Wine' (#3111311)
[21:31:13	]Shitizen has wasted a level 3 short boost in Strength (current: 0; target: 3).
[21:31:13	]Shitizen has updated their Agility short boost target to -3 (current : 0).
[21:31:13	]Shitizen has wasted a level 1 short boost in Intelligence (current: 0; target: 1).
[21:31:13	]Shitizen has updated their Perception short boost target to -2 (current : 0).
[21:31:13	]Shitizen ran 'Consume' on item 'Red Wine' (#3111310)
[21:31:13	]Shitizen has wasted a level 3 short boost in Strength (current: 0; target: 3).
[21:31:13	]Shitizen has updated their Agility short boost target to -3 (current : 0).
[21:31:13	]Shitizen has wasted a level 1 short boost in Intelligence (current: 0; target: 1).
[21:31:13	]Shitizen has updated their Perception short boost target to -2 (current : 0).
[21:36:32	]Shitizen has gone afk.
[21:37:12	]Shitizen is no longer afk. Total time spent AFK: 335
[21:37:15	][IC] Shitizen: I'm fukcin turnt.
[21:37:19	][IC] Shitizen: Ongod, fr, nocap.
[21:37:43	][IC] Shitizen: Me ignoring being drunk by sidewalking (M!NT can't stop me).
[21:37:52	]Shitizen entered observer.
[21:37:58	]Shitizen exited observer at their location.
[21:38:27	][IC] Shitizen: Ah fuck.
[21:42:53	]Hayden loaded the character 'Hayden'
[21:43:45	]Hayden entered observer.
[21:45:16	]Hayden loaded the character 'Shitizen'
[21:45:32	]Shitizen used command '/RemoveDrugEffects Shit'.
[21:45:39	]Hayden loaded the character 'PC-2 Hunter Campbell'
[21:45:44	]PC-2 Hunter Campbell is fully healed.
[21:45:57	]PC-2 Hunter Campbell ran 'drop' on item 'T-5000' (#3086896)
[21:45:57	]PC-2 Hunter Campbell has lost a 'T-5000' #3086896.
[21:46:00	]PC-2 Hunter Campbell has used a context menu option with the name: remove
[21:46:02	]PC-2 Hunter Campbell ran 'Equip' on item 'MP5A3' (#2995576)
[21:46:11	]PC-2 Hunter Campbell has given himself a ccr_fatigues.
[21:46:11	]PC-2 Hunter Campbell has gained a 'CCR Combat Fatigues' #3111313.
[21:46:25	]PC-2 Hunter Campbell has lost a '30rnd MP Magazine' #2995592.
[21:46:28	]PC-2 Hunter Campbell entered observer.
[21:53:39	]PC-2 Hunter Campbell has gone afk.
[21:56:24	]PC-2 Hunter Campbell is no longer afk. Total time spent AFK: 460
[21:56:54	][IC] PC-2 Hunter Campbell: Hello and welcome to my essay on how to use Cinematic Camera plugin + other plugins gb has recently added.
[21:57:12	][IC] PC-2 Hunter Campbell: You place the ENTITY Camera, not the toolgun camera first.
[21:57:13	]PC-2 Hunter Campbell has spawned a 'Entity [265][ix_cutscenecamera]'.
[21:57:33	][IC] PC-2 Hunter Campbell: Once it's placed, context menu it and set it's ID.
[21:57:39	]PC-2 Hunter Campbell has used a context menu option with the name: ixsetcameraid
[21:58:52	]Hayden (STEAM_0:1:22038366) has disconnected.
[22:01:40	]Hayden has connected.
[22:02:28	]Hayden loaded the character 'PC-2 Hunter Campbell'
[22:02:36	]PC-2 Hunter Campbell entered observer.
[22:02:56	][IC] PC-2 Hunter Campbell: Hello and welcome to my short essay on how gb's cinematic plugin works.
[22:03:15	][IC] PC-2 Hunter Campbell: You spawn the Cinematic Camera as a ENTITY, you can't use the toolgun camera.
[22:03:18	]PC-2 Hunter Campbell has spawned a 'Entity [265][ix_cutscenecamera]'.
[22:03:35	][IC] PC-2 Hunter Campbell: This camera can't be seen by anyone unless if they're in observer.
[22:03:35	]PC-2 Hunter Campbell exited observer at their location.
[22:03:36	]PC-2 Hunter Campbell entered observer.
[22:03:36	]PC-2 Hunter Campbell exited observer at their location.
[22:03:37	]PC-2 Hunter Campbell entered observer.
[22:03:37	]PC-2 Hunter Campbell exited observer at their location.
[22:03:38	]PC-2 Hunter Campbell entered observer.
[22:03:38	]PC-2 Hunter Campbell exited observer at their location.
[22:03:38	]PC-2 Hunter Campbell entered observer.
[22:03:39	]PC-2 Hunter Campbell exited observer at their location.
[22:03:40	]PC-2 Hunter Campbell entered observer.
[22:03:53	][IC] PC-2 Hunter Campbell: You have to set the camera to a specific ID through the context menu to work through commands.
[22:03:58	]PC-2 Hunter Campbell has used a context menu option with the name: ixsetcameraid
[22:04:14	][IC] PC-2 Hunter Campbell: Once it's placed and set, you can run the command I'll show next to check it's positioning.
[22:04:22	]PC-2 Hunter Campbell used command '/CinematicCameraPlayer Hunter 2'.
[22:04:35	][IC] PC-2 Hunter Campbell: And then this command to reset it for yourself (and anyone on the server).
[22:04:39	]PC-2 Hunter Campbell used command '/ResetCinematicCamera'.
[22:04:44	]PC-2 Hunter Campbell used command '/CinematicCameraPlayer Hunter 2'.
[22:04:47	]PC-2 Hunter Campbell used command '/ResetCinematicCamera'.
[22:04:53	]PC-2 Hunter Campbell used command '/CinematicCameraPlayer Hunter 2'.
[22:04:57	]PC-2 Hunter Campbell used command '/ResetCinematicCamera'.
[22:05:08	][IC] PC-2 Hunter Campbell: Once it's set, you can start propping or preparing the scene however you like.
[22:05:18	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:18	]PC-2 Hunter Campbell has spawned a 'NPC [282][npc_zombie]'.
[22:05:19	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:19	]PC-2 Hunter Campbell has spawned a 'NPC [308][npc_zombie]'.
[22:05:19	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:19	]PC-2 Hunter Campbell has spawned a 'NPC [283][npc_zombie]'.
[22:05:20	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:20	]PC-2 Hunter Campbell has spawned a 'NPC [326][npc_zombie]'.
[22:05:20	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:20	]PC-2 Hunter Campbell has spawned a 'NPC [327][npc_zombie]'.
[22:05:21	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:21	]PC-2 Hunter Campbell has spawned a 'NPC [387][npc_zombie]'.
[22:05:21	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:21	]PC-2 Hunter Campbell has spawned a 'NPC [388][npc_zombie]'.
[22:05:21	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:21	]PC-2 Hunter Campbell has spawned a 'NPC [389][npc_zombie]'.
[22:05:22	]PC-2 Hunter Campbell has fired a toolgun with the name: creator
[22:05:22	]PC-2 Hunter Campbell has spawned a 'NPC [390][npc_zombie]'.
[22:05:26	]PC-2 Hunter Campbell used command '/CinematicCameraPlayer Hunter 2'.
[22:05:29	]PC-2 Hunter Campbell used command '/ResetCinematicCamera'.
[22:05:36	]PC-2 Hunter Campbell exited observer at their location.
[22:05:37	]PC-2 Hunter Campbell has gained a '30rnd MP Magazine' #2995592.
[22:05:37	]PC-2 Hunter Campbell has lost a '30rnd MP Magazine' #2995591.
[22:05:57	][IC] PC-2 Hunter Campbell: Before setting everyone (in a specific range) to see through the camera's POV you may want to use moviebars to make it look better.
[22:06:06	]PC-2 Hunter Campbell used command '/MovieBars 1000'.
[22:06:15	]PC-2 Hunter Campbell used command '/CinematicCamera 0 2'.
[22:06:22	]PC-2 Hunter Campbell has gained level 16 in the Guns skill.
[22:06:22	]PC-2 Hunter Campbell has critically hit npc_zombie in the right leg dealing 9 damage (CritChance was 0.41).
[22:06:22	]PC-2 Hunter Campbell has hit npc_zombie in the right leg dealing 7 damage (CritChance was 0.41).
[22:06:22	]PC-2 Hunter Campbell has critically hit npc_zombie in the right leg dealing 9 damage (CritChance was 0.41).
[22:06:22	]PC-2 Hunter Campbell has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.41).
[22:06:23	]PC-2 Hunter Campbell has hit npc_zombie in the right arm dealing 7 damage (CritChance was 0.41).
[22:06:23	]PC-2 Hunter Campbell has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.41).
[22:06:24	]PC-2 Hunter Campbell has gained a '30rnd MP Magazine' #2995591.
[22:06:24	]PC-2 Hunter Campbell has lost a '30rnd MP Magazine' #2995592.
[22:06:28	][IC] PC-2 Hunter Campbell: MP5 sucks.
[22:06:34	][IC] PC-2 Hunter Campbell: Anyways, that's pretty much it.
[22:06:43	]PC-2 Hunter Campbell used command '/EnterTextScreen'.
[22:06:56	]PC-2 Hunter Campbell used command '/EditTextScreen'.
[22:07:05	]PC-2 Hunter Campbell used command '/EnterTextScreen'.
[22:07:14	]PC-2 Hunter Campbell used command '/EditTextScreen'.
[22:07:19	]PC-2 Hunter Campbell used command '/EnterTextScreen'.
[22:08:25	]PC-2 Hunter Campbell used command '/MovieBars 0'.
[22:08:41	]PC-2 Hunter Campbell used command '/MovieBars 500'.
[22:08:45	]PC-2 Hunter Campbell used command '/MovieBars 50000'.
[22:09:08	][IC] PC-2 Hunter Campbell: Oh and to reset the moviebars you can also just set the range for the bars to 0. That's the only way to reset it.
[22:09:11	]PC-2 Hunter Campbell used command '/MovieBars 0'.
[22:09:21	][IC] PC-2 Hunter Campbell: Okay now that's all. Fr.
[22:09:30	]PC-2 Hunter Campbell used command '/ResetCinematicCamera'.
[22:14:58	]PC-2 Hunter Campbell has gone afk.
[22:17:58	]PC-2 Hunter Campbell is no longer afk. Total time spent AFK: 475
[22:18:26	]PC-2 Hunter Campbell entered observer.
[22:18:27	]PC-2 Hunter Campbell has spawned a 'Entity [266][ix_cutscenecamera]'.
[22:23:04	]PC-2 Hunter Campbell used command '/MovieBars 200'.
[22:23:07	]PC-2 Hunter Campbell used command '/MovieBars 200'.
[22:23:12	]PC-2 Hunter Campbell used command '/MovieBars 500'.
[22:23:14	]PC-2 Hunter Campbell used command '/MovieBars 5000'.
[22:26:33	]PC-2 Hunter Campbell used command '/MovieBars 0'.
[22:31:38	]PC-2 Hunter Campbell has gone afk.
[22:31:53	]PC-2 Hunter Campbell exited observer at their location.
[22:31:53	]PC-2 Hunter Campbell is no longer afk. Total time spent AFK: 310
[22:37:23	]PC-2 Hunter Campbell has gone afk.
[22:49:23	]PC-2 Hunter Campbell is no longer afk. Total time spent AFK: 1015
[22:49:26	]Hayden (STEAM_0:1:22038366) has disconnected.
