[00:00:01	][IC] C24:i3.UNION-41: <:: LOOK AT THIS SHIT. ::>
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the stomach dealing 13 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 13 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the stomach dealing 13 damage (CritChance was 0.50).
[00:05:27	]C24:i3.UNION-41 has taken 13 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.50).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.50).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.37).
[00:05:27	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.37).
[00:05:27	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the left arm dealing 6 damage (CritChance was 0.37).
[00:05:27	]C24:i3.UNION-41 has taken 6 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the left arm dealing 6 damage (CritChance was 0.37).
[00:05:27	]C24:i3.UNION-41 has taken 6 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.37).
[00:05:27	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.37).
[00:05:27	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:28	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.50).
[00:05:28	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:28	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the stomach dealing 13 damage (CritChance was 0.50).
[00:05:28	]C24:i3.UNION-41 has taken 13 damage from C24:i5.KING-53.
[00:05:28	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.37).
[00:05:28	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:28	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.37).
[00:05:28	]C24:i3.UNION-41 was knocked unconscious and is bleeding out.
[00:05:33	][IC] C24:i5.KING-53: <:: It took a full 20 rounds. ::>
[00:05:36	][IC] Elena Rose: He was 150 150.
[00:05:39	][IC] C24:i3.UNION-41: <:: One mag. ::>
[00:05:45	]C24:i3.UNION-41 is fully healed.
[00:05:46	][IC] C24:i3.UNION-41: <:: Now try the g3. ::>
[00:05:52	][IC] Elena Rose: 20 rounds to kill someone with 150 armor 150 hp is not fucking bad.
[00:05:54	][IC] Elena Rose: It's broken.
[00:05:55	][IC] C24:i5.KING-53: <:: Cant pick it up. ::>
[00:06:03	][IC] Elena Rose: Me neither.
[00:06:13	]C24:i5.KING-53 used command '/ToggleRaise'.
[00:06:13	][IC] Elena Rose: Bro.
[00:06:15	][IC] Elena Rose: Stop stelaing.
[00:06:17	]Elena Rose used command '/ToggleRaise'.
[00:06:18	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the left arm dealing 12 damage (CritChance was 0.20).
[00:06:18	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:06:18	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the left arm dealing 7 damage (CritChance was 0.20).
[00:06:18	]C24:i3.UNION-41 has taken 7 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the right leg dealing 7 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 7 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the right leg dealing 7 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 7 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:19	]Elena Rose has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:19	]Elena Rose has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:06:19	]Elena Rose has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 12 damage (CritChance was 0.27).
[00:06:19	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 12 damage (CritChance was 0.27).
[00:06:19	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]Elena Rose has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.28).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.20).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.43).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:19	]Elena Rose has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.43).
[00:06:19	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.31).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.31).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from C24:i5.KING-53.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.43).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:19	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.43).
[00:06:19	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:06:20	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.31).
[00:06:20	]C24:i3.UNION-41 has taken 18 damage from C24:i5.KING-53.
[00:06:20	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.31).
[00:06:20	]C24:i3.UNION-41 has taken 18 damage from C24:i5.KING-53.
[00:06:20	]Elena Rose has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.43).
[00:06:20	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:06:20	]Elena Rose has critically hit C24:i3.UNION-41 in the chest dealing 18 damage (CritChance was 0.43).
[00:06:20	]C24:i3.UNION-41 was knocked unconscious and is bleeding out.
[00:06:22	][IC] C24:i3.UNION-41: <:: BRUH. ::>
[00:06:23	]Elena Rose used command '/ToggleRaise'.
[00:06:25	][IC] C24:i3.UNION-41: <:: HOW IS THIS POSSIBLE. ::>
[00:06:30	][IC] Elena Rose: You can't base yourself on this Talia.
[00:06:33	][IC] Elena Rose: The dev server is broken.
[00:06:35	][IC] C24:i5.KING-53: <:: I'd say that thats okay. ::>
[00:06:37	][IC] C24:i5.KING-53: <:: And yeah. ::>
[00:06:37	][IC] C24:i3.UNION-41: <:: Also one thing. ::>
[00:06:40	][IC] C24:i3.UNION-41: <:: Precision. ::>
[00:06:42	]Elena Rose used command '/ToggleRaise'.
[00:06:45	]C24:i5.KING-53 used command '/ToggleRaise'.
[00:06:45	][IC] C24:i3.UNION-41: <:: I hate the fact there's spread. ::>
[00:06:46	][IC] Elena Rose: Unprecise as fuck.
[00:06:47	][IC] C24:i3.UNION-41: <:: Here. ::>
[00:06:53	][IC] C24:i3.UNION-41: <:: Come back. ::>
[00:06:57	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:06:57	]C24:i3.UNION-41 has spawned a 'Weapon [5753][arccw_ur_g3]'.
[00:07:01	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[00:07:02	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.28).
[00:07:02	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:07:02	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 14 damage (CritChance was 0.28).
[00:07:02	]C24:i3.UNION-41 has taken 14 damage from Elena Rose.
[00:07:02	]C24:i3.UNION-41 has fired a toolgun with the name: remover
[00:07:11	]C24:i3.UNION-41 has spawned 'models/props_interiors/refrigerator01a.mdl'.
[00:07:15	]Elena Rose used command '/ToggleRaise'.
[00:07:16	]C24:i3.UNION-41 has spawned 'models/props_junk/PopCan01a.mdl'.
[00:07:17	][IC] C24:i5.KING-53: <:: I mean. ::>
[00:07:20	][IC] C24:i5.KING-53: <:: Its not unexpected. ::>
[00:07:28	]C24:i3.UNION-41 has spawned 'models/props_junk/PopCan01a.mdl'.
[00:07:29	][IC] C24:i5.KING-53: <:: Battle Rifles aren't meant to be used on full auto. ::>
[00:07:33	][IC] Elena Rose: You guys custom crosshair is better, honestly?
[00:07:34	][IC] C24:i3.UNION-41: <:: Ok. ::>
[00:07:36	]Elena Rose used command '/ToggleRaise'.
[00:07:36	][IC] C24:i3.UNION-41: <:: Listen. ::>
[00:07:38	][IC] C24:i3.UNION-41: <:: Come. ::>
[00:07:50	]C24:i5.KING-53 used command '/ToggleRaise'.
[00:07:50	][IC] Elena Rose: Talia.
[00:07:51	][IC] C24:i3.UNION-41: <:: From here. ::>
[00:07:54	][IC] Elena Rose: Give me the config of your crosshair.
[00:08:01	][IC] C24:i3.UNION-41: <:: Shoot 3 bullets and try to hit the can. In single fire. ::>
[00:08:09	][OOC] Elena Rose: talia gimme your crosshair config
[00:08:10	]Elena Rose used command '/ToggleRaise'.
[00:08:12	][OOC] C24:i3.UNION-41: come 
[00:08:16	]Elena Rose used command '/ToggleRaise'.
[00:08:18	][IC] C24:i3.UNION-41: <:: You missed the 3. ::>
[00:08:18	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.09).
[00:08:18	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:08:18	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.09).
[00:08:18	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:08:18	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.09).
[00:08:18	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:08:19	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.09).
[00:08:19	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:08:19	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.09).
[00:08:19	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:08:21	]C24:i3.UNION-41 used command '/ToggleRaise'.
[00:08:23	][IC] C24:i5.KING-53: <:: Eh. ::>
[00:08:25	]Elena Rose used command '/ToggleRaise'.
[00:08:25	][IC] C24:i5.KING-53: <:: Its close enough. ::>
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the left arm dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the left arm dealing 5 damage (CritChance was 0.00).
[00:08:27	]C24:i3.UNION-41 has taken 5 damage from Elena Rose.
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 13 damage (CritChance was 0.00).
[00:08:27	]C24:i3.UNION-41 has taken 13 damage from Elena Rose.
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the stomach dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the stomach dealing 12 damage (CritChance was 0.00).
[00:08:27	]C24:i3.UNION-41 has taken 12 damage from Elena Rose.
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 5 damage (CritChance was 0.00).
[00:08:27	]C24:i3.UNION-41 has taken 5 damage from Elena Rose.
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the chest dealing 13 damage (CritChance was 0.00).
[00:08:27	]C24:i3.UNION-41 has taken 13 damage from Elena Rose.
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 5 damage (CritChance was 0.00).
[00:08:27	]C24:i3.UNION-41 has taken 5 damage from Elena Rose.
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 0 damage (CritChance was 0.00).
[00:08:27	]Elena Rose has hit C24:i3.UNION-41 in the right arm dealing 5 damage (CritChance was 0.00).
[00:08:27	]C24:i3.UNION-41 has taken 5 damage from Elena Rose.
[00:08:31	]C24:i5.KING-53 used command '/ToggleRaise'.
[00:08:34	]C24:i5.KING-53 has hit Elena Rose in the stomach dealing 10 damage (CritChance was 0.50).
[00:08:34	]Elena Rose has taken 10 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has hit Elena Rose in the stomach dealing 10 damage (CritChance was 0.50).
[00:08:34	]Elena Rose has taken 10 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has critically hit Elena Rose in the stomach dealing 13 damage (CritChance was 0.50).
[00:08:34	]Elena Rose has taken 13 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has hit Elena Rose in the stomach dealing 10 damage (CritChance was 0.50).
[00:08:34	]Elena Rose has taken 10 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has hit Elena Rose in the left leg dealing 6 damage (CritChance was 0.37).
[00:08:34	]Elena Rose has taken 6 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has critically hit Elena Rose in the left arm dealing 10 damage (CritChance was 0.37).
[00:08:34	]Elena Rose has taken 10 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has critically hit Elena Rose in the left arm dealing 10 damage (CritChance was 0.37).
[00:08:34	]Elena Rose has taken 10 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has hit Elena Rose in the left arm dealing 6 damage (CritChance was 0.37).
[00:08:34	]Elena Rose has taken 6 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has hit Elena Rose in the left arm dealing 6 damage (CritChance was 0.37).
[00:08:34	]Elena Rose has taken 6 damage from C24:i5.KING-53.
[00:08:34	]C24:i5.KING-53 has critically hit Elena Rose in the stomach dealing 13 damage (CritChance was 0.50).
[00:08:34	]Elena Rose has taken 13 damage from C24:i5.KING-53.
[00:08:35	]C24:i5.KING-53 has critically hit Elena Rose in the stomach dealing 13 damage (CritChance was 0.50).
[00:08:35	]Elena Rose was knocked unconscious and is bleeding out.
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 26 damage (CritChance was 0.00).
[00:08:36	]C24:i5.KING-53 has taken 26 damage from C24:i3.UNION-41.
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 26 damage (CritChance was 0.00).
[00:08:36	]C24:i5.KING-53 has taken 26 damage from C24:i3.UNION-41.
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:08:36	]C24:i5.KING-53 has taken 27 damage from C24:i3.UNION-41.
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 26 damage (CritChance was 0.00).
[00:08:36	]C24:i5.KING-53 has taken 26 damage from C24:i3.UNION-41.
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 26 damage (CritChance was 0.00).
[00:08:36	]C24:i5.KING-53 has taken 26 damage from C24:i3.UNION-41.
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:08:36	]C24:i5.KING-53 has taken 27 damage from C24:i3.UNION-41.
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:08:36	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 26 damage (CritChance was 0.00).
[00:08:36	]C24:i5.KING-53 was knocked unconscious and is bleeding out.
[00:08:43	]C24:i5.KING-53 is fully healed.
[00:08:48	][IC] C24:i5.KING-53: <:: Help! ::>
[00:08:54	]C24:i5.KING-53 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[00:08:56	][IC] C24:i3.UNION-41: <:: F3 me. ::>
[00:08:58	]Elena Rose is fully healed.
[00:09:04	][IC] Elena Rose: Yoooo.
[00:09:07	][IC] Elena Rose: Gimme that crosshair.
[00:09:09	]Elena Rose used command '/ToggleRaise'.
[00:09:10	]C24:i3.UNION-41 used command '/ToggleRaise'.
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:09:11	]C24:i5.KING-53 has taken 27 damage from Elena Rose.
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:09:11	]C24:i5.KING-53 has taken 27 damage from Elena Rose.
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:09:11	]C24:i5.KING-53 has taken 27 damage from Elena Rose.
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:09:11	]C24:i5.KING-53 has taken 27 damage from Elena Rose.
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:09:11	]C24:i5.KING-53 has taken 27 damage from Elena Rose.
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:09:11	]C24:i5.KING-53 has taken 27 damage from Elena Rose.
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 0 damage (CritChance was 0.00).
[00:09:11	]Elena Rose has hit C24:i5.KING-53 in the head dealing 27 damage (CritChance was 0.00).
[00:09:11	]C24:i5.KING-53 was knocked unconscious and is bleeding out.
[00:09:14	]C24:i3.UNION-41 has critically hit Elena Rose in the head dealing 12 damage (CritChance was 0.12).
[00:09:14	]Elena Rose has taken 12 damage from C24:i3.UNION-41.
[00:09:14	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 8 damage (CritChance was 0.36).
[00:09:14	]Elena Rose has taken 8 damage from C24:i3.UNION-41.
[00:09:14	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 8 damage (CritChance was 0.36).
[00:09:14	]Elena Rose has taken 8 damage from C24:i3.UNION-41.
[00:09:14	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 10 damage (CritChance was 0.36).
[00:09:14	]Elena Rose has taken 10 damage from C24:i3.UNION-41.
[00:09:14	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 10 damage (CritChance was 0.36).
[00:09:14	]Elena Rose has taken 10 damage from C24:i3.UNION-41.
[00:09:14	]C24:i3.UNION-41 has hit Elena Rose in the head dealing 10 damage (CritChance was 0.12).
[00:09:14	]Elena Rose has taken 10 damage from C24:i3.UNION-41.
[00:09:14	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 8 damage (CritChance was 0.36).
[00:09:14	]Elena Rose has taken 8 damage from C24:i3.UNION-41.
[00:09:14	]C24:i3.UNION-41 has critically hit Elena Rose in the head dealing 12 damage (CritChance was 0.12).
[00:09:14	]Elena Rose has taken 12 damage from C24:i3.UNION-41.
[00:09:15	]Elena Rose used command '/ToggleRaise'.
[00:09:16	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 8 damage (CritChance was 0.36).
[00:09:16	]Elena Rose has taken 8 damage from C24:i3.UNION-41.
[00:09:16	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 10 damage (CritChance was 0.36).
[00:09:16	]Elena Rose has taken 10 damage from C24:i3.UNION-41.
[00:09:16	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 8 damage (CritChance was 0.36).
[00:09:16	]Elena Rose was knocked unconscious and is bleeding out.
[00:09:22	]Elena Rose used command '/ToggleRaise'.
[00:09:22	][IC] C24:i3.UNION-41: <:: Ok so. ::>
[00:09:23	]Elena Rose is fully healed.
[00:09:23	]C24:i5.KING-53 is fully healed.
[00:09:25	][IC] C24:i3.UNION-41: <:: Try these. ::>
[00:09:25	]C24:i5.KING-53 used command '/ToggleRaise'.
[00:09:26	]Elena Rose used command '/ToggleRaise'.
[00:09:31	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:09:31	]C24:i3.UNION-41 has spawned a 'Weapon [5835][arccw_eft_usp]'.
[00:09:32	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:09:32	]C24:i3.UNION-41 has spawned a 'Weapon [5838][arccw_eft_usp]'.
[00:09:36	][IC] C24:i3.UNION-41: <:: I will put the cans. ::>
