[21:03:09	]Fedora has connected.
[21:49:49	]C24:OTAGUY.OTA-37 used command '/PM STEAM_0:0:435300941 Mine Ponesky's datafile record is hilarious'.
[21:49:49	]Anders Stauning entered observer.
[21:49:50	]C24:RL.XRAY-74 has spawned a cmb_spas12.
[21:49:53	]C24:i5.COURIER-06 exited observer at their location.
[21:49:53	]C24:RCT.YELLO-11 used command '/PTLeave'.
[21:49:54	][OOC] C24:OTAGUY.OTA-37: not when you have a gun up, no
[21:49:54	]Anders Stauning exited observer at their location.
[21:49:55	][OOC] C24.RL.KRAHSLAYER-77: we do but its disabled when u have ur weapon raised
[21:49:55	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:49:56	]C24:RCT.YELLO-11 used command '/PTJoin 1'.
[21:49:57	][OOC] Tamara Lahtizer: Ultima, I need help plz :c
[21:49:57	]Gerome Gentry used command '/Reply whats it say'.
[21:49:58	]C24:i5.COURIER-06 entered observer.
[21:49:58	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:49:58	]Hank J. Wimleton ran 'take' on item 'Spas-12' (#2688092)
[21:49:58	]Hank J. Wimleton has gained a 'Spas-12' #2688092.
[21:50:00	][IC] Hank J. Wimleton: Thank you <3.
[21:50:01	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:50:01	]C24:RL.XRAY-74 ran SAM command 'return' with arguments: '^'
[21:50:02	]C24:OTAGUY.OTA-37 used command '/PM STEAM_0:0:435300941 That exactly'.
[21:50:02	]Hank J. Wimleton ran 'Equip' on item 'Spas-12' (#2688092)
[21:50:03	][IC] C24.RL.KRAHSLAYER-77: <:: Yello. ::>
[21:50:04	][IC] C24:RCT.YELLO-11: <:: :). ::>
[21:50:05	]C24:RL.XRAY-74 ran SAM command 'goto' with arguments: 'tamara'
[21:50:05	]C24:OTAGUY.OTA-37 used command '/PM STEAM_0:0:435300941 Im not joking'.
[21:50:05	]C24:RL.XRAY-74 has hit C24:RL.XRAY-74 in the chest dealing 22 damage (CritChance was 0.12).
[21:50:05	]C24:RL.XRAY-74 has taken 22 damage from C24:RL.XRAY-74.
[21:50:05	]Gerome Gentry used command '/Reply LOL'.
[21:50:06	]C24:RL.XRAY-74 has hit C24:RL.XRAY-74 in the chest dealing 22 damage (CritChance was 0.12).
[21:50:06	]C24:RL.XRAY-74 has taken 22 damage from C24:RL.XRAY-74.
[21:50:06	]C24:RL.XRAY-74 entered observer.
[21:50:06	]Anders Stauning entered observer.
[21:50:06	]Anders Stauning exited observer at their location.
[21:50:07	]Hank J. Wimleton used command '/ToggleRaise'.
[21:50:08	][Y] Claude 'Cappy' Bograshov: I NEED ME A SPEAR BRO.
[21:50:10	]C24:RL.XRAY-74 exited observer at their location.
[21:50:10	]C24:OTAGUY.OTA-37 used command '/Datafile Ponesky'.
[21:50:12	][IC] C24.RL.KRAHSLAYER-77: <:: The M16 has no recoil. It outclasses AKM in long range. ::>
[21:50:13	]C24:RL.XRAY-74 ran SAM command 'respawn' with arguments: 'tamara'
[21:50:14	]Tamara Lahtizer is fully healed.
[21:50:15	][IC] C24:RL.XRAY-74: <:: My bad girl. ::>
[21:50:15	][IC] C24.RL.KRAHSLAYER-77: <:: But if u go close range ur fucked. ::>
[21:50:16	]C24:RL.XRAY-74 entered observer.
[21:50:20	][IC] C24.RL.KRAHSLAYER-77: <:: Since M16 is burst. ::>
[21:50:20	][IC] Michael Daniels: Woooaoah.
[21:50:21	][IC] C24:RCT.YELLO-11: <:: Im sure its fine. ::>
[21:50:21	]Anders Stauning entered observer.
[21:50:22	][IC] C24.RL.KRAHSLAYER-77: <:: Keep that in mind. ::>
[21:50:22	][IC] Michael Daniels: Aoaaoao.
[21:50:22	]Anders Stauning exited observer at their location.
[21:50:23	]C24:i5.COURIER-06 exited observer at their location.
[21:50:24	][Y] Claude 'Cappy' Bograshov: WITH A VODO SCOPE IF POSSIBLE.
[21:50:27	]C24:RL.XRAY-74 ran SAM command 'goto' with arguments: 'krah'
[21:50:27	]C24:RL.XRAY-74 exited observer at their location.
[21:50:30	]C24:RL.XRAY-74 ran SAM command 'hp' with arguments: '^' '100'
[21:50:30	]C24:RL.XRAY-74 entered observer.
[21:50:30	]C24:RL.XRAY-74 exited observer at their location.
[21:50:31	]C24:RL.XRAY-74 is fully healed.
[21:50:31	]C24:RL.XRAY-74 entered observer.
[21:50:32	]C24:RL.XRAY-74 exited observer at their location.
[21:50:35	]C24:RL.XRAY-74 used command '/ToggleRaise'.
[21:50:36	]C24:RL.XRAY-74 used command '/ToggleRaise'.
[21:50:37	]Hank J. Wimleton used command '/ToggleRaise'.
[21:50:38	]Hank J. Wimleton used command '/ToggleRaise'.
[21:50:39	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:50:40	]Anders Stauning entered observer.
[21:50:41	]Anders Stauning exited observer at their location.
[21:50:41	]Anders Stauning entered observer.
[21:50:42	]Anders Stauning exited observer at their location.
[21:50:42	]C24:RL.XRAY-74 has spawned a 'Entity [5701][gmod_sent_vehicle_fphysics_base]'.
[21:50:43	]C24:RL.XRAY-74 has spawned a 'Entity [5701][gmod_sent_vehicle_fphysics_base]'.
[21:50:43	]Anders Stauning entered observer.
[21:50:43	][Y] Tamara Lahtizer: Wait are we getting attachments? Can I have something besides this iron sight! <3.
[21:50:44	]Anders Stauning exited observer at their location.
[21:50:47	][IC] C24:RCT.YELLO-11: <:: Oh shit!! ::>
[21:50:50	]C24:RL.XRAY-74 has spawned a 'Entity [5701][gmod_sent_vehicle_fphysics_base]'.
[21:50:52	]Anders Stauning entered observer.
[21:50:53	][Y] Hank J. Wimleton: We are not getting a fuckin attachm,ents.
[21:50:53	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:50:55	]C24:RL.XRAY-74 has used a context menu option with the name: rb655_vehicle_enter
[21:50:58	]Anders Stauning exited observer at their location.
[21:51:01	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:51:06	][Y] Claude 'Cappy' Bograshov: I MEAN I DO HAVE A WAVE 556 WITH A HYBIRD 46 ON MY HK BACK IN MY STASH BUT.
[21:51:09	]C24:RL.XRAY-74 has used a context menu option with the name: rb655_vehicle_add_gun
[21:51:11	][Y] Tamara Lahtizer: I was promised an RMR..
[21:51:16	]C24:i5.COURIER-06 used command '/Announce remember, start on music'.
[21:51:17	]C24:RL.XRAY-74 has spawned a 'Entity [5701][gmod_sent_vehicle_fphysics_base]'.
[21:51:17	][IC] C24:OTAGUY.OTA-37: <:: XRAY. 60 9. ::>
[21:51:22	]C24:RL.XRAY-74 has spawned a 'Entity [5701][gmod_sent_vehicle_fphysics_base]'.
[21:51:23	][OOC] Gerome Gentry: play mlp fim theme song
[21:51:27	][OOC] Claude 'Cappy' Bograshov: do we have infinite ammo or?
[21:51:28	][OOC] Hank J. Wimleton: ill
[21:51:29	]Michael Daniels used command '/ToggleRaise'.
[21:51:29	]C24:RL.XRAY-74 used command '/CP this ones solo wtf'.
[21:51:34	]C17:RCT.YELLO-32 entered observer.
[21:51:35	][OOC] C24:i5.COURIER-06: ye, re-equip the gun
[21:51:38	][OOC] Claude 'Cappy' Bograshov: aight
[21:51:39	][Y] Tamara Lahtizer: Alright, remember team. They don't have real S2Kers on their side. Don't bully them..
[21:51:40	]C24:RCT.YELLO-11 ran 'EquipUn' on item 'M16A2' (#2688081)
[21:51:41	]C24:RCT.YELLO-11 ran 'Equip' on item 'M16A2' (#2688081)
[21:51:42	][Y] Michael Daniels: Give us armor!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
[21:51:43	]C17:RCT.YELLO-32 exited observer at their location.
[21:51:47	]C24:OTAGUY.OTA-37 ran 'EquipUn' on item 'Spas-12' (#2688080)
[21:51:48	]Gerome Gentry has taken 10 damage from ix_item.
[21:51:48	]Anders Stauning entered observer.
[21:51:48	]C24:OTAGUY.OTA-37 ran 'Equip' on item 'Spas-12' (#2688080)
[21:51:50	]Pavel Artyomov used command '/ToggleRaise'.
[21:51:53	]Gerome Gentry ran 'drop' on item 'Empty bottle' (#2452588)
[21:51:53	]Gerome Gentry has lost a 'Empty bottle' #2452588.
[21:51:54	]Anders Stauning ran SAM command 'hp' with arguments: 'STEAM_0:0:435300941' '100'
[21:51:55	]Anders Stauning exited observer at their location.
[21:51:55	]Gerome Gentry is fully healed.
[21:51:55	][IC] C24:OTAGUY.OTA-37: <:: Help! ::>
[21:51:57	][Y] Claude 'Cappy' Bograshov: I s2k and pk people for fun on my days off fellas.
[21:51:58	][IC] C24:RCT.YELLO-11: <:: Haha. ::>
[21:51:58	][LOOC] Anders Stauning: u all have armor
[21:52:04	]C24:OTAGUY.OTA-37 ran 'EquipUn' on item 'HK USP .45' (#2687907)
[21:52:04	][Y] Hank J. Wimleton: Yes.
[21:52:04	]C24:OTAGUY.OTA-37 ran 'EquipUn' on item 'Spas-12' (#2688080)
[21:52:05	]C24:OTAGUY.OTA-37 ran 'Equip' on item 'HK USP .45' (#2687907)
[21:52:05	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:52:05	]C24:OTAGUY.OTA-37 has gained a 'USP Match Iron Sights' #2687966.
[21:52:05	]C24:OTAGUY.OTA-37 has gained a 'USP Match Slide' #2687957.
[21:52:05	]C24:OTAGUY.OTA-37 has gained a 'USP Match Compensator' #2687959.
[21:52:05	]C24:OTAGUY.OTA-37 has gained a 'USP Match Barrel' #2687950.
[21:52:05	]C24:OTAGUY.OTA-37 has lost a 'USP Match Iron Sights' #2687966.
[21:52:05	]C24:OTAGUY.OTA-37 has lost a 'USP Match Slide' #2687957.
[21:52:05	]C24:OTAGUY.OTA-37 has lost a 'USP Match Compensator' #2687959.
[21:52:05	]C24:OTAGUY.OTA-37 has lost a 'USP Match Barrel' #2687950.
[21:52:07	]C24:OTAGUY.OTA-37 ran 'Equip' on item 'Spas-12' (#2688080)
[21:52:07	]C24:RL.XRAY-74 has spawned a 'Entity [6446][gmod_sent_vehicle_fphysics_base]'.
[21:52:15	][Y] C24:RL.XRAY-74: <:: Get in! ::>
[21:52:17	][IC] C17:RCT.YELLO-32: <:: No. ::>
[21:52:18	][IC] C24:OTAGUY.OTA-37: <:: Subject is 505. ::>
[21:52:21	][IC] C24:RCT.YELLO-11: <:: Nu uh. ::>
[21:52:21	]Male_07 destroyed a 'Empty bottle' #2452588.
[21:52:23	][IC] C24:RL.XRAY-74: <:: What. ::>
[21:52:25	]Claude 'Cappy' Bograshov ran 'EquipUn' on item 'MP7A1' (#2688082)
[21:52:25	][IC] C24:RL.XRAY-74: <:: I unlocked it. ::>
[21:52:26	]Claude 'Cappy' Bograshov ran 'Equip' on item 'MP7A1' (#2688082)
[21:52:28	]C24:i5.COURIER-06 used command '/PlaySong https://www.youtube.com/watch?v=6hF2CJlp3os'.
[21:52:29	][IC] C24:OTAGUY.OTA-37: <:: Haha. ::>
[21:52:30	]Claude 'Cappy' Bograshov ran 'EquipUn' on item 'MP7A1' (#2688082)
[21:52:30	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:52:31	]Claude 'Cappy' Bograshov ran 'Equip' on item 'MP7A1' (#2688082)
[21:52:31	]Claude 'Cappy' Bograshov ran 'EquipUn' on item 'MP7A1' (#2688082)
[21:52:32	]Claude 'Cappy' Bograshov ran 'Equip' on item 'MP7A1' (#2688082)
[21:52:33	]Claude 'Cappy' Bograshov ran 'EquipUn' on item 'MP7A1' (#2688082)
[21:52:33	]C24:OTAGUY.OTA-37 used command '/ToggleRaise'.
[21:52:33	]Claude 'Cappy' Bograshov ran 'Equip' on item 'MP7A1' (#2688082)
[21:52:34	]Anders Stauning has critically hit Male_07 in the left arm dealing 18 damage (CritChance was 0.09).
[21:52:34	]Male_07 has taken 18 damage from Anders Stauning.
[21:52:34	]Anders Stauning has critically hit Male_07 in the stomach dealing 31 damage (CritChance was 0.12).
[21:52:34	]Male_07 has taken 31 damage from Anders Stauning.
[21:52:34	]Claude 'Cappy' Bograshov ran 'EquipUn' on item 'MP7A1' (#2688082)
[21:52:34	]Male_07 is fully healed.
[21:52:35	]Claude 'Cappy' Bograshov ran 'Equip' on item 'MP7A1' (#2688082)
[21:52:35	]C24:RL.XRAY-74 used command '/ToggleRaise'.
[21:52:38	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:52:39	][IC] Male_07: Bruh.
[21:52:39	]Hank J. Wimleton used command '/ToggleRaise'.
[21:52:44	]Claude 'Cappy' Bograshov has taken 5 damage from ix_item.
[21:52:44	]Claude 'Cappy' Bograshov has taken 5 damage from ix_item.
[21:52:45	]C24:RL.XRAY-74 used command '/ToggleRaise'.
[21:52:46	]C24:RL.XRAY-74 used command '/ToggleRaise'.
[21:52:50	][IC] C24:RCT.YELLO-11: <:: Shit! ::>
[21:52:53	]C24:i5.COURIER-06 has taken 5 damage from arccw_thr_go_smoke.
[21:52:55	][OOC] Gerome Gentry: SMOK
[21:53:02	]C24:RL.XRAY-74 used command '/ToggleRaise'.
[21:53:05	][Y] C24:OTAGUY.OTA-37: <:: Move it! ::>
[21:53:06	]Tamara Lahtizer used command '/ToggleRaise'.
[21:53:06	][IC] C24:RL.XRAY-74: <:: Boost me. ::>
[21:53:08	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:53:10	][IC] C24:RL.XRAY-74: <:: Bosot. ::>
[21:53:17	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:53:19	]C24:RL.XRAY-74 has hit Pavel Artyomov in the left leg dealing 10 damage (CritChance was 0.15).
[21:53:19	]Pavel Artyomov has taken 10 damage from C24:RL.XRAY-74.
[21:53:19	]C24:RL.XRAY-74 has hit Pavel Artyomov in the right leg dealing 10 damage (CritChance was 0.15).
[21:53:19	]Pavel Artyomov has taken 10 damage from C24:RL.XRAY-74.
[21:53:19	]C24:RL.XRAY-74 has hit Pavel Artyomov in the left leg dealing 10 damage (CritChance was 0.15).
[21:53:19	]Pavel Artyomov has taken 10 damage from C24:RL.XRAY-74.
[21:53:19	]C24:RL.XRAY-74 has critically hit Pavel Artyomov in the right leg dealing 18 damage (CritChance was 0.15).
[21:53:19	]Pavel Artyomov has taken 18 damage from C24:RL.XRAY-74.
[21:53:20	]C24:RL.XRAY-74 has hit Pavel Artyomov in the left leg dealing 10 damage (CritChance was 0.15).
[21:53:20	]Pavel Artyomov has taken 10 damage from C24:RL.XRAY-74.
[21:53:20	]Pavel Artyomov has hit C24:RL.XRAY-74 in the right arm dealing 5 damage (CritChance was 0.06).
[21:53:20	]C24:RL.XRAY-74 has taken 5 damage from Pavel Artyomov.
[21:53:20	]C24:RL.XRAY-74 has critically hit Pavel Artyomov in the right leg dealing 18 damage (CritChance was 0.43).
[21:53:20	]Pavel Artyomov has taken 18 damage from C24:RL.XRAY-74.
[21:53:20	]C24:RL.XRAY-74 has hit Pavel Artyomov in the stomach dealing 20 damage (CritChance was 0.58).
[21:53:20	]Pavel Artyomov has taken 20 damage from C24:RL.XRAY-74.
[21:53:21	][Y] C24:OTAGUY.OTA-37: <:: Suspect, prepare to receive civil judgement! ::>
[21:53:21	]C24:RL.XRAY-74 is fully healed.
[21:53:25	]Pavel Artyomov ran 'use' on item 'Bandage Roll' (#2688033)
[21:53:25	]Pavel Artyomov has performed the 'Use Bandage Roll' action, gaining 15 experience in medicine.
[21:53:25	]Pavel Artyomov was bandaged by Pavel Artyomov for 18 HP.
[21:53:27	]C24:RCT.YELLO-11 has hit Michael Daniels in the right leg dealing 10 damage (CritChance was 0.09).
[21:53:27	]Michael Daniels has taken 10 damage from C24:RCT.YELLO-11.
[21:53:29	]Gerome Gentry has hit C24:OTAGUY.OTA-37 in the left leg dealing 10 damage (CritChance was 0.13).
[21:53:29	]C24:OTAGUY.OTA-37 has taken 10 damage from Gerome Gentry.
[21:53:29	]Gerome Gentry has hit C24:OTAGUY.OTA-37 in the stomach dealing 21 damage (CritChance was 0.17).
[21:53:29	]C24:OTAGUY.OTA-37 has taken 21 damage from Gerome Gentry.
[21:53:29	]Gerome Gentry has critically hit C24:OTAGUY.OTA-37 in the stomach dealing 31 damage (CritChance was 0.17).
[21:53:29	]C24:OTAGUY.OTA-37 has taken 31 damage from Gerome Gentry.
[21:53:29	]Gerome Gentry has hit C24:OTAGUY.OTA-37 in the left arm dealing 12 damage (CritChance was 0.43).
[21:53:29	]C24:OTAGUY.OTA-37 has taken 12 damage from Gerome Gentry.
[21:53:29	]Gerome Gentry has hit C24:OTAGUY.OTA-37 in the right arm dealing 12 damage (CritChance was 0.43).
[21:53:29	]C24:OTAGUY.OTA-37 has taken 12 damage from Gerome Gentry.
[21:53:30	]Gerome Gentry has hit C24:OTAGUY.OTA-37 in the right arm dealing 12 damage (CritChance was 0.43).
[21:53:30	]C24:OTAGUY.OTA-37 has taken 12 damage from Gerome Gentry.
[21:53:30	]Gerome Gentry has hit C24:OTAGUY.OTA-37 in the left arm dealing 12 damage (CritChance was 0.43).
[21:53:30	]C24:OTAGUY.OTA-37 has taken 12 damage from Gerome Gentry.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the left leg dealing 4 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 4 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the chest dealing 9 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 9 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the chest dealing 9 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 9 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.13).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has critically hit Gerome Gentry in the right arm dealing 8 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 8 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the chest dealing 9 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 9 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the chest dealing 9 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 9 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has critically hit Gerome Gentry in the chest dealing 16 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 16 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has critically hit Gerome Gentry in the right arm dealing 8 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 8 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has critically hit Gerome Gentry in the right arm dealing 8 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 8 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]C24:OTAGUY.OTA-37 has hit Gerome Gentry in the right arm dealing 5 damage (CritChance was 0.36).
[21:53:30	]Gerome Gentry has taken 5 damage from C24:OTAGUY.OTA-37.
[21:53:30	]Gerome Gentry has critically hit C24:OTAGUY.OTA-37 in the stomach dealing 31 damage (CritChance was 0.54).
[21:53:30	]C24:OTAGUY.OTA-37 was knocked unconscious and is bleeding out.
[21:53:31	]Hank J. Wimleton used command '/ToggleRaise'.
[21:53:31	]C24.RL.KRAHSLAYER-77 used command '/ToggleRaise'.
[21:53:32	]Michael Daniels is fully healed.
[21:53:33	]Hank J. Wimleton used command '/ToggleRaise'.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the left arm dealing 4 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 4 damage from Male_07.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the chest dealing 8 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 8 damage from Male_07.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the chest dealing 8 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 8 damage from Male_07.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the left arm dealing 4 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 4 damage from Male_07.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the chest dealing 8 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 8 damage from Male_07.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the left arm dealing 4 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 4 damage from Male_07.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the left arm dealing 4 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 4 damage from Male_07.
[21:53:33	]Male_07 has hit C24.RL.KRAHSLAYER-77 in the left arm dealing 4 damage (CritChance was 0.13).
[21:53:33	]C24.RL.KRAHSLAYER-77 has taken 4 damage from Male_07.
[21:53:33	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the left arm dealing 5 damage (CritChance was 0.13).
[21:53:33	]Male_07 has taken 5 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the left arm dealing 5 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 5 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the left arm dealing 5 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 5 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has critically hit Male_07 in the left arm dealing 8 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 8 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the chest dealing 9 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 9 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the left arm dealing 5 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 5 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has critically hit Male_07 in the left arm dealing 8 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 8 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has critically hit Male_07 in the left arm dealing 8 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 8 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the left arm dealing 5 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 5 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the chest dealing 9 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 9 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24.RL.KRAHSLAYER-77 has critically hit Male_07 in the left arm dealing 8 damage (CritChance was 0.36).
[21:53:33	]Male_07 has taken 8 damage from C24.RL.KRAHSLAYER-77.
[21:53:33	]C24:RL.XRAY-74 has critically hit Pavel Artyomov in the left arm dealing 18 damage (CritChance was 0.43).
[21:53:33	]Pavel Artyomov has taken 18 damage from C24:RL.XRAY-74.
[21:53:33	]C24:RL.XRAY-74 has critically hit Pavel Artyomov in the left arm dealing 18 damage (CritChance was 0.43).
[21:53:33	]Pavel Artyomov has taken 18 damage from C24:RL.XRAY-74.
[21:53:33	]C24:RL.XRAY-74 has hit Pavel Artyomov in the left arm dealing 12 damage (CritChance was 0.43).
[21:53:33	]Pavel Artyomov has taken 12 damage from C24:RL.XRAY-74.
[21:53:34	]Gerome Gentry ran 'use' on item 'Bandage Roll' (#2688045)
[21:53:34	]Gerome Gentry has performed the 'Use Bandage Roll' action, gaining 15 experience in medicine.
[21:53:34	]Gerome Gentry was bandaged by Gerome Gentry for 17 HP.
[21:53:34	]C24:RL.XRAY-74 has hit Michael Daniels in the left arm dealing 12 damage (CritChance was 0.15).
[21:53:34	]Michael Daniels has taken 12 damage from C24:RL.XRAY-74.
[21:53:34	]C24:RL.XRAY-74 has hit Michael Daniels in the chest dealing 22 damage (CritChance was 0.15).
[21:53:34	]Michael Daniels has taken 22 damage from C24:RL.XRAY-74.
[21:53:35	]C24:RL.XRAY-74 has hit Michael Daniels in the right arm dealing 12 damage (CritChance was 0.15).
[21:53:35	]Michael Daniels has taken 12 damage from C24:RL.XRAY-74.
[21:53:35	]C24.RL.KRAHSLAYER-77 has critically hit Male_07 in the left arm dealing 8 damage (CritChance was 0.36).
[21:53:35	]Male_07 has taken 8 damage from C24.RL.KRAHSLAYER-77.
[21:53:35	]C24.RL.KRAHSLAYER-77 has critically hit Male_07 in the left arm dealing 8 damage (CritChance was 0.36).
[21:53:35	]Male_07 has taken 8 damage from C24.RL.KRAHSLAYER-77.
[21:53:35	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the left arm dealing 5 damage (CritChance was 0.36).
[21:53:35	]Male_07 has taken 5 damage from C24.RL.KRAHSLAYER-77.
[21:53:35	]C24.RL.KRAHSLAYER-77 has hit Male_07 in the head dealing 11 damage (CritChance was 0.12).
[21:53:35	]Male_07 was knocked unconscious and is bleeding out.
[21:53:35	]C24:RL.XRAY-74 has hit Michael Daniels in the left arm dealing 12 damage (CritChance was 0.43).
[21:53:35	]Michael Daniels has taken 12 damage from C24:RL.XRAY-74.
